model,mod,M,MEquiv,r,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,v0101,v0202,v0303,v0404,v0505,v0606,v0707,v0808,v0909,v1010,v1111,v1212,v1313,v1414,v1515,v1616,v1717,v1818,v1919,v2020,v0102,v0203,v0304,v0405,v0506,v0607,v0708,v0809,v0910,v1011,v1112,v1213,v1314,v1415,v1516,v1617,v1718,v1819,v1920,v0103,v0204,v0305,v0406,v0507,v0608,v0709,v0810,v0911,v1012,v1113,v1214,v1315,v1416,v1517,v1618,v1719,v1820,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,k01,k02,k03,k04,k05,k06,k07,k08,k09,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,1,2.9586795458099164,29.756210007,0,,77.09363532973681,11.38769189725856,66.27765759164407,-0.5717141591658189,0.13346052265316155,0.028492316873153456,-1.0917279515811866,-1.902385686915058,-0.18369177487209765,0.5303601524726469,0.08087075589339499,-0.13170798229077008,0.7808032347579577,0.02351819787082654,-1.3534325636110065,-5.496973942637059,-0.5884792053591685,-0.04113709567450541,-2.3677581930041742,-0.4585443795619053,-0.2221125459252562,0.6155200535759207,-1.5472610576488677,-5.585008588322752,0.17030385079411334,0.02612113189502206,0.2191470595489531,0.7997064380438828,0.40314124377781396,0.1673705768449951,3.8175388057030504,0.5924951581227017,0.2366611205571084,0.20531069681593175,2.74751116439163,4.729558030870593,1.0080166691767471,0.15933869903880213,4.886055337757476,1.2354368253300032,0.09115651177030717,0.0900716949353722,1.0555358493968776,13.278845843526495,0.023516702120675116,-0.012754123263525615,0.10101934857738107,0.1358384721317712,0.0,-0.10601352817353876,0.8239786654816817,0.201756386070556,0.09665672255046823,0.0,0.37798521401275087,0.7373404383155308,0.08322753202377813,-0.06276442961474407,0.0,-0.0066816592652462654,-0.048035075196475575,-0.2381493308938544,3.2503172493461165,-0.06752049037052935,-0.03651355128214553,-0.04248661224627706,0.0,0.0,-0.061192143478819856,0.3050235270958293,0.21135358968723075,0.0,0.0,-0.08698502757509112,0.32491851958081247,0.7590805129790877,0.0,0.0,-0.24735091069321502,0.022262020754200123,-0.41596869262520997,-6.123903957477955,0.07978159157269923,2.5693096798380863,9.524554685469944,4.233239353006511,2.865232694374587,4.856395592676935,0.286345656310784,0.5945852177940523,1.9439455758825173,0.5771129955773229,0.6287646342412035,6.559879940100336,5.043216772179855,-0.6651174003974771,5.36265438135062,1.464361755676988,2.4475412619097536,6.603584186876526,8.547783185992921,-1.6957361353854132,5.744808712747941,-0.8909959205651816,2.3509639724007023,7.613949829354752,4.032262204436568,2.988687054009471,-6.287517620196423,6.154256354804647,2.9095072779576467,-7.372820739839929,-1.9787943170825422,-0.6775922823957661,-0.49863797186694114,-1.4512891851847183,-2.844381687889827,-7.379866549113977,8.995325689910397,-4.742642691304432,2.9586795458099164,-2.0835655808008307,5.72225679987542,-1.878884356183535,-0.15971870653231912,7.571055365949724,3.9925848264809347,0.7614368557914586,-6.859018325004278,6.0804266089968335,2.858602350737224,-9.080911933155477,-6.413814013563674,-1.6417692026619628,-0.5836243515856114,-5.651862156377925,-3.2781569554054175,-7.995061211078534,9.0052789468095,-6.158491879227146,0.7180926772809906
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,2,5.008493424356807,32.541263085,0,,567275.8566860761,567289.6348208189,1.4456911672173978,-15.22382591002949,-0.9429455052891926,-1.5751654050000745,-1.8846856134481558,-1.547749492242236,1.6345586437593136,-0.8498000785037814,-3.4867541854162036,0.18107660956643915,-0.5972992183585517,0.19494915167638727,0.5602974520825756,1.0986367317093726,1.0492516128699414,0.22832975261232402,-1.3996773833749634,-0.3792567050287161,-0.38173925948523935,-0.2531120673077847,-4.656593676416613,1.870669288969066,8.512737477824963e-5,0.0005523420638120699,0.0005192391112868807,0.00012784048462036727,3.4352177437471604e-6,0.028360003023522457,0.6519546839234909,0.0040094547333269686,0.16074292928449685,0.008031488635536899,0.0007708202394457811,0.03251232845197386,0.2610996002603251,0.07264995457052592,0.4231619595700054,0.012478261678502864,0.009651153894938608,0.0004559231552096147,0.12270555981148333,0.01570956723619686,0.00021515192909936313,0.0005343534595135681,0.00025655695020081605,-1.89583470527576e-5,0.0,0.13596993777859825,0.05111476903234151,-0.025384695995559155,0.03592885249030886,0.0,0.0045698910372495415,-0.09142106779464466,0.1316904455259081,-0.15020716079888166,0.0,-0.0015018541891411118,-0.001970237861332224,0.005071585786983879,-0.04385481679365265,0.00020867080046710793,0.00026467555997648193,-3.790971059161144e-5,0.0,0.0,0.010662282802954172,-0.32370738983682995,-0.005674173270830417,0.0,0.0,-0.012715885125593535,-0.04530864002378913,-0.3221286054152948,0.0,0.0,-0.0004750438762872139,-0.013674373916381849,-0.0017639774289391961,-2.119995779115584,4.157441214556647,4.651135203756151,7.081097250098864,11.923772606664949,3.2403049432080357,4.649668906547842,7.755799864512667,-2.562130053437922,0.669842251299257,-0.42464130631651203,-0.1755922147010464,2.2761072074469766,4.036895976225608,5.0379909636580935,4.067590061942573,-3.5774884478233604,2.072716647409671,5.752467793230913,4.524660250302264,-5.372743391726894,0.2715409369452786,1.8832092731281218,6.923761690401555,5.263865539840518,2.686222874733217,5.46373168785012,-0.21458442078736106,0.5506703239410884,1.696333662365944,1.2506805992698329,2.1413060953871685,7.179478800917192,5.4406680954048685,0.04671705247241131,5.261554063024771,1.7382866907873025,2.0041361554734833,6.234156087934252,5.008493424356807,-6.008858103095403,0.25317458765468687,2.5550112520291783,9.342461523230268,5.074202783521222,2.6472304250837824,7.495235835932275,-0.16075905714656624,0.6076335910028638,1.6995012823303313,1.1544524857717646,2.148614157131418,7.296000768345093,5.459658584855444,0.422165608335056,5.293195482128818,1.6780862151199971,2.0105407477814943,7.047321088964091,8.097068129365963
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,3,4.344832014045144,35.841153976,0,,778167.8569968056,778188.4768373283,0.009271994406165638,-20.629112516996393,0.5205478954452598,-2.3751500648349664,2.1034824923329682,4.466221504036058,-7.327340310144171,-2.3722698216262437,-1.5600980553557733,0.5048403889351576,-0.8528844520452727,-0.34450570109245937,3.837961000082849,3.0613582076475767,0.9723026777550654,-0.084463809031456,-3.1217477444405684,-3.4534105332201013,-0.8719551773175871,-2.057958749209071,1.6152091582860981,-4.399350881401368,6.408409684353115e-7,2.4565813790488965e-7,1.7461238505601086e-6,5.086755093869779e-5,3.827760517807456e-5,0.0005726404714834518,0.0005670359813695575,0.0008600408076701697,0.0008252733957472457,0.0010120755253325896,0.0068531771533388115,0.00021499122840908395,3.5375793598549946e-6,2.620912118398043e-5,0.000663203314525627,4.65946866742165e-5,7.919349905091595e-6,1.1132312801016203e-5,2.4879251122719246e-6,3.732059638407593e-6,2.306669591516661e-7,-4.631019224646795e-7,5.736940617935801e-6,4.3200978729541036e-5,0.0,0.00027646652822298305,-0.0003759605508871702,-0.0005458322621733771,0.0008954574754202899,0.0,-0.0011978740050969108,2.1567004193060692e-5,-6.582070882262438e-6,-0.00011541450548703994,0.0,-1.6388669174717967e-5,-6.114511850551395e-6,2.058991412562825e-6,-7.133250242185492e-7,-5.302257492762694e-7,-1.5940225662536116e-6,5.437516484689714e-6,0.0,0.0,0.0003305688538333205,-0.00019453706738173157,-0.0007089593246242259,0.0,0.0,-0.00012102668332119359,-6.951870554149207e-5,3.707651957368756e-5,0.0,0.0,2.0096713165940747e-5,6.277475894417716e-7,-4.987834478419465e-6,2.1701656232921076,7.317255907944945,-1.465990201576648,-7.47317778690519,3.04451639775375,7.262987287282537,7.927962744314177,4.221322428997432,-4.473066229384659,4.365775119101736,9.132399133025364,0.8432051859396296,0.6651267478153245,-0.1484255240352867,0.7003691411442828,2.801741970588491,8.242728415691722,-0.3779796660758361,-3.5713944694632014,0.2261523388132235,-1.4149970985423745,4.097428563973258,3.753027882352326,3.2491371867351613,10.408158087496268,3.4633366647659862,7.807706399918713,6.705905040939454,-2.838964497487881,0.8639490690311034,0.702547680067403,-1.6949640849895031,1.6061713475441346,3.6690943924910067,6.506701666040339,3.579079872657178,-3.4599624294465503,2.407337318209243,5.3560892037734895,4.344832014045144,-1.5379483185150482,4.097202825781544,3.5306065384018805,6.414938017037106,11.417309785443209,3.495978851590506,5.838943425143516,6.93259426867404,-2.893065065263028,0.812641118720324,0.6196249672174279,-2.6884521342353467,1.512211958067351,3.6605295087847525,6.875275257766592,3.580917096231679,-3.4665270572705955,2.4272969993458124,5.438239455029763,2.093715087627701
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,4,-2.2223994470288,30.692857956,0,,-1.8629859659027247e19,-1.8629859659027247e19,1.9627689984546965,-14.25312114139761,-1.7653014478821518,-1.6794312379199434,5.586189423928227,3.933712714574971,1.402614137338709,-3.5717547877909155,-9.993218414206911,-1.8886954171839732,12.909821682332725,-0.48985140788030845,-9.44427056022551,2.102219371243749,1.5209084168245077,2.0825984439550247,5.980412871804144,1.6498331904441592,-2.6597548965871347,0.5507072416407017,-0.03187521704838003,2.651796792413802,4.6151343991645924e-5,2.7500177487767716e-5,0.0007105006615311397,0.0010958703395306274,0.0003341891434764674,0.0039004451916659806,2.6303737909459277e-5,0.0010012001590054506,0.0002615048952986867,0.0004409732581438675,0.1577877187954577,0.2150322597311842,1.3686794863842138,0.005231788102153151,0.7995246376979216,0.00011612775185521198,2.6565970419449947e-5,3.283195366408875e-5,4.125299688957178e-5,1.797094672952367e-5,-3.4897671346404536e-5,0.00013435207635704194,0.0008810188327382228,0.0005932375188699348,0.0,0.0003129419539582311,0.00015815525746365325,0.0004935001027816505,-0.00023926037658207695,0.0,0.1841985325960024,0.5425023562744137,0.08461270878974793,-0.0646691946836043,0.0,-4.8402397678309325e-5,1.8900872117503708e-5,-3.6074452678991765e-5,-2.706891227227548e-5,-0.00017544097485843105,0.00016743403463275413,0.00047807194590014163,0.0,0.0,0.001973622185003683,7.781368282717845e-5,-0.0005502540897095058,0.0,0.0,0.46471380886491015,0.033537951681422214,-1.0460809478251016,0.0,0.0,-5.069406291155565e-5,-2.5768329008075095e-5,2.3278777707222202e-5,-1.5913680425277767,1.8088005475551623,2.5384471937924027,4.81675729708314,7.894744258009441,-0.45707850304291064,1.395545200725734,0.7115360192680387,-0.17815919704002883,-1.2156459512913278,3.7713587730335205,9.52896543814682,4.288275326666959,1.3795979604121218,-0.8428295387329497,5.332585240943307,4.353339718162882,0.8088448361719264,3.0973016052563,6.015581396708292,2.710956582313452,7.178285423561454,0.06944376176551348,-4.081470456695923,2.687503808972669,6.943328542907355,4.887670505028412,3.6314976393218634,-3.341244791720383,3.9464287952535813,7.350759910453625,2.1591991195723845,0.48032942707742077,0.46759990183353706,0.3062109352304508,3.2340027863751786,8.25986112322641,-0.6316532410756145,-3.2790990767515034,-2.2223994470288,2.7346251435304545,7.15740071393317,-0.5331326565116334,-6.197884371474048,2.2027738682044573,7.046249379819228,7.7702475079496605,3.889715538276678,-3.7903806857500113,3.922551561923294,8.8155967794328,2.748255742332221,0.35228923627134356,0.4459065408324926,0.3202705934638645,3.286180986971492,8.281136314008323,-0.6355992674100275,-3.1876859902816683,-3.6430543627140466
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,5,4.55589227339244,34.555235395,0,,253858.69711054288,253876.24523089323,0.06449255247379133,-17.612612902795256,0.9526336472797068,-2.6906155055322483,-1.9790169131284632,-1.8999652641866083,2.4880293184884783,2.243535976031792,-4.076962636131826,0.3176161082597946,-0.16914701039626234,5.083668556053368,1.997378575794185,-1.8139112274186706,4.141179292968959,0.29053833937060625,2.018275915380756,3.001070171386882,1.8187391280632967,3.319671981925521,1.4921164938489628,-7.088821732719554,0.001208338494050111,1.770927330573759e-5,1.3930480248624709e-5,0.00010002463587954862,9.28365650306448e-6,3.6698361759281334e-6,2.6230767102215053e-5,3.37852759636623e-5,2.2944986125687075e-5,0.00015725781359356015,0.03686809615770601,0.007397735047641973,0.049204411096798316,0.021014832363020753,0.030836826430728402,3.5287848287358925e-5,0.009148814078308044,0.0004112356673614798,0.0007564407723975143,0.0006534018430777243,3.5720414716638706e-5,5.8212910753108285e-6,-8.930455455406806e-6,2.2183516867622386e-5,0.0,-7.934578993251586e-6,-2.5667702642517266e-5,2.4761091973898003e-5,5.831669105757958e-5,0.0,-0.013173217272955746,0.016902404872278513,-0.02767213167363212,0.025399538994129677,0.0,-0.00033200928627210647,-0.0019215962768650435,0.000550334201509419,-0.0006932201742326419,0.0001129903489816285,-2.0811261427614e-5,4.279397749090791e-6,0.0,0.0,8.572805369518004e-6,-1.5330978187493205e-5,6.379174640873582e-5,0.0,0.0,-0.041972227862064594,-0.01227642609438841,-0.03449514160768847,0.0,0.0,6.206748610522991e-5,-0.0026264461629419227,-0.0005106215202869831,0.26943347308368326,5.702913819267975,2.5373070522661925,-1.1495296731545321,2.5557471064434454,11.84966767208375,0.1939002054215482,0.9938734535134623,4.437245127049086,4.750775974058701,-1.6428272097451817,-1.7365020254356123,0.969223332317733,7.598507452544194,6.007190071524514,-3.9255094223520084,3.34597977033515,7.093307485311117,7.200252394309322,-0.4149511246852163,-2.328321850903891,1.7051779358871213,2.6523309001647606,3.63608616825681,4.488353369561773,-0.5706339103330254,1.6718700279403524,0.9364002601628099,1.1423288135015284,-1.3842428196530578,3.9956443481830357,7.231327646600036,3.6981272757529244,1.0679517226895339,0.6821556850605826,4.902449646762301,4.105274790346445,0.3754003333136735,3.3695286743477935,4.55589227339244,-2.251650048037428,1.692664276153206,2.579203760062557,2.839146890608645,5.38103558219113,-0.5753191790759226,2.5814186053133383,0.8133715352363413,0.8506278283832513,-1.3972586148116122,4.930188049609754,10.507751402705033,4.062637420518073,1.0027977539689472,1.7563595331970627,5.022684043379436,4.155399941609646,0.33650060354933,3.089402822487416,4.86876883567569
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,6,1.5351257323667282,29.133978999,0,,167033.99289027735,167048.8238220764,0.08386427498049222,-14.91479607401541,0.8672961674529405,-1.132927184950515,-2.552694466002084,-3.8502400364999168,-0.9249482991807287,-7.946504924275519,1.7489834011761407,1.3033949120797947,-10.126287286150601,-0.651417775755398,4.051626182599141,7.5456937934859125,6.244209074121242,-8.341528372944648,-4.904222884673113,0.6267282838958588,-2.0001936629352257,-0.21915537094555582,1.8379621615548132,2.470334560595149,0.6508326011886658,0.002480222628829593,0.0024141470238078504,0.11746251829197624,0.001442162291456704,0.000150042121989494,8.079349410473479e-6,7.420471437846256e-5,5.4346495233082534e-5,1.3200081091671852e-5,7.528467108947767e-5,1.038228941361573e-5,6.753744594312139e-5,4.983981141142196e-5,0.00017153396885701076,0.00029150466759066465,0.03149965204841231,0.015967630677841703,0.017361399961079826,0.169606575939197,0.021303928509030016,-0.0005191519467345579,0.0071970068304245275,-0.011760524938608054,0.0,2.7765482185952956e-5,-2.0777228103810513e-5,6.0045368270425716e-5,-6.828164804215697e-7,0.0,5.4766951139324875e-6,-1.4014751510414904e-5,1.5864296364064433e-5,-5.5997344682497916e-5,0.0,-0.0023558100136301416,-0.020587680629791338,0.011343005290758684,-0.04986660120625432,0.013114873768481744,0.005582811581398668,-0.00046764069860019724,0.0,0.0,-9.699169104280958e-5,-1.8072921851495275e-5,-3.6128512078137737e-7,0.0,0.0,-1.1628600017717709e-5,-2.017842888556925e-6,-7.244811675314037e-5,0.0,0.0,0.0020451296995617914,-0.021106217846977453,-0.04737903856168279,2.335609780664275,-0.8363806691299004,-1.9725178079853172,2.4722391284203633,-0.7130905124455569,3.766870781755033,8.494030502112222,2.565709798811576,6.610231538209782,6.963462480454107,-0.3829890614860835,4.836378497376435,2.117195274231105,-2.597375812426653,1.4459276936099128,5.193667025430497,5.993554011931187,-1.5123603442299711,4.576911257114604,8.397419089414733,0.37618417175471935,5.8943150982015196,4.0421688933057105,3.0802476822513056,2.58234150849663,11.562753113551077,2.2881448323951994,0.7198257193466824,4.923729043206231,4.998457377675153,-1.6699817177840808,-3.380281576072238,0.98340060862726,7.882074967726179,3.2572558247785155,-3.5733144835536486,3.0579402965729416,6.963005948011915,7.5573378294171505,1.5351257323667282,0.40741445232939066,5.915182137707129,3.5221983030628587,3.3286179163436307,2.3262506107730987,11.602047836126722,4.941234901910111,0.7268815018298107,5.059276190329648,4.988723213487275,-1.777916219166732,-4.039380674171463,0.9936705281485785,7.8835486636497825,4.4444660748212,-3.5500790970451455,3.062149914251039,6.978105331465745,7.675267569359282,1.7442186875903234
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,7,10.160916804289627,30.102538983,0,,9.981474394377894e51,9.981474394377894e51,0.005254343511924139,-76.20685820502294,7.86226692847414,0.7872790222250351,1.3461274637899021,4.451346218281069,6.29327619269657,-0.9473380046615669,-4.9116445092750265,1.6234727180160018,1.0565698410903313,-4.084064314031531,1.1462621937768822,-1.2158154769471032,2.790597497122234,10.94662086624347,2.835266330786464,-5.54133311738912,-6.74735655288434,2.217955963155735,-3.9159609472101797,-6.444032228893274,2.1236590567967023e-48,1.8415706229673784e-46,2.1231731818173076e-47,5.507514214794146e-50,3.1477333654911714e-48,0.002068990640768267,0.002208300934586014,0.00333479432141245,0.00125245013399401,8.723531706466772e-5,0.0064332864086440395,0.0011466577439601382,0.0001644167940263751,0.00027901387015291846,0.0005642630050775204,1.0072442386418315e-9,1.5154964529023111e-9,4.740126551532709e-11,5.050964064486237e-9,1.3472375900998864e-8,1.977134028744361e-47,-6.252495111843334e-47,1.0773264030157251e-48,4.1551455494672665e-49,0.0,0.0021121445012387877,0.002710117153932312,-0.0020248522304227535,-0.00028371385235115347,0.0,0.002498545562513374,0.00042354435805742196,-0.00018284057969801906,-0.00031877392013198293,0.0,1.2340280702439488e-9,-2.4234750917497426e-10,-4.0150936418906874e-10,7.974729907457162e-9,-6.71216794549234e-48,-3.175890988406972e-48,8.172725655373473e-48,0.0,0.0,0.0026001388478840994,-0.001653169565232346,0.00044227940897523227,0.0,0.0,0.0009711136787393077,-0.0004726244204772732,0.0002153192709302192,0.0,0.0,-1.9894338039582014e-10,2.7276188710720102e-9,-7.494261066592603e-10,-11.019923327350762,2.404081905749623,8.266805465893341,1.3903531794686916,2.159679902910928,0.9928366090364202,-0.213284937482497,1.1627192903176475,3.3542773106576558,6.638961467728473,-2.8158321304494707,1.704189641447551,1.8407793303520177,5.4909734506334065,5.105035261453743,-3.686046732515556,-0.4703074035460697,-0.8877756980822185,8.581852975478638,2.669400353684167,1.976415702733398,-0.6118592189424339,-2.0381155440204335,-3.0656658814371016,-0.9515966806760622,3.7657506855501532,6.125314825340482,2.360159753878956,6.390525237337196,6.795975811998891,-0.0872506413526073,1.7479439166789847,1.757491063448682,-2.88617922547707,1.678337728714235,5.758398220465268,6.532541540438581,-1.928017178253001,3.9811864397058248,10.160916804289627,1.699768807579182,-0.6238891276490626,-1.827962360979514,-2.6982039804708604,-1.07528056256628,3.752723951620252,9.104647142001141,2.439566979622955,6.451336947358431,6.753815795768967,-0.16970476944371699,1.6700252650021028,1.7302124434453243,-2.9070907159638724,1.9777342750152593,5.8005734032619864,6.627297382542931,-1.8972474103260257,4.203515455590935,11.641422372310451
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,8,-0.1261639385341704,26.600272447,0,,549914.7824540971,549930.7465487873,0.12992221837042078,-16.094016908633684,17.35893901170163,1.0260900430959805,-2.547573940010781,-0.9980515251920337,-3.153445596204331,2.299108801883486,8.096382392265754,7.2537531766533725,-0.8428828263419459,-4.944563652756909,6.077125802307381,4.317957089338251,-3.1641242513656374,-0.9989968598886669,-0.9987366747410693,8.984770497853436,5.105801951783495,-1.3527223060457914,-10.954760282059004,3.501837371118207,0.00018021316086875894,0.00010486944287380852,7.386663774686499e-6,0.000456639224571249,0.0001273424312124844,1.2665999213229585e-5,0.0008458002750750286,0.00029774449844567657,0.002032871509630588,0.0001739683938569801,0.000852921610770876,0.02210075188256289,0.005425356243767415,0.007381002990477822,0.001465872425716684,0.0026360300443608493,0.005179462632236966,0.016140711007547038,0.00011651457902364136,0.012065313023401785,-0.00010326765236404352,-2.3414378541193247e-5,4.738398946836253e-5,0.00022902542270210313,0.0,-3.447305510006551e-5,-8.369747849799728e-5,0.0007467511020644582,-0.0005414162221372527,0.0,0.003906910662766091,0.010939085594435903,0.006243937993421437,-0.002018673159673844,0.0,0.0023551949871736975,0.008818722755098096,0.0011355327028955997,0.0010154301730154677,2.751195860850418e-5,-0.00020586440534989202,2.708170048891015e-5,0.0,0.0,5.228388433451743e-5,0.00014855753222279904,-0.00021270810395888822,0.0,0.0,0.0018988473670807087,0.012667682187104488,-0.0014502784066024144,0.0,0.0,0.005283930573673436,0.000516939451655699,0.01393107063201248,1.2660459488402642,-1.3381641937407018,0.28945418554561475,8.477283635385719,2.2915595609054282,-0.2747976343485795,5.335245352567273,1.96469041612848,-3.009752935269504,1.6524801039472792,8.867502444441042,7.448179453594081,0.5471792552937014,1.373036507956866,5.918826449534982,9.765713906418373,7.696510765298374,6.082472386438837,3.299535923953048,0.5352708099352873,-11.166786161811066,2.423532112162402,7.237387014576606,4.856773422667683,0.5736713929331276,1.2011445329692632,-1.3073156166908926,0.813931470041076,2.962762837472091,6.612345689045191,-0.8180167871851607,-2.07629207353153,1.8979474210996046,5.495452332215921,8.550363889463709,-4.769627367622046,-0.794420486922974,-0.6933726207711293,8.634121245526227,-0.1261639385341704,-11.573066608797527,2.461849043585809,7.71064183946543,3.2726865935729923,0.769268631871266,1.24632203041763,-2.3004064602945635,0.8806276527592865,3.2081444517785784,6.643622890585094,-1.5165741312805627,-1.4792411655801114,1.755649034805974,5.482444211418811,9.012039774291054,-5.162054303446216,-0.8217827350272253,-0.7355413800904053,9.093309465117295,2.123343909823382
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,9,1.2153580643177215,25.809379781,0,,317356.0829396289,317371.7737898963,0.1214676386595785,-15.81231790597099,2.2454526414632876,-0.9683845614831501,1.5106302819362663,5.447771307402065,-6.743483202050491,1.4567614174144206,-1.9366458072952581,-0.3485272831789138,5.006789542436353,7.6191701822455045,-6.554204461350539,-5.408240441365141,3.773655992155648,3.8198404317683803,-8.151416476792864,-7.622855385823969,-0.006415493120627502,0.15655617709843028,-3.8142044858328696,3.8875355776321254,0.006678450454069598,0.007082856372154605,0.0065272562618967885,0.0010221717636120027,0.003639363625730529,0.0026423492513850525,4.393660605119383e-5,7.41990976508554e-5,0.0002640662354934518,7.284020192132463e-5,3.480826810742394e-6,0.00011068035985434164,4.4780989426659854e-5,0.0006967640400146892,6.177913403910651e-5,0.0008024057322731353,0.0006722520381685839,0.1332295196979047,0.026213332895559115,0.009720989462038334,-0.002509846148231259,0.003529535205321833,-0.0018899575808228133,0.0016443638663456695,0.0,0.00011676322695396295,1.3279740341857958e-5,0.00012477360767279206,0.00011009693879806371,0.0,-1.1387823614965614e-5,6.66591810841757e-5,9.005976850498049e-5,0.0001930223421500175,0.0,-0.00018766193230538103,-0.004900316762893718,0.05907347030695198,-0.014802998628036947,0.003972057315853387,-0.0024185122252183824,-0.004579004048279877,0.0,0.0,-0.00036638115494904284,6.604378942999494e-5,3.583168875615516e-5,0.0,0.0,-6.7641432230618384e-6,0.00020859827457496557,1.8026167268911656e-5,0.0,0.0,0.008897252049482855,-0.00219867015987399,-0.033559053688452384,10.779226229127064,0.44154904006317724,-2.747336544955005,-1.7124231792556999,0.6774038881782941,1.8442846785812383,7.973353450309286,3.913952079063999,0.37191778298100847,4.855286976945956,5.894554783354782,-2.0431037522288604,3.8263631000101697,3.2570874959545812,3.8813453543174092,-2.4175011413020258,-2.0086401323393117,2.1841774439595754,-0.5924509932413701,1.0918810197484234,0.4699185895451219,-1.4902754120032613,-0.8013152778635657,4.5787474631761205,3.1040925367533703,-0.1314800518573671,2.9448468672129335,1.1148759744269552,-3.5621399156594356,1.7907919621001496,8.380914593864132,6.388959599635058,0.7341625142747839,1.245928743898344,4.989235908072667,9.346977054726768,7.300350634138037,5.632503671119606,3.6332051905273115,1.2153580643177215,0.15827508351615838,-1.4808430012091995,-0.26786651452343796,6.723983565068719,3.080728268068773,-0.20539492643781665,4.8194219362573465,1.2959012821004707,-3.7807949187441854,1.7815913930579894,8.983618924509628,7.065630765201276,0.5770227528598657,1.2766633549112671,5.8327947411731,9.467974500598613,7.530303195118512,5.7211355311621634,3.993446961533,2.678573512896061
Block PF,block,32000,400,5,20,1,2019-01-24T09:06:14.458,10,1.256903075379034,26.843705489,0,,7.557374742235293e15,7.557374742235314e15,0.15824472261666395,-20.687383636576342,-8.299470758455058,0.5936465888516749,2.971471491467435,-1.2192697329861644,2.777863930872774,-0.9761977883711208,-11.919910921476633,1.821215474131673,5.071681786081728,-1.701807442070725,-1.209560228137259,6.628972263216183,3.590559047094211,0.47227840564304335,-2.034102835564446,8.103060900613373,4.772759887351104,-3.9555917702676413,3.529110935271012,5.346023866443151,0.00013871930666699346,0.0001249678817238228,0.0014950597734913358,0.0028648600147196334,0.10925636762477997,0.0021998093545978585,8.409740342289274e-5,0.00027165878971437753,0.00028929258186473545,0.0001906430498489806,0.17593441857896966,0.008299484757114766,0.03266035328948224,0.005788853143841724,0.008164347906904736,0.0002767695115243291,0.0038516567028268464,0.00016382864827090148,4.130769927191926e-5,0.001692491620451126,8.960801986093955e-5,0.0003992203248869014,0.0020654306974827587,0.017689196689471415,0.0,0.00031299983812626777,0.00011772875381541266,7.63446591390768e-5,-0.00014560657939581055,0.0,0.036840465236950594,-0.015908686843445423,-0.00014201449128097495,0.002669423523171446,0.0,0.0010324819337147297,0.0007943570755737776,8.226409465090342e-5,-0.0002644093062491587,0.0003607335125418243,0.0005445120253418257,0.012748138731060779,0.0,0.0,0.0007643592846636626,0.00012162382787118595,-0.00020047458757580696,0.0,0.0,-0.07434763773312457,5.131629079972874e-5,-0.014206680758936488,0.0,0.0,0.00021293564186140144,0.0003988754922129507,-0.0005265688088017395,10.779605283287617,0.4421685719086609,-2.7469396006705047,-1.7128131618133602,0.6781670032567997,1.8435940010398613,7.9738069244066265,3.915512304960091,0.3729186624404168,4.855543407817137,5.895841198362804,-2.0425948998391203,3.8252599330562824,3.2571978683818763,3.8810247755274743,-2.4173565409282594,-2.0084274803778834,2.185900963003681,-0.5923796750958316,1.091015487765855,11.498420181728585,0.605811178620705,-2.637091314130218,1.726642814678126,0.056063375080960376,2.3615505291804744,8.144653175740455,4.511456466444215,0.6828413085644294,5.400651769205863,5.569573923180886,-1.2106274281409888,4.638687464301191,3.21051916055295,4.25989899501759,-1.647154355646669,-0.06514007473558792,2.5994439848811064,-0.8168357017967758,1.256903075379034,11.655814151517287,0.5451563287247877,-2.441844026435119,2.4378985069767762,0.13397810852672265,2.3809668207717567,8.749709966346593,4.600483721617221,0.7039032238649786,5.424655832347057,5.269219382161409,-1.585578055405623,5.013249772041319,3.22441019156047,2.997865463403117,-1.7186856840735563,-0.09094311206172456,2.631439097255695,-0.6647116420110365,2.501133714437887
