model,mod,M,MEquiv,r,sampType,mhType,hpl,nIter,useForward,overlap,isFuzzed,rejuv,version,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,v0101,v0202,v0303,v0404,v0505,v0606,v0707,v0808,v0909,v1010,v1111,v1212,v1313,v1414,v1515,v1616,v1717,v1818,v1919,v2020,v0102,v0203,v0304,v0405,v0506,v0607,v0708,v0809,v0910,v1011,v1112,v1213,v1314,v1415,v1516,v1617,v1718,v1819,v1920,v0103,v0204,v0305,v0406,v0507,v0608,v0709,v0810,v0911,v1012,v1113,v1214,v1315,v1416,v1517,v1618,v1719,v1820,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,1,7.410496520929602,21.681198454,0,,28.611138188170912,20.62265122300016,9.87710699825438,-1.8886200330836247,0.9568443390206842,0.23067970629383616,0.44623786715124636,3.7672158903060575,-1.5142768565312132,-0.14703915368121034,0.1266478717266022,-0.22769037946574056,-1.0784506847511173,0.4401611035254609,0.07893486987055437,0.3619493707724306,-0.6076930862206802,0.2400632756241694,0.8971403603424298,-0.9744981253386165,-0.2125363110945493,-0.4322650035945679,-0.3080580491436056,-1.2521340151576732,0.9777460285022127,0.077255434045006,0.3181788728593774,2.2227677864526503,1.128290015596985,0.10314931802292276,0.0814989414220293,0.26983970487467146,0.08727760878123263,0.13256354631190115,0.5239446384190601,2.3330218343389246,0.9889207416007049,0.07397657546886004,1.4592041744600752,0.1218748836005148,0.0629257283493306,0.04938083665115586,0.16024317075284547,0.8099816321745253,0.12475927057578107,0.07861539183235455,0.18832876477906593,-0.02701782775132272,0.0,0.01095947096336055,-0.11287967583961332,0.0033409304533882004,0.0595912489843006,0.0,-0.27993833119362044,-0.6790921903814916,0.07366927091205493,0.07573271835506128,0.0,-0.051830172020404804,-0.04304160071581946,0.06164523328346438,-0.24597973478600818,0.06373626433272847,-0.09594585481267966,0.00950374410666879,0.0,0.0,-0.03310546737130844,-0.03241613759588247,-0.04320550368331153,0.0,0.0,0.13922077553832365,-0.1174628139917274,-0.6981288044991266,0.0,0.0,0.0706818211637862,-0.05339159044172245,-0.05951757726362042,3.611616185423904,-12.058540318545178,2.8171996366927288,-8.915171666358267,5.15527248823814,5.20207935204852,-12.001090142543587,5.221004278277599,6.145767712676876,6.843136833639461,0.3260196353384518,-11.63498815348584,4.176352705455842,1.019008678077811,0.8281131624707353,8.859610804040079,-7.622525958753288,-3.838468759247695,-8.221577995527117,7.30018818841154,4.447514544776177,-11.633306639852437,4.612096743337703,-7.338503654225008,3.7412781455606168,5.251834549970479,-11.19053270319317,5.442651658806799,5.597919410808914,6.799282237882384,0.4387466450142985,-11.405143268156646,2.970407693323767,1.2492285876783102,-0.17565845935168622,8.723609492947904,-7.970559355039866,-3.6240635041092863,-9.371954868754239,7.148494974676091
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,2,-3.2341185108707267,21.627417909,0,,118879.634051183,118884.73659078935,3.6962684465114846,-8.798808052855737,1.3997548720222104,-0.49694879143627946,-0.2288209185239869,1.7803380118839853,0.6400349142880619,0.9421618133414666,-0.05953493624185535,-0.3743040961624433,-0.5716196646939342,-1.1817429202563545,-1.2842679056784072,1.546597738563667,2.2910497244122343,0.1610627273841163,-0.3469367719484042,-0.10267290138307139,1.2123040782632746,1.2625927916430024,1.4887925311890147,2.162631741792063,0.8687542247986647,1.1381138234413508,1.7877849517223874,3.0226078291064904,3.44160410494706,0.00015797059312987674,0.0003432533126328033,0.00016469562307750107,3.0507846260500523e-5,0.005244600725339028,0.10180036675104515,0.4168863761399594,0.11201392253573922,0.004486607273481719,0.034959563684232434,0.010785467559990797,0.15631528086450033,0.024532488190182295,0.006570711111269788,0.04009706517826021,-0.18928360808733594,0.2522616343083441,0.8570922984446306,-0.5811758781705593,0.0,-7.156015990387279e-7,-5.874421907328401e-5,-6.681195631029431e-5,-0.0003915152073021013,0.0,0.16724999493075215,0.19486676888280144,0.01346367174217081,-0.007267798813210452,0.0,0.04066245151188692,0.06145505841893067,-0.012159087227147133,-0.015587875723786098,-0.9808735245283237,1.1437072720176682,-1.0178515602608342,0.0,0.0,0.000155395271066789,-8.110224579238341e-6,0.0008154762971982133,0.0,0.0,0.08883175280968858,0.015991674082153306,-0.009390087805371459,0.0,0.0,0.01571144620179813,-0.03157988809124402,0.03134977701468986,0.14831579351243232,0.6422791873054572,2.153236249492591,-2.68922558473587,-2.564964071721955,3.884566725273344,1.0173088441840858,-1.5662821322880267,0.7634231357871771,5.217696069771656,5.14458339436492,3.664421610873776,2.449407130562646,3.0460305706629853,4.519354762587947,8.176823694674384,9.704473921518334,3.1813503477705076,2.0247598053405658,0.47698915774574285,-0.7694173868263132,0.46322508239215243,1.2623362618309164,-1.7962527318311692,-2.282007207093618,4.144354103689517,0.48061040821136647,-2.0961071665720907,0.22155176363287166,4.551336195528257,2.5103344917876944,4.802493616455469,4.536980096487939,3.017062228246396,4.713628385094474,9.385639967692136,9.698362562545949,3.458158093253667,2.733583875207427,-2.128887993917139
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,3,3.6791504039249174,21.688365116,0,,293424.3761726562,293442.2482158945,0.060744096767724964,-17.93278733498098,0.5143307286980443,-0.4541081791292083,1.7456318975733938,0.4524165119569714,-3.371027131750706,-1.3370060344682524,7.4565037162797285,0.2335481024898911,-1.2604150637849587,0.5547494254790553,2.215869445030514,-2.920481207706914,-3.772400636508136,0.7919863198603372,1.659731134119621,0.2730545360775194,-1.066224014288883,0.9992359853299226,0.5541748934226405,-1.0069035555407981,0.0018101298566142584,0.0023673113478483235,0.14664199321672214,0.2388017349583105,0.04290329099624398,0.0001050886251928617,9.277508956099714e-6,4.850940038341957e-5,1.470308111026083e-5,0.00029510223789497373,0.00024392868710343936,0.0012054629496171957,0.0010007533786282896,0.00016597515359630558,0.0004380046691806581,3.477194427492489e-5,6.816039752103539e-5,2.63314099680512e-5,1.60801223738016e-5,0.00018083753439086228,-0.0019924583581296257,-0.01841848771977678,0.1871091903901485,-0.10121570165140771,0.0,4.152102359635712e-6,3.901792767323442e-6,-2.3317837593463802e-5,-5.73186703064813e-5,0.0,-0.0004270790780876571,0.0010641152308927112,0.0003784608903806168,-0.00023109940840492453,0.0,4.234835533375027e-5,2.9905814292488445e-5,-1.4285445747166311e-5,4.882927669976188e-5,0.016138556827979416,-0.023540287439489754,-0.07931438455068911,0.0,0.0,-6.607171863598069e-5,2.525123976478007e-6,7.432066756681446e-5,0.0,0.0,-0.0003137206335891569,0.0003694306436799613,-0.0006441877071503041,0.0,0.0,9.784482173562924e-6,-2.9471091667332297e-5,-6.152657847104778e-5,-2.7949360434826107,2.4188281917568437,5.577117928586089,5.197689259153482,5.313961164188715,4.706655200986296,-0.1506869215650279,1.3698040591355254,5.522273509130606,3.706362795038744,-1.4194538528641085,2.7721168442258155,12.225600465588277,-1.3966830424051608,-1.2227644723633093,4.835840954618777,6.644419659723265,2.73284042322612,5.485214652722668,3.4036719352235028,-2.1666590818650424,2.0045647727010203,4.030740997996175,7.486224931371392,5.5610368447181955,5.291987873145088,3.1874871369280533,1.0072112397218809,5.024171009053608,3.6372005573909103,-1.41659514185458,3.87656480570623,11.316842626601094,-0.909473241876258,-3.9981445531868838,5.041760633111143,7.459382961857127,2.780139878652916,6.97027767188556,2.7168006091823518
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,4,-0.1585614259924455,21.53432737,0,,1.113466938337143e81,1.113466938337143e81,0.0005515206445068515,-129.28212779738,-1.8305387847569128,-1.3215429112435477,-1.7332455721926623,-6.027763715260688,1.436993117117665,-1.5632960474076922,13.67903072192629,1.4714035965888612,-4.383720743865031,0.3843422266716676,-4.3289393075470155,-5.939630546145146,6.531598412879401,-1.3917288279065163,0.3897372231492531,-5.305758636669199,-0.44805708347000195,2.8952280666081225,0.4453605775728109,8.45457504060135,7.345693391947258e-5,2.6965528695233968e-5,0.0005344477829459376,0.00026229096124536454,0.0010575919238991933,1.1233003834256932e-78,7.888609052210118e-31,3.1615076744314252e-80,4.192394457927425e-79,3.899328193615923e-79,1.2587957127789045e-9,8.691057678861248e-10,8.164558013713255e-10,1.1702292310516354e-10,4.57107539434233e-10,2.714115221484163e-21,8.921431590426245e-21,2.1980125568176106e-21,6.8884361967004245e-22,5.028665327301332e-21,-4.4480028020159185e-5,-0.00012001957988571206,-0.0003743817429067992,-0.0005266153545242262,0.0,-1.8244478779814547e-78,-3.05889982056207e-79,1.1508956459543968e-79,4.042725976939949e-79,0.0,-1.045896798260151e-9,-8.423430283743203e-10,3.0899406499488616e-10,2.311975172498027e-10,0.0,-4.9207510967675665e-21,4.428252322541988e-21,-1.2304813192328717e-21,-1.8611673064266347e-21,0.00019811043634463237,8.407403169119139e-5,0.0007518066342323231,0.0,0.0,1.8829444293119715e-79,-1.114544322079514e-78,1.1093990540199743e-79,0.0,0.0,1.0137706006811784e-9,-3.1881518937810645e-10,6.108997696613916e-10,0.0,0.0,-2.4424698013995467e-21,-2.4790040482336316e-21,3.3246136954640306e-21,0.9994645450068983,4.675630800247798,7.920230685969657,2.2185302663112596,4.749954573509598,4.2589380981799545,-6.163657092852376,1.8859272829354923,0.38120786769236853,1.0797388194413717,4.079474978584313,5.871057085866565,-6.4518790950422895,4.982122343014626,-0.7145416341511157,6.213891314729886,7.537115273551192,3.679754827408806,5.42304992425384,-0.506398148696559,1.7559163676340268,4.718444235639159,7.537598199179699,1.5906533641779832,5.060630239094296,3.926420206369907,-1.380026862239153,2.526876114189896,0.7367303965187555,1.6136335135369546,4.917743149305438,3.6735056062912093,-5.739638798833417,5.225045836631798,-0.8555095293627765,7.1385952625220845,8.156292555024983,4.058345499872669,4.356502286411122,-4.6243880096288175
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,5,-4.101405174303577,21.419889869,0,,-2.728313371184672e18,-2.728313371184672e18,0.01638241358021526,-14.774550269804553,9.089977285654573,-1.2596742176504294,0.608551417279014,3.1393089483472654,3.459515698383621,-0.632451525926728,2.109862582508493,4.943569902735698,6.94138768286106,1.1185845589334207,-1.798417426274086,1.4274826935709055,-5.902630164303158,0.5367819954920139,6.2983185261511885,1.199619618745737,0.8264525052789671,-9.110682945435892,2.4026217262610903,8.137227962534137,3.5414086235707504e-6,3.574499960394778e-6,2.3047063692493074e-5,0.00012691804570121224,9.04551448014346e-5,0.0033402031694941313,0.0016942310842563994,0.003579676141594047,0.0003668972009074609,0.0013918199097624282,0.006335160453328612,0.0009686405177341323,0.00040057118177738547,3.722413213221281e-5,0.00044829270529478794,2.341932326967041e-6,4.9041399340935366e-6,1.0211950754156063e-6,1.0089672629591033e-6,3.4722344034429092e-6,-3.5579158203497976e-6,9.076438081980862e-6,5.408408530244904e-5,-0.00010714658278180526,0.0,0.002378881257542861,0.0024626811792555782,-0.001146024937122258,0.0007146011678265785,0.0,0.0024771946030623083,-0.0006229040671774587,0.0001221102559117703,-0.00012917935940311953,0.0,-2.3019979543053297e-6,1.2807069859608792e-7,3.242671128682824e-9,9.641459968531623e-8,-9.03432731909683e-6,2.1299496457249074e-5,-4.565879415350725e-5,0.0,0.0,0.0034578672030479945,-0.0007884216146860039,-0.002232098681593658,0.0,0.0,-0.0015930105804856413,-0.00018988628865916138,-0.00042376070929489725,0.0,0.0,-6.635700576569745e-8,1.113575998720487e-7,1.0331897580070988e-7,-1.4075088496111583,1.8414281035697684,0.6843862378742992,-0.3705000193809449,2.8834527557090857,4.313285261749254,-1.2823495740112045,0.959292892670923,7.069520708915889,-0.7648804099540057,0.18430906937478173,1.7127103243379147,10.033731119676293,1.2021084096410728,-7.364957359312698,0.33183549054026473,0.4989965321007033,8.288551997105728,-1.188214520018313,-6.693720749622393,-1.29294195665631,1.8926044875188672,-0.3019394691225624,0.07731987955630493,2.5447975386110744,4.2767442608978135,-3.071891656516871,1.8091152175994356,7.226191992872746,-0.7891112468836746,-0.6082435714651176,-2.4216479749314774,9.553219665047905,1.9677894387860795,-7.4717192606497935,0.9091988511781813,-0.007519667011869291,8.192576727607323,-3.040475379558548,-6.365798298261292
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,6,5.22751375786404,21.586943046,0,,408378.6272233815,408395.2805055187,0.06432508245719877,-16.71760721970511,-7.287782898955101,1.3789593513209546,-0.099874408045455,-0.1924959865784306,-2.0670478406034762,-2.0500451101036794,4.802298375848457,-1.2083288905730125,-1.874141974501487,6.217371711470427,-0.7493383795761235,-8.286087174449563,-1.0369164711746026,-2.42246913001415,-5.684855626686595,4.42124777012196,13.154342796411395,-0.11965446243807137,8.655940832954549,-8.090621707107008,6.958366886911781e-5,0.0001289048182735062,6.537114170544597e-5,0.016176212385274332,0.005905510015735468,0.005958011961902392,0.01173891700070224,0.03886041489283605,0.008572657264448601,0.0003060973084918248,0.004931467310808523,0.0002371842776231698,0.00023037530306423032,0.0006115788355256829,2.7387930943726408e-5,0.0005259681831205086,0.0009641432618251369,6.113280696303968e-5,0.0009376358672139178,9.044105670589424e-6,2.9661329082061436e-5,-5.725570900159547e-5,-0.0006217569652899494,0.009763993117183243,0.0,0.008224979761442916,-0.021268721202265167,0.014165970170191678,0.0001197011600265808,0.0,0.0010714036704139575,-0.00022491964195094153,0.00036483135238459435,0.00010524631205880398,0.0,-0.0007105130214907684,0.00023723620645492454,-0.0002329495336486507,4.395506106181838e-5,-6.116481496028597e-5,0.001409930983680654,-0.00035857487074001255,0.0,0.0,-0.014707290096499855,-0.007200604894853273,-0.0013313149039913044,0.0,0.0,-0.0010529316731692465,-0.0003794515438042223,5.325661412026614e-5,0.0,0.0,-0.00017562491409713797,-0.0009478455130349874,-1.1439573150268316e-5,6.794694683353677,-1.0342538700991588,6.504134408078891,2.189578696122044,-1.6145413131225823,2.0473860747154338,7.2616172524098435,6.151259147253191,-3.4899530293958265,-2.6087405151159704,0.6009362383862261,6.824954109614829,3.3086326608757086,3.918480670964184,6.535139686510167,1.811526568818311,-4.2941069401579055,-0.197329957355233,-3.58919299501279,8.286613708357255,6.93437470636826,-1.572593569771326,6.459419791824764,1.8497665954331453,-2.3405538855806323,2.1841016173964007,5.813908944775465,6.505513175608547,-3.0820302815812655,-2.5344902595917755,-0.39908511961897386,6.996945990841231,4.581760308001776,3.96736844771555,6.894092316669719,1.089909981637553,-4.568360300187483,-0.09679661977194819,-2.7377173069402643,6.030094761666593
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,7,-3.9298959289303856,21.234945521,0,,242774.27019048232,242789.86373513486,0.04545978785026504,-15.639004440402966,1.0766468798260869,-1.1549801984344432,3.7699810961833276,-2.3832732588126255,-1.7743979642286152,-1.7084944341457282,-11.650557902206971,4.020731904130615,0.027624728946797017,0.9830151254357471,2.9914003122067525,-8.441571029948655,0.13030865278110215,5.3820216939988095,2.5703139420200896,-6.574517155574491,-2.5840119173659826,9.577181375196325,2.2243381748144437,1.5991683451895473,0.00014496345141678537,0.0006261324406458906,0.0007476568896798928,0.009648766747567566,0.0005440977742737731,0.002213141062874131,0.002203253194845778,0.0006973381907026709,0.003062067457619791,0.0022164222011570385,0.0007144362608355516,0.00013797389643271387,0.00012040788770100087,0.0015660410186436999,0.0006101986698429312,7.360053857847054e-5,0.00011890934156485578,4.3409525841189104e-5,0.0007643769213810026,1.4590976570080467e-5,7.317847011291185e-5,-0.0002828558367881612,0.0024373200312021847,0.00037267178262450224,0.0,0.0016624201701581844,8.621861362480454e-5,0.0012571961669493323,0.0012198111675318318,0.0,-0.00017391883798545076,6.683539297798619e-5,0.00023559098912484273,-0.0009654313098608606,0.0,8.847373647152022e-5,4.949633817630541e-5,-0.00016588796828210628,9.484675396524512e-5,-0.00030420289090065105,-0.0001192919229357447,-0.00012639795078017642,0.0,0.0,0.00023487888477315562,-0.00019852734220388707,0.0003624869287808373,0.0,0.0,0.00011418423125331096,0.0004581466357014274,-0.00012130335247480165,0.0,0.0,3.9527910233703856e-5,-0.00021832653723896997,-2.2647624132447563e-5,0.5598472242901475,6.267838449035506,6.9822466015287254,1.9826682466160137,0.8768584307102066,5.478353247794145,10.03253783298844,-2.16235840758157,2.0648345227827285,6.048907346578929,-2.115943490658478,-1.3952670408831864,1.2214214292765526,-0.6802891828419375,0.2325389469791236,8.295250792078646,5.945582770093376,-3.8065077410063206,1.4627892444021255,-4.525614162875951,0.723527873702007,6.481384118732561,7.9848252192382745,1.4666198900942156,2.0743569825862958,5.304814567329123,10.249498832719482,-1.7307946829396896,2.1043765408629658,6.301577407366757,-1.1842970180522179,2.7895438300583884,0.3780424953391006,-0.2708223826820279,3.2857504695343738,9.057997703804748,6.222030679602079,-3.928104762397357,1.3206315699942577,-3.820629532067954
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,8,8.833914360462668,21.38121514,0,,1.7254205956671753e10,1.7254205977178635e10,0.15777353659692045,-20.664657295214017,-7.9191946336433165,-2.534457784762913,-2.4787312520283793,1.9994446474331404,3.9348303419542745,-5.187639502005851,3.629480330311857,-2.6637328541702336,2.1932491515464236,-6.160951548567282,2.2961044376279784,6.713583389389495,4.872151164560037,-5.241999187627995,-2.586069056252921,-1.000110643797567,-0.8970102210012632,1.9155840489434928,8.32843322590163,-5.877925274900123,0.007962605299208971,0.0004921353606110009,0.001446784183820902,0.005480209784827972,0.00391409295164076,1.5290248336391395e-7,2.463064509362328e-6,6.031525630745678e-7,6.047310117977869e-9,8.070453140197822e-9,8.428916874849871e-5,0.000993368593426827,0.0005487482107042673,0.0012466020667399708,0.003631659402923599,0.03045307527506302,0.01009819740495431,0.000266885560818885,0.0030833509036710723,0.004354035708910493,-0.0011425939799947274,0.0007957833958503977,0.0027642372210836784,-0.004012267923475756,0.0,-6.136448877066135e-7,1.2188463006143804e-6,-6.031324431725356e-8,6.972098648124665e-9,0.0,0.0002653421765480881,0.0007091176104990211,0.0007730803705438532,0.0020238886022767156,0.0,0.01738929781873502,0.0014218162930318416,-0.0007558849011289065,-0.001682180518280682,-0.0013156520483376415,0.0014925224904373969,-0.0021840043018029782,0.0,0.0,-3.0366264203520487e-7,-1.2189682218538808e-7,-6.965401740231486e-8,0.0,0.0,0.00016667140344689795,0.0009464549257065364,0.0013971432677755355,0.0,0.0,0.002451929770788576,-0.005217380517204043,0.0005411274484660393,6.652955129930239,3.613988551444329,3.678588472128751,3.471586300205323,5.39440501544647,2.4583628429293998,-3.6699927687416354,2.1837540256894483,2.376928640541165,8.417052433002139,-0.7128221636133009,-3.3091236268164046,1.6346036931173753,7.962115916452449,-2.2468872293998614,2.962857643938246,0.33408932021959675,-0.8962378043520093,0.4760175974901997,8.899383127480238,6.6609063733626135,3.5258948905429417,4.323950879949887,1.39309911401811,6.487240399025987,2.7877575656534916,-1.9391447185589112,2.9541638487716013,2.374076179790774,8.240473342537902,-2.609263385481255,-6.121383986272011,2.204049727080615,7.929864960035021,-4.2836034190297845,3.249296388065257,1.4077777026421543,-1.3421309352026392,0.12211628859252777,9.58973505656211
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,9,-0.41261110950194224,21.379390902,0,,1.125218383250257e6,1.1252328882864327e6,0.43508501424021284,-14.940121190184424,5.055531689342419,2.333118048575635,-7.451566017320862,-4.749703202226163,3.0589426739511527,0.9207000658597857,-3.4424534301163954,0.9833083770707736,-5.45482960708312,-0.735507116300834,1.7647870028012695,-6.040881308889045,2.84913321608291,2.016080621153578,8.778196008401553,-1.4208664606618464,-10.420894384103397,-2.578964483987949,2.300786231590009,1.4937716105730052,1.5896871091166425e-5,0.0001934977038808849,1.6793362572250984e-5,4.9115196290209354e-5,0.0003100150725323646,0.01429623095316942,0.008392960753323221,0.2548987876868475,0.018544701179515306,0.03919274315006691,4.289580765625133e-5,0.0004948845691436413,1.240116445521156e-6,0.00027941145829164603,0.00011960725227176695,0.0026153938559708998,0.005732089063078967,0.0014624129412263323,0.0033858288121693093,0.21213980884745384,-5.28558077121211e-5,5.3362574085634196e-5,-2.755398550927067e-5,0.00012148445721515825,0.0,0.01011531858476418,-0.04397829290190635,-0.06559157366802103,-0.021432728224910626,0.0,-1.637439914261819e-5,-7.3645860194047775e-6,-5.91076991427641e-6,0.00017634445521497497,0.0,-0.0014191531845746926,-2.5116529333267053e-5,-0.0006158862523861838,0.023689014655068008,-1.5420412495388542e-5,-9.087809030064202e-5,-6.958891702159015e-5,0.0,0.0,-0.05963949049559602,0.010437460236568125,0.08819747709739782,0.0,0.0,-5.2069319969989226e-6,0.0003650111968333637,-6.576653205274882e-6,0.0,0.0,-4.6827582574990104e-5,0.002223223853323989,-0.005308305682843358,-0.509002012134867,-1.6640929768120274,3.4706847757909496,6.0690608106839665,-1.4547931829503367,3.535255420789189,9.801657363788392,-1.5079719166863137,1.2697727943761516,1.0796976587659306,4.519556585557955,6.821201033487979,-4.082193938454538,0.16766984778109387,-0.03467852700073847,-0.2395745678772154,10.123360294962477,-0.16760876913056363,-1.6188565198728848,2.0020676934889288,-0.6981338862791991,-2.136953047497515,3.6859910359556154,8.397271626904685,-1.8643157069598213,3.248536315749474,10.188318566730443,-0.762390974416354,1.9745513182425651,1.011528125734221,4.1689540617466445,7.722971981834082,-4.4440697405647365,-0.0404184814420816,-1.934368380261103,0.6135401854355613,9.576763874979417,-0.42822770317039505,-0.6715213726665444,-1.7842124805057487
Block PF,block,31250,250,5,,,,,,,,,1.0,20,1,2019-01-24T18:26:51.731,10,11.149213963780749,21.637069856,0,,2.9682041993171144e8,2.9682043994406354e8,0.10033828898824951,-20.112690412414015,-4.4576542766540985,1.1646495052944659,1.4912391908917675,2.733221598956262,-4.505149719662975,-5.1284671139275435,-7.520551787643832,5.506705596313784,2.958918433655931,-1.3300229983664515,-4.148654156876732,-3.4855230861303603,-7.633668091946186,6.6938961310945935,8.327578180110187,0.9324938900202899,1.9831371150910226,4.355619805550666,-6.949029099979386,-13.86937040850315,0.0031637444981935823,0.009395917514328035,0.05341604493920802,0.11074792782142717,0.03466409166663289,0.00034506178781740536,0.0030183502466591154,0.0004109318518552721,0.029171560087247948,0.005252144195868919,9.379605611073833e-8,5.957834976253804e-8,1.0509329843573495e-7,7.393044535649868e-7,2.215190370297664e-6,2.9044813261346214e-5,1.4606705020716348e-5,9.61065224471643e-6,0.00016778982774398238,0.0001448455673352042,0.003205458281088483,-0.009495558972156913,-0.07638947286900828,-0.05981360689977716,0.0,-0.000756723169282619,0.0010279752435555978,-0.0031848754931907445,0.001179248475647612,0.0,-6.881948714977927e-8,7.837257860856105e-8,-2.388139121804988e-7,-1.2451938306461627e-6,0.0,-2.6271537689538807e-7,8.372571064442023e-6,-3.190615881911865e-5,-0.00015252123575130303,-0.012407603372948366,0.010748063228810207,0.041931478591132935,0.0,0.0,-0.0002608703890317067,-0.009323010259851284,-0.0006567375846557468,0.0,0.0,-8.685316654129084e-8,-1.8510417276196244e-7,3.501755755389849e-7,0.0,0.0,-1.1948827868250754e-5,-4.9044097189444216e-5,2.43972701721216e-5,4.681256280463189,1.0383608300947456,4.613424375658671,-2.33039643747879,0.9058202465404076,5.795886120777028,8.714514824511317,-1.246166710375928,3.7994379977845925,1.3953993716312296,0.43981145666633314,3.9083813961160234,8.800906740588514,-0.8397524062919088,-0.7522507220330399,-3.1362286279513594,1.6499041792529106,2.648639695695734,5.008683362418879,11.826166729023706,4.104417562438348,0.7983630640622167,5.113181235751577,-0.2064968066314048,0.25357244532059187,5.555599822236889,11.3637581881822,-1.0056410134923515,3.8471382015994124,1.5636303945810681,1.7252178838165266,4.729080146147983,7.729279817747402,-0.7417984948809,-4.937422594376182,-3.601949470362525,1.152998575976979,2.7417774226186014,5.100306336476223,12.469915731695522
