model,mod,M,MEquiv,r,sampType,mhType,hpl,nIter,useForward,overlap,isFuzzed,rejuv,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,v0101,v0202,v0303,v0404,v0505,v0606,v0707,v0808,v0909,v1010,v1111,v1212,v1313,v1414,v1515,v1616,v1717,v1818,v1919,v2020,v0102,v0203,v0304,v0405,v0506,v0607,v0708,v0809,v0910,v1011,v1112,v1213,v1314,v1415,v1516,v1617,v1718,v1819,v1920,v0103,v0204,v0305,v0406,v0507,v0608,v0709,v0810,v0911,v1012,v1113,v1214,v1315,v1416,v1517,v1618,v1719,v1820,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,1,-3.391232888134571,2.171380749,0,,16645.5857018461,16562.903465075582,88.16717158500872,-5.484934814490452,-1.614012348345172,0.4664717061612036,-1.7586078393990006,-2.2982088431542618,1.8385718651183334,-0.018720647590716233,-5.139625353483202,1.4075077092576231,-0.09869976811447323,0.48351964960206395,0.4116535269170365,-0.08953718529249066,0.62483366637806,-0.6403900668994709,-0.8002889491138037,-0.8787863563862217,-1.714332777122631,-1.5186866792592912,0.9085840893237558,-1.3588926137868125,0.030446182493725098,0.015603296196124768,0.5696312919746822,15.363169944278251,1.0300775288476152,0.000667270950546057,0.0388220925484938,0.003327003677433099,0.006948723715792136,0.0019818218700951105,0.588292236268685,3.46244311464719,2.119290452534218,0.08149635461789798,5.076581888872992,0.15254700213941014,0.0754871287871046,0.09627246136195727,0.07927869548692373,8.471959373842191,0.014210984005445602,0.08544229305863789,2.4451622466773464,3.488222349116897,0.0,0.0030029563364899216,0.010276455704035473,0.0025226829724078904,-0.002366690075389094,0.0,-0.3483366209771168,-0.38252610798462217,0.03916468459452384,-0.15969117802289343,0.0,0.10726677854665016,0.08509922744482358,0.08725009394848851,0.8136443634109203,0.07343753045193278,0.4128136967454192,0.4289703702144532,0.0,0.0,0.00033456586936876176,0.005239174995287625,-0.00194606855410675,0.0,0.0,-0.2459587264816836,0.12656408104551178,1.2174902239244898,0.0,0.0,0.12104316446887017,0.07727965471930923,0.8992384365397372,6.251322797807293,6.438674508351357,-6.172376690326161,-4.705120068023601,-4.767245003799438,1.0666601274460457,8.939315693956592,5.324722705769766,2.240523320574327,9.733040094736282,4.600638977578588,-2.0931423421848505,2.2325269466618733,-2.135447079799791,5.860657346833965,10.800674845940755,-1.572488010129801,6.199707545728422,-8.528134041619804,-8.178142277611409,5.880499020730249,6.844395114667629,-6.651916504299624,-6.504616011906724,-3.7413024795852117,1.427714838587645,8.416205697545825,6.098371525303782,2.3468936525182342,9.971739991117355,4.9907894725731765,-1.6838759669524832,2.570877175250512,-2.872422690069562,7.276997137942387,10.734813500435834,-2.4122208996928136,5.3641923782737315,-8.10032899432203,-8.454003060638827
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,2,0.5247751910228162,2.449638012,0,,7.893356108851807e6,7.893372113167485e6,2.0188759993184093,-18.023191678913463,-0.09477043238729288,-0.17656142528488694,2.478769886009056,-2.0125704676164187,-2.367228773985829,1.706809235901452,-2.593731757403078,-0.4200908730100701,-1.4539312864492557,1.4610455619744638,-2.286750994173622,-3.0270485417174764,-3.548777902206364,0.001518707301707778,-3.291381947475629,-3.1779393510764518,0.1298165695740714,1.8118789447240606,0.2939104161267996,1.190762273912655,1.6526258948991028e-6,1.1959455775792368e-6,1.7744234545109619e-6,1.5504466858033841e-6,1.0140261903370603e-6,8.033972354739423e-5,0.00022024380274192468,7.805846148907094e-6,0.0008097732728727144,1.762494617986757e-5,0.4257987515472228,3.4428253911131894,1.1002272619189886,0.010697014442264821,0.15642864428098935,0.0013454944201330551,0.08338795608785558,0.008211805952681001,1.936301361916043,5.5261256171359934e-5,-3.966085975921329e-7,4.249838932672991e-7,-7.01533427721122e-7,-1.9226739760562785e-8,0.0,0.000131923722510934,3.773318985247879e-5,-7.258802147185431e-5,-0.00011597175804083254,0.0,-1.2080262535120248,1.9461319351252278,-0.06463989351920366,0.03883042228247731,0.0,-0.01059201856215471,0.026162414247924433,0.12606750956369397,0.010332801081709243,-6.833857429609366e-7,-3.4428678351309825e-7,1.6214946372852713e-8,0.0,0.0,2.2867679105877472e-5,-0.000421163697726407,1.0459559039801414e-5,0.0,0.0,-0.682503131439755,-0.11564067770417676,-0.3343666731408558,0.0,0.0,-0.0033228098633515377,0.4018257685517046,0.0006721873246509316,-0.44722325258110396,-0.12502397710105795,-1.4723582764405503,4.502465061571979,10.793700301598522,-0.056228648865211464,2.717623333496401,-3.191275191547087,-0.21615576602974457,5.043151372766051,7.043135915562494,0.42478107521754616,5.380175393367599,6.737608508879518,2.3814817434892186,8.00510064857743,11.100810184225685,-3.3887257289819552,3.2961471700383234,-2.152322852283614,-0.5553563344640695,-0.36981863189147,0.4111941396554615,4.454251338607439,10.996526592723646,0.16131595419628975,4.4044002731861145,-4.220630470744747,-0.5387058530629361,5.110306892765156,6.083113604754091,-0.39959685700323067,6.248323131773344,6.687358777897527,2.6208758811214157,7.462811825323297,10.340832293570118,-3.4748455898669963,3.248845658453356,-1.3698829809334727
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,3,10.603210553083187,2.264208041,0,,621358.5788590201,621380.4506277448,0.002455706646569071,-21.87422443134954,1.8822047098087398,-2.8315790350745496,-0.4513203345652048,3.995671639581835,-2.445047723357815,-3.4661480460613747,0.48298396332418836,5.0213747945153315,9.255363379686134,-2.312446716784209,-3.1941071537454,-0.29121331076662726,-4.791153024030148,-1.3682093404550217,10.58190553545167,-5.7849521941186,-4.711488261661102,2.060074183687358,-3.9167298660077154,-4.696139805306893,6.752528130827235e-5,4.241042042212128e-6,4.806049976822179e-5,3.1385328989028327e-5,5.751076561390775e-6,0.00038664180437548014,0.000477975708129309,0.00019262654064520276,8.964574985658766e-5,0.00015593964040410197,2.0104198377644215e-6,1.3722095747253283e-5,1.160231011155353e-5,2.3415154426873892e-5,2.1289475287726414e-5,3.856644964329143e-5,1.2457541131918996e-6,1.7827027846560709e-6,1.5270375446480077e-6,8.160367546241064e-5,-1.3577004015497255e-5,-1.1251609633646986e-5,3.641570234851535e-5,-1.0413213655307715e-5,0.0,-0.00041937564668438864,-0.0002969095876966063,0.000119019450150523,-0.00010194126160640289,0.0,2.88306407713042e-6,1.0581845316250289e-5,1.1908172107708153e-5,7.5468271566518555e-6,0.0,-3.190270915741707e-7,-2.5012650819070165e-7,-3.2029432492181376e-7,1.5747862417515718e-6,5.577298165875239e-5,-9.667978646535164e-6,-1.2747450308095925e-5,0.0,0.0,0.0002510402236788919,-0.00019374446096953534,-0.00016667865765735405,0.0,0.0,1.9447594794617254e-6,7.539867083455356e-6,-4.688293242320018e-6,0.0,0.0,-2.4283466892772127e-6,2.3423386889888566e-7,-7.19401060821838e-6,0.09669422615699706,-2.9544220831294843,4.063688630521088,-0.7030850254641688,3.524913748343552,7.93929844965589,6.326427282715177,0.16613702887678788,-9.497366872658677,3.4743974188278677,2.868669271905498,1.0733520753195693,5.949037523683379,3.3317565862720717,0.16105371895829218,5.55981204466764,4.023139123681076,-2.7682427423178764,0.844586335710672,12.159223112068291,0.2305554493637772,-2.580985835401042,3.3749101488601836,-0.9427336494609275,6.557072050173421,7.710890679205289,4.439551288870449,0.46985963543940457,-9.766289374817848,3.0321749543086223,3.2972542705890673,-0.3908755087456717,6.09056016099279,3.3979378051042586,-1.4802396170667287,6.0587427600428,4.656209497918807,-2.554672648103284,-0.33592926781372046,12.264586542818057
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,4,2.070758381179812,2.262205392,0,,1.6237319509579584e6,1.6237500692630173e6,0.01407238679712516,-18.13237744532509,5.5744833969134095,8.584444190554894,5.568652795443258,-10.24477948085617,-5.298906435151823,-7.622513407217353,3.8834591954672346,14.686641060414502,-1.4723546293683802,0.42875607005029703,-3.011225643256671,-9.566710994602277,-4.871087872810808,5.254212507083958,-2.787171624495319,-5.699547936501141,-2.9285860892958704,1.4408886351609107,-9.424614114358953,0.44897179152090727,0.00036330989691043793,0.00023894476974585982,0.002393332989777517,0.0005035072112113859,0.0012038046590623949,1.3195744914855777e-5,0.00017671776947111658,4.971088089097199e-5,0.0001526378076193351,0.0001992034131439029,0.0014867571399489485,0.0001166519073474292,0.00013167821240672834,0.00010605612536388829,1.5132670081813255e-5,2.726841981113694e-5,0.00017916481243175484,0.000204702968032185,0.00016340092793297283,0.00014991405524719914,0.00019432621659008895,-0.0001226389196515362,0.001079214493690428,-0.0007393475565025085,0.0,4.825012604174366e-5,-4.56608852621133e-5,1.0010544329154453e-5,-0.00012654856924009802,0.0,0.000290247857260286,0.00011139886992798075,-9.954235281072114e-5,1.5728683144636914e-5,0.0,1.4754160975213937e-5,-8.701118475322849e-5,0.00016308526895459556,-1.136732423760796e-5,-0.000736232553373417,-9.466481867437486e-6,-0.0015665357084974206,0.0,0.0,-1.2780175065419262e-5,-0.00014889185785253882,-7.603581099106548e-5,0.0,0.0,0.00029951271522936666,-8.445415956481044e-5,-2.500217898305335e-5,0.0,0.0,-6.587240037201038e-5,-2.4973095430417135e-5,-7.94225140014319e-5,-2.545888467926469,-3.0140125938553384,0.5991507388376055,5.256144025094423,6.0985592653086735,6.671575086673847,1.4499386913436514,-3.000052203326472,3.146096784738383,3.201987065939739,3.1931499994464048,7.471155333370602,8.185023741172218,-1.4402257593079686,2.6424081935049886,6.974159323776348,7.097227081863465,6.751642214586682,7.190417963719352,2.7331736120550096,-1.9256964422553997,-2.578983142995136,1.7149691112805954,6.366312147221654,7.798741047309378,6.925649020054278,3.2826086033351443,-2.558453609385591,2.8826438100133442,2.9236744907718606,2.069579731628754,6.850740253234741,8.670993662725461,-1.629779036891432,4.785032796324734,6.350672022137401,6.1154314192562484,6.903906857192581,8.255424000837518,1.862594820443798
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,5,3.5888218086606125,2.440315196,0,,220135.06580266013,220151.47090491126,0.06605553634956177,-16.47115778755394,5.1570848767194235,-7.072579200360861,-0.07791152790762368,10.736184056219438,-0.10760565951496193,0.6566700776817811,-4.973540074329992,-4.186581591534355,-3.6048710173303498,-4.532889160240644,3.453420742603007,10.392191710859256,-0.8119320831546062,-4.236193313667719,-2.652345225322213,7.819723514323806,1.0465149969941192,-1.2196041670287032,-11.421550795698892,5.591713096587229,0.0007172052653036511,5.6056761524752274e-5,9.040029211618802e-5,8.667063374268026e-5,0.000144705875770404,0.00012890482307458326,0.0008561404206254864,0.0005625200686958672,0.0005939737059849541,0.0007035980305982857,0.00023427689884911808,1.8847446269229664e-5,0.00023519258027014927,0.0007711016524756811,0.0014074866067443638,0.0018188487926428215,0.031881877763648335,0.001294512684911169,0.008439868918994618,0.0048674256819928015,0.00012804520380403975,5.8317971885732426e-5,8.434112608054594e-5,-0.00011079836118686256,0.0,0.0002514137627967558,0.0006523439895010422,0.0004596293122528651,0.0006165891558235541,0.0,3.829278774486827e-5,-9.6573302119331e-6,-7.354292438296272e-5,0.0010016136764141865,0.0,0.007168171540201073,-0.005552500087564987,-0.002302372238469092,0.006252397681883594,0.00024112873702171025,6.041292203212162e-5,-0.00010863351754172976,0.0,0.0,0.00015504043583819765,0.0003987825564647886,0.00046498990728114953,0.0,0.0,1.3896351393377836e-5,-9.261450997908631e-5,-0.00018336480350428425,0.0,0.0,-0.001380943989670433,0.01572964883431174,-0.0019183789746439208,-2.5116017005783737,4.106896837715501,4.878821077686275,-2.9770529171210116,1.6226468374591256,1.3478176498624568,3.6563607752063807,10.032829083096983,1.6596237547508734,3.4646014644338834,-0.21964169273351722,1.9299162668162784,2.661159844582037,5.18871634980765,4.698536180805483,-3.7017183748158193,-0.4120490611824024,-0.0946358022456867,10.705835584733364,2.7708189292864063,-2.9794252685965015,3.8903295196606513,5.157199655319097,-1.3014464829637484,0.7372681044617279,1.3278326303860009,3.5318210812903725,9.314306722814022,1.449911944795053,3.656296738174299,-0.8701865652826145,0.8000503721009748,2.540793277721025,5.42357064196151,5.212743413124173,-3.5133115735038594,1.0643091166806153,0.11235447343034015,9.713892364018216,0.7774184150980017
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,6,3.8252357523809133,2.29756125,0,,49364.19171443394,49380.09168307468,0.02217749584959349,-15.92214613659973,-4.291757909730545,-4.662891017730322,6.380918054440088,-1.0957071484626038,0.5804408541126387,-10.987979078710428,-0.9322037500489033,1.3424996534315539,-4.787641795904143,1.46961971037429,5.350350793459171,4.939224568794492,2.7991276161114502,5.196907207057281,-2.8156408179938373,-5.244519918541955,-0.2027022265561751,5.221915340674002,-1.6995112067093552,-1.8298011177606293,0.0012554215795727499,0.00016244972044507716,0.0035539616889674825,0.012361806981693643,0.012015881172804777,1.2284194099220867e-5,0.0006880269404018175,2.264633263435742e-5,3.9829947720138716e-5,0.001698462129518471,4.5624256818847915e-5,0.0006537650181585577,7.774870279948393e-5,0.0002129581915646334,0.001216672788602635,0.00011981023104894352,0.0009897548024964968,0.0009794652346217449,0.0008438137297427956,0.0007686127447455509,0.0002894868430769133,-0.0004987115514589767,0.0064633207117919846,0.01180634736971895,0.0,3.606211176929581e-5,-3.7705357099315144e-5,-1.4988232756349841e-5,0.00023902398885612512,0.0,0.00013226919837989911,5.027619678641344e-5,5.442020800909913e-5,-0.00016340191616340832,0.0,0.00022519297615863264,-0.0007862587798326956,0.0007965880752999727,-0.0001256958533994156,-0.0019167388446642594,-0.0007626320139882272,0.006252821884061432,0.0,0.0,-1.5723877691017587e-5,0.000161113426781638,-2.5765521153931626e-5,0.0,0.0,3.4546582373547015e-5,-0.00026860572508036066,-0.0001546313442412302,0.0,0.0,-0.00027437026390552457,-0.0008778016981791107,-0.00020249625343032743,5.253592166181968,6.471202118980495,1.6038740384749222,-1.93056285469994,2.3202036191847104,13.065266565869804,7.800563980896491,0.4826603709651115,2.899013345840352,0.0870278726040974,3.2900425441219494,-0.4473747444488616,2.5540249007087086,4.613075464566931,3.6110529420949202,3.9944833351896705,4.218091569790846,-0.23133534755615923,-1.7548943755400765,3.365832782072232,6.113663519106307,5.924997163804926,2.2191692611802063,-0.889247881729365,0.9508875390543605,13.019893935390638,9.918144521426875,-0.14406216863644916,2.150945976191245,0.02419069591238235,3.3297047221775236,-1.298362946786364,2.985908770290602,5.002734432972217,4.539817493991125,3.0988760653618868,3.6567194625724384,-0.2660486943659274,-2.2760843690973296,4.5999536452812455
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,7,2.1924836815069915,2.585294233,0,,3531.157639534711,3539.8973444431385,0.5727063802996983,-9.312411288728459,2.820305820717535,-3.3771328300534247,0.7509608477532042,-0.5178691877890085,1.0060012508071683,-0.7694452281944933,4.5264929535204015,1.4650036116093172,-1.0956855269562826,-0.8718434636862105,-1.7762687435178501,-8.180519999700744,2.6107803723029703,-4.6324410222541506,5.965966300354287,0.6457717142484651,-12.375538576889124,-1.159538338871441,7.01507431633901,4.227163425504651,0.019421707370631192,0.0018533879332659358,0.00042928146044214047,0.010036976040213827,0.05717991034011604,0.024333778898186116,0.004982885114189664,0.06551978930081805,0.12522863963383352,0.07984628885020377,0.056316140876450316,0.13657152926366348,0.000572944911313669,0.0047807578294925155,0.007241790049437511,0.05264972092906679,0.003041037682875049,0.0013910335085729653,0.009886362019715789,0.0024711720639382507,0.004466835121737734,0.00047979367075956584,-0.0011610747663478346,0.016968361493592866,0.0,0.008874363287171162,0.016421021505050867,-0.08966819666443858,-0.09548203397544214,0.0,0.0800669869760713,0.003366279668430704,-0.0002260879480174308,0.005612371373245066,0.0,0.002233898986275575,-0.0001489368462516994,0.001742896336283631,-0.00034887052035433274,0.0008036219387321278,-0.0008821237909371458,-0.0009831352357661835,0.0,0.0,0.034723235943489195,-0.021489962340735587,0.07128031739705763,0.0,0.0,0.00036782789958509954,-0.02470215613945707,-1.9542641639280655e-5,0.0,0.0,0.006189251271643863,-0.003726394708552393,-0.0003831797637034568,-0.4536717013839904,2.0045392016448274,3.6823475469279745,7.039298167432575,-5.324975508526267,0.946949136847177,-3.2936073512047788,4.456359351006695,2.3026803457695513,-4.88941717597393,-1.7858665355962555,9.238014953870277,-2.1587431117530644,3.64066664523148,1.3609873428829875,2.8343831974923073,8.762422249265681,3.4052148276281238,-1.5073930843231673,2.854453543913133,-0.7013906710299811,1.7090192079436315,2.625597947225234,9.388731062823743,-3.960394846921351,1.1573038902576274,-2.9918139058796456,3.8378231715259625,2.9635715674240184,-4.761310086552981,-2.086677384562316,6.877839349610715,-1.407934065289122,3.689281218183088,2.2997980642837637,2.50015193743712,9.560194014031032,3.347064211850676,-2.301058794931492,1.6455092304046033
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,8,6.002573041445839,2.536538896,0,,487268.38430415187,487284.23228407063,0.05123745251466853,-15.899217371321996,-2.356667085706479,4.224127652940146,-5.296383848224515,-5.719360432728346,-1.0372809421578355,-4.82674901265004,-0.8767560095682372,7.985493767103577,-3.354865175802625,1.2616302712179226,4.939328105977477,-1.6326455074606177,0.04478698531332559,-6.471156411128451,0.7851122794447025,4.265640813985004,1.8715158675539336,-0.8348613209388365,-6.343910047067032,-4.752839824620745,0.00040610164325784924,0.0002568368245606336,0.0017800120268964472,0.0014267130974046003,0.002141191314629323,3.889547297063894e-5,7.540024412278841e-5,0.00024166488351770135,0.0005008842285517196,3.4181232916348186e-5,0.0007372728314601332,0.0007598843598708866,0.0004851812990377354,3.1245795802890873e-5,0.001128736573226429,0.01909426084246723,0.002454554502812977,0.005927485374043358,0.03357904693744821,0.05178595342681923,-0.00012916295053445545,0.0003855023128736459,-0.0015258829359644356,-0.00034861646989503515,0.0,-6.900418162154794e-6,-9.502635470608924e-5,0.0002693265176082834,0.0001251402668097288,0.0,0.0007420281033110424,0.0005850972797398944,0.00011991032421273496,-0.0001850271948513421,0.0,-0.005847714371149707,-0.0031074334168043204,0.012263742334797737,-0.04005492365930198,-0.0004019799323802985,-0.00039544990198093084,-5.00214666479462e-5,0.0,0.0,-1.9008810495590244e-5,-0.00015679592792077396,7.617460616697745e-5,0.0,0.0,0.0005922562029835441,0.00015355849527576453,-0.0007383910562136705,0.0,0.0,0.008196605850551804,-0.008318041830906243,-0.016624964559380846,7.346897108176622,1.470079600112303,4.329661888100105,4.20499835014818,3.0366165465064183,6.246344231671069,6.141617945816289,-1.9389208313977364,2.655337951217091,2.477864616128827,1.2377335624371841,1.2594202375399361,0.4547003808179612,6.664256910757326,-0.9125862645633239,-3.335153401995551,0.9344693002202004,7.092735149682215,3.932546313390075,5.131780366265267,7.494766912792335,1.717554197545033,3.2212993455643137,1.103943750929254,2.972203450795654,6.329557525032597,6.4562788793697825,-2.064721385618882,1.6861375251709094,2.066332036034469,0.1714077821182931,1.1690514890535413,-0.5996342969842439,6.7379241877988045,0.2272997012672332,-3.6775312132308713,0.2645991081414648,7.535553686314126,3.370676817098542,5.312389424972207
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,9,5.829031346006296,2.249952805,0,,5.811548417404908e9,5.811548437225081e9,0.06688683475661147,-19.887060163215573,-1.510592994389361,-6.264966987919597,2.306952123748506,0.5160383234571819,-6.575850613735119,-9.015778099833165,-5.642185463896169,-3.055051452017555,5.078614515324401,3.0346312484570586,-3.723872098507342,-1.7453323032079942,3.3371826459590155,0.12230955534902765,-5.685108375102001,-1.477031153830966,3.0090983965688913,2.2922787726910556,-1.7722384414609365,-1.4603820590125682,0.00025210475587394656,4.072250135307398e-6,1.8736480993805234e-6,1.109522780713676e-5,3.257847241766037e-5,0.00014224087195777857,7.604582207518144e-5,6.512614097244356e-5,5.6159551235044266e-5,0.0012518537527310576,0.0012561297127792856,0.028502604136856787,0.0019096586355404916,0.07150739042797896,0.013214052750236113,0.00023956274696857247,0.005476944743154816,0.0007188120611629011,0.001186006772371404,0.023852528080664574,3.131119974083363e-5,2.705781749203393e-6,-4.5522113320953186e-6,-1.8989787581724363e-5,0.0,-0.00010298144076640387,6.80332155688396e-5,5.6780181165488205e-5,-0.0002630005755102948,0.0,0.005856576154541604,0.007277192153526225,-0.011658345869245428,-0.030734185355771406,0.0,0.0003754102551718756,0.0017912206398539685,0.0008168038496976068,-0.005032541010100142,2.1729439434956547e-5,-6.506269458777773e-6,7.808858035071503e-6,0.0,0.0,-9.30433097838635e-5,6.359470152582479e-5,-0.0002707380472585878,0.0,0.0,0.0014453919210632997,-0.04493063127032858,0.005008066062243268,0.0,0.0,0.00011324245802800886,0.0020901872897998415,-0.0035796966328457153,3.7241002586309024,4.658675352604598,0.37869633341756787,5.71406641959119,7.148355717871317,5.607512724400076,6.630091941157251,5.277403647128656,2.3002910250244533,-1.1525790947944188,-0.5387127731123424,3.492498007530291,5.580675039597476,-0.9809514169539623,2.729083821001187,6.3535624007512785,1.5867953455655786,-2.2617289501601308,5.016158235248414,9.65044975324579,3.3634318165782724,4.9359145543628555,0.9896153315363223,7.201777912515204,9.387505762982641,5.843842740313271,1.887674622819886,5.114444690925265,1.6260851926764641,-1.1594888755703314,0.5490378618325031,2.5054676026973635,6.781751621051115,-0.45140874209372084,6.193265488590847,5.905797667567798,2.644485708768359,-2.141616612397101,4.161499791287771,6.08276632492495
Block PF,block,8000,200,5,,,,,,,,,20,1,2019-01-24T16:29:42.216,10,3.926142779438131,2.771556216,0,,5.0152617861175435e6,5.015277253681107e6,0.13317205959590367,-15.600735623463246,0.5782438238137089,-0.2626077625018639,1.1389714046318344,1.025441920331108,6.590744059356913,1.507933073073009,-3.349458969079273,-11.345978793492398,-0.9478348445287534,4.73655723412677,0.11641562085516455,6.596589964249624,0.4744430374837601,3.431069713750896,-3.1541336782213327,5.698003802573173,1.555080581926429,-0.4330926233254617,-1.062087636722727,1.059468970128468,0.012307200888306455,0.0016502819072649248,0.0054841314546137925,0.0708385431333085,0.0031719004443798854,0.0006519565207360342,9.993544495703102e-6,0.00010351110333994505,0.0003583126745130279,0.00030320305739894366,0.0059184980699988135,0.004932208157979999,0.000681696463552381,0.002709532475174574,0.007508960968649548,0.0005185569985960873,0.06238346340385222,0.05169011160467824,0.0633381241143592,0.19664356738398076,-0.0029727008756024087,0.0026548171394558673,-0.013611028725837405,0.00921075867329833,0.0,4.646185566658676e-5,2.1490673340510176e-5,0.00019219045925043484,-0.00032951666384503506,0.0,-0.005392700623683828,0.0018215063046275444,-0.0013456388064623237,0.004499045957772982,0.0,0.005619379364051616,0.056716733613929225,0.05698174902504601,-0.11136004370751879,-0.007018095791062087,-0.005751418833477179,0.00026642326082220347,0.0,0.0,0.00025793089029574947,3.712485855456209e-5,-0.0001765362921815521,0.0,0.0,-0.0019948965815751486,-0.0036481291409130026,-0.002243607663740381,0.0,0.0,0.005137891076211665,0.06240442883513439,-0.10066423712929465,-3.835348829667653,-1.6187891229564744,5.380520586567706,4.657489451126948,-5.500121362432051,3.4171433653046406,6.949738339271978,9.266060465850302,4.753385866172716,0.09190999130981015,4.300258296695257,-0.6542353694224325,-0.9552565904909995,0.2826991003707306,6.602224897163914,0.14270334566524878,1.5503572788374496,-0.6583667781991143,6.759715406471587,4.027227672465995,-5.089001142908646,-1.6017903335723052,6.541031560553044,1.865777913920624,-6.924041868699032,3.8012334343572376,7.60926210277914,10.470649129233344,5.375895888440887,0.11353186091857914,5.096867820473236,-3.041718056284178,-3.172774650492166,0.342052158792978,5.321267137134403,-0.19508924178276027,1.5534041984146207,-0.5806759806546177,7.3410478308530625,6.90797258911682
