model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,20.300633652164716,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,20.336009236858022,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,0.9842096996891823,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.003269638384272138,-0.004271027159915031,0.0001866861447799348,0.007353979399407235,0,none,,,0.9908138816038154,none,,,23.995963101669886,1.2688277144795606,,,,
franken,20,1,1,200,20000,1600,0,0,0.00016264342592282074,0.0019009347855120466,1.5568808667726993e-5,-0.001753860168256953,0,none,,,0.9848735140124966,none,,5,24.00224098302354,1.1661090418387339,0.0002316195622238014,0.003651254937883186,1.878701109188141e-5,-0.0034384223867512656
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,18.676541384728242,0.0,,,,
observed,20,1,2,,,,,0,1.3494307886215215,0.0,1.3494307886215215,0.0,0,none,,,,none,,,19.272712038260973,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.0031515239664861028,-0.0059773339714495055,9.956607858962721e-5,0.00902929185934598,0,none,,,1.44444371821338,none,,,19.2936292416315,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,NaN,NaN,NaN,NaN,0,none,1.171987814,,NaN,none,,,NaN,NaN,,,,
franken,20,1,2,200,20000,1600,0,0,1.0049245112767328e23,1.0049245112767328e23,0.0007373470524822638,-32.28961294332386,0,none,8.081745769,,4.016887513024762,none,,5,15.614372783444484,1.4000641395808926e-23,,,,
truth,20,1,3,,,,,0,,,,,0,none,,,,none,,,2.547781933563753,0.0,,,,
observed,20,1,3,,,,,0,2.075183153865684,0.0,2.075183153865684,0.0,0,none,,,,none,,,2.4330238892018023,75.0,,,,
ideal,20,1,3,200,20000,1600,1,0,0.0029941013243697813,-0.02243745052556571,0.0004661848028263851,0.0249653670471091,0,none,,,0.7395201622113868,none,,,2.4548324606918603,0.11946902654866776,,,,
particle,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.341737863,,NaN,none,,,NaN,NaN,,,,
franken,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,7.387444061,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,4,,,,,0,,,,,0,none,,,,none,,,3.8554749623150655,0.0,,,,
observed,20,1,4,,,,,0,0.6103287515567756,0.0,0.6103287515567756,0.0,0,none,,,,none,,,3.0851464384835094,75.0,,,,
ideal,20,1,4,200,20000,1600,1,0,0.004688160573113979,0.0058061223955510055,0.0010666038369134148,-0.002184565659350442,0,none,,,0.7869864361448833,none,,,3.11398063981932,0.11946902654866776,,,,
particle,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.178886687,,NaN,none,,,NaN,NaN,,,,
franken,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.776045529,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,5,,,,,0,,,,,0,none,,,,none,,,11.235777539405014,0.0,,,,
observed,20,1,5,,,,,0,0.15350954002771897,0.0,0.15350954002771897,0.0,0,none,,,,none,,,11.281615353366998,75.0,,,,
ideal,20,1,5,200,20000,1600,1,0,0.005566963404039694,0.00576329434860956,0.00038272134809520217,-0.0005790522926650657,0,none,,,0.5927736882653398,none,,,11.268259557193183,0.11946902654866776,,,,
particle,20,1,5,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.15329312,,NaN,none,,,NaN,NaN,,,,
franken,20,1,5,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.574696654,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,6,,,,,0,,,,,0,none,,,,none,,,13.81831890589929,0.0,,,,
observed,20,1,6,,,,,0,0.3469538924510609,0.0,0.3469538924510609,0.0,0,none,,,,none,,,13.368615920598936,75.0,,,,
ideal,20,1,6,200,20000,1600,1,0,0.003916271695181572,0.016490285576423253,0.0005105907055230107,-0.013084604586764694,0,none,,,0.42210023035869,none,,,13.367838667702816,0.11946902654866776,,,,
particle,20,1,6,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.164629503,,NaN,none,,,NaN,NaN,,,,
franken,20,1,6,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.977487581,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,7,,,,,0,,,,,0,none,,,,none,,,6.671331187243045,0.0,,,,
observed,20,1,7,,,,,0,0.06204472590414426,0.0,0.06204472590414426,0.0,0,none,,,,none,,,6.759628750042859,75.0,,,,
ideal,20,1,7,200,20000,1600,1,0,0.004296179745454467,0.002276897934113157,0.0009508719631559233,0.001068409848185387,0,none,,,0.5690664635580991,none,,,6.731255762776934,0.11946902654866776,,,,
particle,20,1,7,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.141576725,,NaN,none,,,NaN,NaN,,,,
franken,20,1,7,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,6.899998745,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,8,,,,,0,,,,,0,none,,,,none,,,17.33984025224893,0.0,,,,
observed,20,1,8,,,,,0,0.03827018168120558,0.0,0.03827018168120558,0.0,0,none,,,,none,,,17.829737975852144,75.0,,,,
ideal,20,1,8,200,20000,1600,1,0,0.0033514103243137586,-0.0003580188035663771,0.00040081819855331083,0.003308610929326825,0,none,,,0.4182929985167715,none,,,17.824820789022382,0.11946902654866776,,,,
particle,20,1,8,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.204092117,,NaN,none,,,NaN,NaN,,,,
franken,20,1,8,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,8.785166439,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,9,,,,,0,,,,,0,none,,,,none,,,7.287576891027727,0.0,,,,
observed,20,1,9,,,,,0,0.08088282096820207,0.0,0.08088282096820207,0.0,0,none,,,,none,,,7.531760415886216,75.0,,,,
ideal,20,1,9,200,20000,1600,1,0,0.002517198006942806,-0.003080359912252121,0.00016615907873802958,0.005431398840456898,0,none,,,0.5650949351894486,none,,,7.537514503170293,0.11946902654866776,,,,
particle,20,1,9,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.168048248,,NaN,none,,,NaN,NaN,,,,
franken,20,1,9,200,20000,1600,1,0,6.371508809492539e149,6.371508809492539e149,0.8312770213596771,-18.843094182970013,0,none,6.920850885,,12.37437374625453,none,,5,-0.5690431171439113,1.9721522630525293e-31,,,,
truth,20,1,10,,,,,0,,,,,0,none,,,,none,,,6.068604258573053,0.0,,,,
observed,20,1,10,,,,,0,0.26751395898172864,0.0,0.26751395898172864,0.0,0,none,,,,none,,,6.139233733885457,75.0,,,,
ideal,20,1,10,200,20000,1600,1,0,0.003882103394464596,0.014503366570166895,0.00028011816251060696,-0.010901381338212904,0,none,,,0.6281169550568684,none,,,6.169233773467715,0.11946902654866776,,,,
particle,20,1,10,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.210755619,,NaN,none,,,NaN,NaN,,,,
