model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,23.089523686670805,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,22.400934535899864,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,0.7462101091438064,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.002410337903518796,0.013572157550009933,0.0001583314926799035,-0.01132015113917104,0,none,,,0.759889581091164,none,,,24.02527191147418,1.2135037938099251,,,,
franken,20,1,1,200,20000,1600,0,0,0.00016683069947253545,0.0009716491010708372,9.659275639797552e-6,-0.0008144776772380993,0,none,,,0.7582077295301092,none,,5,23.990438484359085,1.1938856264416935,0.0002212213426855293,0.0015507700457625174,1.3654848682557013e-5,-0.001343203551759545
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,-14.347844703513877,0.0,,,,
observed,20,1,2,,,,,0,1.4041935926527,0.0,1.4041935926527,0.0,0,none,,,,none,,,-14.547631577854801,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.0033137274127138495,0.040245480970277615,0.00021895440232125668,-0.037150707959885024,0,none,,,1.6218317844063772,none,,,-14.377066836359875,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,NaN,NaN,NaN,NaN,0,none,1.079496773,,NaN,none,,,NaN,NaN,,,,
franken,20,1,2,200,20000,1600,0,0,-9.52132277610521e23,-9.52132277610521e23,417.59736264847743,-44.986241907647134,0,none,6.775986516,,7.28152500792498,none,,5,-15.410468797452763,1.3951876355690704e-9,,,,
truth,20,1,3,,,,,0,,,,,0,none,,,,none,,,4.770162939643558,0.0,,,,
observed,20,1,3,,,,,0,0.7193417102788168,0.0,0.7193417102788168,0.0,0,none,,,,none,,,5.433089950744202,75.0,,,,
ideal,20,1,3,200,20000,1600,1,0,0.005453399891465376,0.03838285936325303,0.0010671048594677315,-0.033996564331255384,0,none,,,0.709810059178448,none,,,5.453164132411662,0.11946902654866776,,,,
particle,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.329027878,,NaN,none,,,NaN,NaN,,,,
franken,20,1,3,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,7.688192695,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,4,,,,,0,,,,,0,none,,,,none,,,4.63656183132081,0.0,,,,
observed,20,1,4,,,,,0,0.4357379808883518,0.0,0.4357379808883518,0.0,0,none,,,,none,,,4.9214975779358925,75.0,,,,
ideal,20,1,4,200,20000,1600,1,0,0.0035131958575809596,0.009361715756599276,0.00038133359392385566,-0.006229853492942174,0,none,,,0.6193061527720951,none,,,4.921418538987,0.11946902654866776,,,,
particle,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.157111253,,NaN,none,,,NaN,NaN,,,,
franken,20,1,4,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,7.033853112,,NaN,none,,5,NaN,NaN,,,,
