model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
truth,20,1,1,,,,,0,,,,,0,none,,,,none,,,23.672116995969205,0.0,,,,
observed,20,1,1,,,,,0,,,,,0,none,,,,none,,,24.134015688941844,0.0,,,,
ideal,20,1,1,200,20000,1600,0,0,,,,,0,none,,,0.7753772049198949,none,,,24.0,1.2000000000000002,,,,
particle,20,1,1,200,20000,1600,0,0,0.0034957330507767114,0.030321883946405004,0.00016646741415217073,-0.026992618309780458,0,none,,,0.7728745005250077,none,,,24.025106799123105,1.1814895888307542,,,,
franken,20,1,1,200,20000,1600,0,0,0.0001838757372875447,0.0022860714135205518,1.4912367487780641e-5,-0.0021171080437207873,0,none,,,0.7724964940514555,none,,5,24.005027078086528,1.1983693121884131,0.00023436102654245003,0.003390295656958209,1.8557169812921326e-5,-0.00317449180022868
truth,20,1,2,,,,,0,,,,,0,none,,,,none,,,-9.634819506431485,0.0,,,,
observed,20,1,2,,,,,0,0.4666244771845456,0.0,0.4666244771845456,0.0,0,none,,,,none,,,-8.83781888568619,75.0,,,,
ideal,20,1,2,200,20000,1600,0,0,0.004809771447091663,0.014688998688118756,0.0010282820479814814,-0.010907509289008575,0,none,,,0.9474368827349807,none,,,-8.692518802121214,0.11946902654866776,,,,
particle,20,1,2,200,20000,1600,0,0,NaN,NaN,NaN,NaN,0,none,0.129274787,,NaN,none,,,NaN,NaN,,,,
franken,20,1,2,200,20000,1600,0,0,-4.514205242724228e29,-4.514205242724228e29,0.0006859948690064381,-31.738697283516853,0,none,7.197214864,,4.6892859560606945,none,,5,-7.401032205324842,0.00016809440664801589,,,,
