model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
franken,20,1,6,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,4.044836176,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,7,,,,,0,,,,,0,none,,,,none,,,1.8231930322988006,0.0,,,,
observed,20,1,7,,,,,0,0.45541254795424246,0.0,0.45541254795424246,0.0,0,none,,,,none,,,2.2175544365960085,75.0,,,,
ideal,20,1,7,200,20000,1600,1,0,0.003819800979720367,-0.005100309551580288,0.00038817633958808964,0.008531934191712566,0,none,,,1.1457161124358435,none,,,2.1937732960948413,0.11946902654866776,,,,
particle,20,1,7,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.105241186,,NaN,none,,,NaN,NaN,,,,
franken,20,1,7,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,4.018587462,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,8,,,,,0,,,,,0,none,,,,none,,,5.052661421920386,0.0,,,,
observed,20,1,8,,,,,0,0.14034583454981497,0.0,0.14034583454981497,0.0,0,none,,,,none,,,5.6537881131998695,75.0,,,,
ideal,20,1,8,200,20000,1600,1,0,0.004054530740019844,0.023054090283082657,0.0011701562736171082,-0.020169715816679923,0,none,,,0.5120671172034746,none,,,5.6506669238505935,0.11946902654866776,,,,
particle,20,1,8,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.120793554,,NaN,none,,,NaN,NaN,,,,
franken,20,1,8,200,20000,1600,1,0,1.0371335224627235e22,1.0371335224627235e22,0.03603672730297024,-23.184049154421537,0,none,3.921110461,,7.632498557052224,none,,5,5.593001159385657,1.3819283190199838e-10,,,,
truth,20,1,9,,,,,0,,,,,0,none,,,,none,,,7.235062874989234,0.0,,,,
observed,20,1,9,,,,,0,0.02570877491944069,0.0,0.02570877491944069,0.0,0,none,,,,none,,,6.485814333504144,75.0,,,,
ideal,20,1,9,200,20000,1600,1,0,0.0036935821638325824,0.005618766431133608,0.0008691202097447878,-0.002794304477045812,0,none,,,0.492802818331978,none,,,6.482523346975012,0.11946902654866776,,,,
particle,20,1,9,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.105364126,,NaN,none,,,NaN,NaN,,,,
franken,20,1,9,200,20000,1600,1,0,1.6412343849598816e19,1.6412343849598816e19,0.0035080834606483527,-24.7717891686207,0,none,4.08233999,,10.479529968467716,none,,5,1.3528863771942479,5.4449369972475046e-5,,,,
truth,20,1,10,,,,,0,,,,,0,none,,,,none,,,7.356923575243126,0.0,,,,
observed,20,1,10,,,,,0,0.14596623408871984,0.0,0.14596623408871984,0.0,0,none,,,,none,,,7.388846489889352,75.0,,,,
ideal,20,1,10,200,20000,1600,1,0,0.004493969198564543,-0.021134386896181745,0.000821880910921772,0.02480647518382452,0,none,,,0.7802790517679908,none,,,7.3860587864147345,0.11946902654866776,,,,
particle,20,1,10,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.125188095,,NaN,none,,,NaN,NaN,,,,
franken,20,1,10,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,4.009920325,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,11,,,,,0,,,,,0,none,,,,none,,,12.906617265764826,0.0,,,,
observed,20,1,11,,,,,0,0.029526102138805355,0.0,0.029526102138805355,0.0,0,none,,,,none,,,12.785261617433875,75.0,,,,
ideal,20,1,11,200,20000,1600,1,0,0.0026861150712628574,0.001177256733243463,0.000555907804585899,0.0009529505334334946,0,none,,,0.546991593630188,none,,,12.795475064877458,0.11946902654866776,,,,
particle,20,1,11,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.144705015,,NaN,none,,,NaN,NaN,,,,
franken,20,1,11,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.925937387,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,12,,,,,0,,,,,0,none,,,,none,,,11.485782566223081,0.0,,,,
observed,20,1,12,,,,,0,0.0941815889307335,0.0,0.0941815889307335,0.0,0,none,,,,none,,,11.04805496411004,75.0,,,,
ideal,20,1,12,200,20000,1600,1,0,0.003436609658887075,0.01194121872317333,0.0009504249154571972,-0.009455033979743455,0,none,,,0.5307071726491508,none,,,11.05471983928491,0.11946902654866776,,,,
particle,20,1,12,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.107904385,,NaN,none,,,NaN,NaN,,,,
franken,20,1,12,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.912554664,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,13,,,,,0,,,,,0,none,,,,none,,,15.389499936511445,0.0,,,,
observed,20,1,13,,,,,0,0.0462682863707875,0.0,0.0462682863707875,0.0,0,none,,,,none,,,15.31426042123825,75.0,,,,
ideal,20,1,13,200,20000,1600,1,0,0.0032465869226598848,-0.023891724921491424,0.000628320368016784,0.02650999147613452,0,none,,,0.4909735871284555,none,,,15.310647332695567,0.11946902654866776,,,,
particle,20,1,13,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.108955065,,NaN,none,,,NaN,NaN,,,,
franken,20,1,13,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.880146069,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,14,,,,,0,,,,,0,none,,,,none,,,15.5561498237013,0.0,,,,
observed,20,1,14,,,,,0,0.0295723472623882,0.0,0.0295723472623882,0.0,0,none,,,,none,,,15.637580733198776,75.0,,,,
ideal,20,1,14,200,20000,1600,1,0,0.004431736781959557,0.030455228062577056,0.0007862336401636222,-0.02680972492078112,0,none,,,0.6942928929507814,none,,,15.631759448409248,0.11946902654866776,,,,
particle,20,1,14,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.113392414,,NaN,none,,,NaN,NaN,,,,
franken,20,1,14,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.926312928,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,15,,,,,0,,,,,0,none,,,,none,,,-5.92544835000047,0.0,,,,
observed,20,1,15,,,,,0,0.17564556705734338,0.0,0.17564556705734338,0.0,0,none,,,,none,,,-5.846741858488867,75.0,,,,
ideal,20,1,15,200,20000,1600,1,0,0.004745556061526812,0.041595284101091666,0.0017733065644788815,-0.03862303460404373,0,none,,,0.48186426058250903,none,,,-5.8146416923439945,0.11946902654866776,,,,
particle,20,1,15,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.113630505,,NaN,none,,,NaN,NaN,,,,
franken,20,1,15,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.840520039,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,16,,,,,0,,,,,0,none,,,,none,,,1.5128332200467685,0.0,,,,
observed,20,1,16,,,,,0,0.047663700653385835,0.0,0.047663700653385835,0.0,0,none,,,,none,,,2.0361156246066296,75.0,,,,
ideal,20,1,16,200,20000,1600,1,0,0.0035769207090736825,-0.015982251324508884,0.0007282579539646039,0.018830914079617962,0,none,,,0.9242387549926272,none,,,2.033637381262138,0.11946902654866776,,,,
particle,20,1,16,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.107065853,,NaN,none,,,NaN,NaN,,,,
franken,20,1,16,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.81284702,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,17,,,,,0,,,,,0,none,,,,none,,,12.601354146195067,0.0,,,,
observed,20,1,17,,,,,0,0.04873249943169438,0.0,0.04873249943169438,0.0,0,none,,,,none,,,13.183653825513705,75.0,,,,
ideal,20,1,17,200,20000,1600,1,0,0.0035128419886366175,0.014868607052452595,0.0007365213452908596,-0.012092286409106834,0,none,,,0.6822645744859804,none,,,13.186154494649628,0.11946902654866776,,,,
particle,20,1,17,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.117035864,,NaN,none,,,NaN,NaN,,,,
franken,20,1,17,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,3.946453095,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,18,,,,,0,,,,,0,none,,,,none,,,4.726207662696476,0.0,,,,
observed,20,1,18,,,,,0,0.02954260795008633,0.0,0.02954260795008633,0.0,0,none,,,,none,,,4.7703972551169525,75.0,,,,
ideal,20,1,18,200,20000,1600,1,0,0.004162717724350644,-0.03057843068721226,0.001155813058706055,0.03358533535285684,0,none,,,0.7347502797596467,none,,,4.769506242131477,0.11946902654866776,,,,
particle,20,1,18,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.131626607,,NaN,none,,,NaN,NaN,,,,
franken,20,1,18,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,5.22784455,,NaN,none,,5,NaN,NaN,,,,
truth,20,1,19,,,,,0,,,,,0,none,,,,none,,,8.176632907489875,0.0,,,,
observed,20,1,19,,,,,0,0.30430616530698407,0.0,0.30430616530698407,0.0,0,none,,,,none,,,8.368928313793429,75.0,,,,
ideal,20,1,19,200,20000,1600,1,0,0.0024859501866352587,-0.0261529943226854,0.00031836979850622727,0.028320574710814433,0,none,,,0.8867036573205104,none,,,8.354889775489957,0.11946902654866776,,,,
particle,20,1,19,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.108844024,,NaN,none,,,NaN,NaN,,,,
franken,20,1,19,200,20000,1600,1,0,1.3812732900088696e17,1.3812732900088696e17,0.4302430940033535,-23.01573127457514,0,none,3.998758557,,15.897547415030642,none,,5,10.529531495976098,0.0018746557977439146,,,,
truth,20,1,20,,,,,0,,,,,0,none,,,,none,,,9.887968937205184,0.0,,,,
observed,20,1,20,,,,,0,0.11237177534385723,0.0,0.11237177534385723,0.0,0,none,,,,none,,,9.158271559994716,75.0,,,,
ideal,20,1,20,200,20000,1600,1,0,0.0043056455608503985,0.03170180234944272,0.0004231171230622394,-0.02781927391165456,0,none,,,0.5427591317993121,none,,,9.172725242686234,0.11946902654866776,,,,
particle,20,1,20,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,0.122054485,,NaN,none,,,NaN,NaN,,,,
franken,20,1,20,200,20000,1600,1,0,NaN,NaN,NaN,NaN,0,none,4.233583998,,NaN,none,,5,NaN,NaN,,,,
