model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,50,1,1,600,72000,360000,0,0,0.004422096461239421,0.000463532355894955,0.0016225866589274051,0.002335977446417062,0,none,,,1.87236120452631,none
particle,50,1,1,600,72000,360000,0,0,12272768701107959e-21,-0.0007933413508660198,457330128363094e-20,0.0008010408182834969,0,none,,,1.8618417104988756,none
franken,50,1,1,600,72000,360000,0,0,60725200792917584e-21,-0.00026006044422573205,21471106562637134e-21,0.0002993145384560126,0,none,,,1.861468428363206,none
ideal,50,1,2,600,72000,360000,0,0,0.004952801743746701,0.01608128284443519,0.0012983969841492058,-0.012426878084837696,0,none,,,1.835918689238253,none
particle,50,1,2,600,72000,360000,0,0,3.8782447463426695,-0.641144781856658,3.5211420375787905,0.9982474906205371,0,none,117.344188135,,3.096679577694792,none
franken,50,1,2,600,72000,360000,0,0,3.8699740996049976,-0.6412197834552026,3.512066428286841,0.999127454773359,0,none,39.442293671,,3.0965954674027367,none
ideal,50,1,3,600,72000,360000,1,0,0.004293986618132652,0.009801353381609285,0.0016686857616340697,-0.007176052525110701,0,none,,,1.898042304627169,none
particle,50,1,3,600,72000,360000,1,0,1.9967410654463493,-0.41844941216976467,1.6698487774292472,0.745341700186867,0,none,134.418678283,,2.8802191976088194,none
franken,50,1,3,600,72000,360000,1,0,1.5785408574891862,-0.4513508619871847,1.2685889665768546,0.7613027528995162,0,none,41.431078325,,2.780871767674325,none
ideal,50,1,4,600,72000,360000,1,0,0.00570629902206685,0.010846247986718724,0.0031655876634229915,-0.008305536628074865,0,none,,,1.978520874095879,none
particle,50,1,4,600,72000,360000,1,0,1.924500559654199,-0.23468111886966986,1.651504971809461,0.5076767067144079,0,none,96.397455972,,2.567841764090995,none
franken,50,1,4,600,72000,360000,1,0,1.5027009008569767,-0.3995842246723561,1.1909300238597365,0.7113551016695963,0,none,39.352989786,,2.7754614914962863,none
ideal,50,1,5,600,72000,360000,1,0,0.006260809545160874,-0.0005211612519760711,0.002986643328934963,0.0037953274682019813,0,none,,,2.012579177629746,none
particle,50,1,5,600,72000,360000,1,0,3.60846108935307,-0.28543633175238436,3.3184909930613586,0.5754064280440957,0,none,183.417074856,,3.6338781082794362,none
franken,50,1,5,600,72000,360000,1,0,3.061484849606253,-0.38133257615351807,2.7465789856111837,0.6962384401485873,0,none,40.162909291,,3.485636521113115,none
ideal,50,1,6,600,72000,360000,1,0,0.006020577549538192,0.012298039091143867,0.0027114853477973938,-0.008988946889403068,0,none,,,1.8585310720996693,none
particle,50,1,6,600,72000,360000,1,0,4.989619676464997,-0.23829331767762818,4.661842816234983,0.5660701779076428,0,none,164.004361741,,3.9489091439395394,none
franken,50,1,6,600,72000,360000,1,0,3.644261659908324,-0.37702366188329844,3.327476517547582,0.6938088042440411,0,none,39.050433883,,3.347863715107006,none
ideal,50,1,7,600,72000,360000,1,0,0.005692038964335409,0.018106662666737994,0.002780278518233687,-0.01519490222063627,0,none,,,1.9880877563393897,none
particle,50,1,7,600,72000,360000,1,0,5.367589767272948,-0.2602212537920747,5.036682287169184,0.5911287338958391,0,none,163.581540551,,4.0120533772550955,none
franken,50,1,7,600,72000,360000,1,0,3.4207270380186268,-0.37028510020853733,3.1047193919257987,0.6862927463013652,0,none,44.854754468,,3.4737721547900873,none
ideal,50,1,8,600,72000,360000,1,0,0.005274338716590785,0.006309028000015912,0.0025849263228073663,-0.0036196156062324927,0,none,,,1.662116771924913,none
