model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward
ideal,25,1,1,80,32,160,0,0,0.005344797036343996,0.005896223771650694,0.0016777358223107565,-0.0022291625576174555,0,none,,,2.6830796214563057,none
particle,25,1,1,80,32,160,0,0,0.024648432368342254,0.05999720144954923,0.009369055555527318,-0.044717824636734294,0,none,,,2.635258884284601,none
franken,25,1,1,80,32,160,0,0,0.13356393974827918,0.24141831186707613,0.03884785829604264,-0.1467022304148396,0,none,,,2.648581870859523,none
ideal,25,1,2,80,32,160,0,0,0.004576836202715217,0.004200254172135903,0.0016626878815903118,-0.0012861058510109978,0,none,,,1.5402705695525216,none
particle,25,1,2,80,32,160,0,0,4.318112949395139,-0.6090683655062045,3.935603938091293,0.9915773768100504,0,none,0.619963957,,3.5049035891116325,none
franken,25,1,2,80,32,160,0,0,3.6823219556865183,-0.4417215687124846,3.2779378042231198,0.8461057201758834,0,none,0.207244643,,3.3929969641191065,none
ideal,25,1,3,80,32,160,1,0,0.005512323680224689,-0.030717629238225352,0.0014116415808662734,0.03481831133758377,0,none,,,1.4864998662168658,none
particle,25,1,3,80,32,160,1,0,4.418545133531285,-0.300006705595338,4.055155048565477,0.6633967905611451,0,none,0.001579234,,3.107096826053905,none
franken,25,1,3,80,32,160,1,0,2.37872986600131,-0.2764846306900179,2.069998391565334,0.5852161051259939,0,none,645028e-9,,2.8081035311577462,none
ideal,25,1,4,80,32,160,1,0,0.004057295323557561,-0.0018766001786799935,0.0015533364327043452,0.004380559069533208,0,none,,,1.8242981505530484,none
particle,25,1,4,80,32,160,1,0,9.685391148264745,-0.4257587928002754,9.272628958999745,0.8385209820652768,0,none,0.00167732,,4.101960900544911,none
franken,25,1,4,80,32,160,1,0,2.515263176596489,0.008272230428402833,2.0275748666459337,0.4794160795221525,0,none,809345e-9,,3.030272656272131,none
ideal,25,1,5,80,32,160,1,0,0.004471295470378786,0.004523994793238673,0.0016683675267663595,-0.0017210668496262468,0,none,,,2.1041333138991374,none
particle,25,1,5,80,32,160,1,0,5.184521642182413,-0.05022905120100271,4.8935352638165055,0.3412154295669093,0,none,0.002781057,,4.435320014877197,none
franken,25,1,5,80,32,160,1,0,3.0864711100331537,-0.20844996567387686,2.7205456419033283,0.5743754338037019,0,none,0.001201763,,4.134115030248238,none
ideal,25,1,6,80,32,160,1,0,0.006172700493010142,0.013394131058111214,0.003551883734860246,-0.010773314299961315,0,none,,,2.3944081105633557,none
particle,25,1,6,80,32,160,1,0,8.163886843073168,-0.16137247917173933,7.845701711822793,0.47955761042211537,0,none,0.003250079,,4.705384213462951,none
franken,25,1,6,80,32,160,1,0,5.707864619213809,-0.23490975683974405,5.347343197046545,0.5954311790070085,0,none,0.001095207,,3.7239779224237273,none
ideal,25,1,7,80,32,160,1,0,0.006589910548901747,0.023007109156628625,0.002469493799249461,-0.018886692406976338,0,none,,,2.482321323613127,none
particle,25,1,7,80,32,160,1,0,4.239529917318323,0.0005863267604318545,3.953957733677881,0.28498585688000955,0,none,0.002013299,,3.1515430354319545,none
franken,25,1,7,80,32,160,1,0,3.622950174645599,-0.0875862041540888,3.2996851176735467,0.4108512611261417,0,none,453962e-9,,2.604553709720948,none
ideal,25,1,8,80,32,160,1,0,0.004366264456488134,0.015009939169108116,0.0012910596799998566,-0.01193473439261984,0,none,,,2.7700937964526204,none
particle,25,1,8,80,32,160,1,0,5.115918044388645,0.07769891969928192,4.842098477899232,0.19612064679013072,0,none,0.001609839,,4.3095306814558025,none
franken,25,1,8,80,32,160,1,0,5.706792978442281,-0.1201667487189384,5.286667199504472,0.540292527656747,0,none,623068e-9,,4.654522864700531,none
ideal,25,1,9,80,32,160,1,0,0.004452578396974021,0.010979017454399775,0.0007106875952658308,-0.007237126652691587,0,none,,,2.917397776418355,none
particle,25,1,9,80,32,160,1,0,5.814273594751922,-0.14316875392896225,5.498056869891084,0.45938547878980174,0,none,0.001880447,,4.815031497746988,none
franken,25,1,9,80,32,160,1,0,3.593197085760859,-0.13043678534124417,3.254474550345228,0.4691593207568751,0,none,644069e-9,,3.4488444990661544,none
ideal,25,1,10,80,32,160,1,0,0.004791578059852653,-0.0028043761305297787,0.001822491315232773,0.0057734628751496585,0,none,,,2.145656190988932,none
particle,25,1,10,80,32,160,1,0,8.136344003139937,-0.2648345575144379,7.792862984416238,0.6083155762381395,0,none,0.00149209,,6.240429523690575,none
franken,25,1,10,80,32,160,1,0,5.772937306788299,-0.2819180486562559,5.432941412907384,0.6219139425371716,0,none,543964e-9,,4.787590931906153,none
finkel,25,1,2,80,32,160,30,26476,0.5049445482859583,0.17707322123291905,0.2684975710462763,0.0593737560067629,3,bkf.SampleUniform,8.260245728,,1.9717901833565148,bkf.MhSampled,true
finkel,25,1,3,80,32,160,30,27285,1.0200313275705586,-0.15320748473282392,0.8873604875899855,0.28587832471339697,3,bkf.SampleUniform,1.574177027,,2.223952259630397,bkf.MhSampled,true
finkel,25,1,4,80,32,160,30,26955,1.3614817738789007,-0.21147157617485954,1.2046654880460161,0.36828786200774377,3,bkf.SampleUniform,1.303676231,,2.678682290111097,bkf.MhSampled,true
finkel,25,1,5,80,32,160,30,22254,2.7102553781240935,-0.29215053334469576,2.5349353187651245,0.4674705927036648,3,bkf.SampleUniform,2.531812976,,3.1909388395061575,bkf.MhSampled,true
