model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
franken,48,1,8,100,5000,20000,1,0,1.6591441873514123,-0.47149345105408125,1.4121961387816448,0.7184414996238487,0,none,0.327881862,,1.3729224746237232,none,,4,1.2829908276183355,1.7544515143212478
truth,48,1,9,,,,,0,,,,,0,none,,,,none,,,0.2699168406316125,0
observed,48,1,9,,,,,0,1.1281212983981859,-13877787807814457e-33,1.1281212983981859,0,0,none,,,,none,,,-0.21533877105007337,27
ideal,48,1,9,100,5000,20000,1,0,0.004790516489152526,0.0034269145043403365,0.0014182582990794222,-54656314267232395e-21,0,none,,,1.360015850799016,none,,,-0.14409768861134498,3.167320782421089
particle,48,1,9,100,5000,20000,1,0,1.4982367020242657,-0.459968880507118,1.2581136454686472,0.7000919370627368,0,none,0.697170391,,1.6653012149561799,none,,,-0.18806063520809418,1.3747490284946362
franken,48,1,9,100,5000,20000,1,0,1.2414588493738896,-0.46469537023168006,0.9939636200547666,0.712190599550803,0,none,0.320474805,,1.1892236847007107,none,,4,-0.3679474585151325,1.7647865820872815
truth,48,1,10,,,,,0,,,,,0,none,,,,none,,,-2.234319238670759,0
observed,48,1,10,,,,,0,1.0937957140336618,0,1.0937957140336618,0,0,none,,,,none,,,-2.523342541381876,27
ideal,48,1,10,100,5000,20000,1,0,0.004062409609679498,-0.0005477462165828922,0.0010301168859607503,0.003580038940301639,0,none,,,1.2780917368544675,none,,,-1.6861946294624721,3.1673313397384546
particle,48,1,10,100,5000,20000,1,0,1.9934131253181775,-0.46374452902318586,1.739239340421674,0.7179183139196892,0,none,0.809011153,,1.1359712884237874,none,,,-1.148613817785629,0.4200296277620614
franken,48,1,10,100,5000,20000,1,0,1.459551315026864,-0.46787097347216744,1.210472849761629,0.7169494387374025,0,none,0.357103112,,1.1237381399877135,none,,4,-1.3202359959851924,1.7592729781336502
finkel,48,1,2,100,5000,20000,30,51734,0.37561530485888994,0.9591419918209325,0.08906564156536266,-0.6725923285274051,3,bkf.SampleUniform,2.660006681,,1.2694117022725406,bkf.MhSampled,0.0,,0.453463402880122,1.473182781346705
finkel,48,1,3,100,5000,20000,30,57001,0.5537212249870349,1.2428805209580724,0.14798626967388473,-0.8371455656449223,3,bkf.SampleUniform,2.327820224,,1.1504643274913742,bkf.MhSampled,0.0,,-0.897157495483604,1.6773514064885477
