model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar,klideal,covdivideal,meandivideal,entropydivideal
finkel,30,1,9,400,32000,160000,160,625099,0.010709289502877993,0.005061485205772609,0.0010856295901439886,0.004562174706961393,45,bkf.SampleLog,61.148389,,0.62295041384289,bkf.MhSampled,1.0,,0.4688425065614009,1.2184821348776131,,,,
finkel,30,1,10,400,32000,160000,160,611517,0.014739484109787593,0.0328184895294487,0.0007721588468849849,-0.018851164266546098,45,bkf.SampleLog,74.751708092,,0.6822922709760604,bkf.MhSampled,1.0,,2.0458414793514366,1.2729869414109267,,,,
finkel,30,1,11,400,32000,160000,160,603581,0.019566131523694023,0.03006283215217833,0.0010581751293521195,-0.011554875757836433,45,bkf.SampleLog,68.465610738,,0.4881351143085175,bkf.MhSampled,1.0,,2.018637682758447,1.2962646270298457,,,,
finkel,30,1,2,400,32000,160000,0,0,0.10883584482701843,-0.08582636660869816,0.06429663504927653,0.13036557638644003,45,bkf.SampleLog,0.066610319,,1.697015746754828,bkf.MhSampled,1.0,,-0.31112061927496526,1.8982921164643363,,,,
finkel,30,1,3,400,32000,160000,0,0,0.035555051347908116,0.05018994559086696,0.005230723052544316,-0.01986561729550316,45,bkf.SampleLog,0.009363135,,0.6273430224387369,bkf.MhSampled,1.0,,-0.017174851721411265,1.3086970854672997,,,,
finkel,30,1,4,400,32000,160000,0,0,0.029002267757757653,0.06517050175128365,0.002736341980952629,-0.03890457597447863,45,bkf.SampleLog,0.01598968,,0.6661527669997254,bkf.MhSampled,1.0,,-0.8891416505960298,1.3125906067172608,,,,
finkel,30,1,5,400,32000,160000,0,0,0.0388039914302853,0.04285817829092966,0.0054432569170114785,-0.00949744377765584,45,bkf.SampleLog,0.024540576,,0.5171396807707507,bkf.MhSampled,1.0,,1.4719636529274873,1.1126451714781223,,,,
finkel,30,1,6,400,32000,160000,0,0,0.02911844051713287,0.06727529939185872,0.0015230113383386625,-0.03967987021306452,45,bkf.SampleLog,0.024629611,,0.6908493945765879,bkf.MhSampled,1.0,,1.5293115978058696,1.0938669858613708,,,,
finkel,30,1,7,400,32000,160000,0,0,0.028572967603637457,0.10294819985778347,0.0027209257410516744,-0.07709615799519769,45,bkf.SampleLog,0.015695119,,0.5668061489164603,bkf.MhSampled,1.0,,1.2162682935894251,1.1193932101747046,,,,
finkel,30,1,8,400,32000,160000,0,0,0.014179741055189871,0.018180363816526858,0.0016953541959707844,-0.005695976957307773,45,bkf.SampleLog,0.024635692,,0.4264661586897382,bkf.MhSampled,1.0,,-0.5071068967054847,1.271358703732569,,,,
finkel,30,1,9,400,32000,160000,0,0,0.027020060198365854,0.011100286273736559,0.0029318674531484054,0.01298790647148089,45,bkf.SampleLog,0.043543382,,0.6753191495369442,bkf.MhSampled,1.0,,0.5656003929624319,1.1939695242847927,,,,
finkel,30,1,10,400,32000,160000,0,0,0.025780949437969568,0.03783233445606045,0.0018891883521620749,-0.013940573370252946,45,bkf.SampleLog,0.013234367,,0.7046705514850412,bkf.MhSampled,1.0,,1.8645255657077444,0.8522640981448018,,,,
finkel,30,1,11,400,32000,160000,0,0,0.026650566464903942,0.08632457235494488,0.0018209410673732935,-0.06149494695741423,45,bkf.SampleLog,0.01783222,,0.4877897326139853,bkf.MhSampled,1.0,,1.9307513728875503,1.121939390048271,,,,
truth,30,2,1,,,,,0,,,,,0,none,,,,none,,,1.0157669657914776,0,,,,
observed,30,2,1,,,,,0,,,,,0,none,,,,none,,,3.4330043468042146,0,,,,
ideal,30,2,1,400,32000,160000,0,0,,,,,0,none,,,0.4877897326139853,none,,,1.9307513728875503,1.121939390048271,,,,
particle,30,2,1,400,32000,160000,0,0,0.36658591192162004,0.6195538793378146,0.037111170637795385,-0.29007913805398994,0,none,,,0.5390849610956021,none,,,1.9391061594959875,0.7024313419266319,,,,
