model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,25,1,1,100,20,10,0,0,0.06377142654919754,0.0717119320891296,0.01881450093124291,-0.02675500647117497,0,none,,,2.0145654548056298,none
particle,25,1,1,100,20,10,0,0,0.7371638449734454,1.0051326022644664,0.07681820463204504,-0.344786961923066,0,none,,,1.8123371002639164,none
franken,25,1,1,100,20,10,0,0,0.33641719336964127,0.40276168770895265,0.10672860255292779,-0.17307309689223913,0,none,,,2.028719027557873,none
ideal,25,1,2,100,20,10,0,0,0.06947946256849233,0.019579944219222878,0.03305236008938294,0.0168471582598865,0,none,,,2.1170974190559693,none
particle,25,1,2,100,20,10,0,0,4.102793865927326,0.13512829571400317,3.40342475584396,0.5642408143693627,0,none,0.618015301,,3.674393636216916,none
franken,25,1,2,100,20,10,0,0,4.691896247066682,-0.5243826198872824,4.142486644978938,1.0737922219750262,0,none,0.212435897,,4.348568836202465,none
ideal,25,1,3,100,20,10,0,0,0.07230939843875475,0.09332685252314965,0.04492110751223081,-0.0659385615966257,0,none,,,2.103274843592011,none
particle,25,1,3,100,20,10,0,0,16.176455444272484,2.406351213366934,14.133821787387662,-0.36371755648210874,0,none,367539e-9,,7.946599999317198,none
franken,25,1,3,100,20,10,0,0,8.39497663770738,0.02346049995165675,7.7609784597103575,0.6105376780453659,0,none,479179e-9,,3.1841816508645095,none
ideal,25,1,4,100,20,10,0,0,0.2154358703388976,0.03780159155381041,0.18696587250608612,-0.009331593720998945,0,none,,,2.6319246441724147,none
particle,25,1,4,100,20,10,0,0,70.39161727654407,0.8614983709510334,69.2909803981172,0.2391385074758322,0,none,234942e-9,,15.211390014232737,none
franken,25,1,4,100,20,10,0,0,8.852239819530075,0.3068393107820797,8.159591110985573,0.3858093977624219,0,none,371964e-9,,3.4424589771518983,none
ideal,25,1,5,100,20,10,0,0,0.11715971102351663,0.07054135022035807,0.08547443404943103,-0.038856073246272466,0,none,,,3.1262209861299004,none
particle,25,1,5,100,20,10,0,0,48.636027819678056,2.9048890257141835,46.38596829664566,-0.654829502681786,0,none,516946e-9,,30.55054588971538,none
franken,25,1,5,100,20,10,0,0,11.643259836219016,0.6976980308641396,10.662025128818696,0.2835366765361818,0,none,643669e-9,,4.9563495344519195,none
ideal,25,1,6,100,20,10,0,0,0.1597410134636544,0.013757166222178485,0.13890003240226906,0.007083814839206877,0,none,,,3.174536282943904,none
particle,25,1,6,100,20,10,0,0,103.49782258046926,1.970581239658118,101.90392854183695,-0.37668720102579056,0,none,506402e-9,,59.234369430412606,none
franken,25,1,6,100,20,10,0,0,10.50879260257897,1.889333451082251,8.792896235551957,-0.17343708405524005,0,none,481413e-9,,8.32303107960716,none
ideal,25,1,7,100,20,10,0,0,0.10221601472212125,0.11185685143801122,0.07508620287984084,-0.08472703959573084,0,none,,,3.4190623938188263,none
particle,25,1,7,100,20,10,0,0,214.43477521472553,3.3927357515145653,211.63314106573083,-0.5911016025198652,0,none,335879e-9,,125.53739527000423,none
franken,25,1,7,100,20,10,0,0,23.27767775872782,1.5350097294918732,21.881035266753464,-0.1383672375175189,0,none,447001e-9,,14.549784544835415,none
ideal,25,1,8,100,20,10,0,0,0.13345676853559807,0.010888664066408343,0.10997839526126102,0.012589709207928696,0,none,,,2.8162318490494425,none
particle,25,1,8,100,20,10,0,0,572.383436339926,3.017999631572514,569.8993221772657,-0.5338854689122632,0,none,428827e-9,,282.0504042563678,none
franken,25,1,8,100,20,10,0,0,120.2606180626664,1.0124363209634408,119.1342185877293,0.11396315397367864,0,none,587785e-9,,26.864599876332086,none
ideal,25,1,9,100,20,10,0,0,0.17202940983945414,0.11613815724169049,0.14291567631526564,-0.087024423717502,0,none,,,3.321727082262533,none
particle,25,1,9,100,20,10,0,0,1156.8766018718386,3.518422093392478,1153.799917284794,-0.4417375063480799,0,none,480693e-9,,642.7349795575035,none
franken,25,1,9,100,20,10,0,0,87.00514420327504,1.0095640044898335,85.9549180281086,0.04066217067659836,0,none,686302e-9,,61.183188419871954,none
ideal,25,1,10,100,20,10,0,0,0.08945408579630376,-0.02650851258158149,0.05895369680178336,0.057008901576101896,0,none,,,3.18570489456786,none
particle,25,1,10,100,20,10,0,0,3012.441288257947,2.6084838378349784,3010.646941878615,-0.8141374585033202,0,none,487592e-9,,1444.3471687824353,none
franken,25,1,10,100,20,10,0,0,263.20270453361934,1.3660711960731464,261.8720544022094,-0.03542106466322731,0,none,536027e-9,,120.6814511189742,none
finkel,25,1,2,100,20,10,5,1540,0.20268036501751957,0.1848784723191385,0.11904673511120342,-0.10124484241282238,3,bkf.SampleUniform,5.832817156,,2.1340930479527196,bkf.MhSampled
finkel,25,1,3,100,20,10,5,1677,1.4231968119445708,0.292471737525538,1.2866021809164163,-0.15587710649738373,3,bkf.SampleUniform,0.991279162,,2.0828431268518193,bkf.MhSampled
finkel,25,1,4,100,20,10,5,1557,1.9476067607861836,0.1269122815624497,1.8264073667900598,-0.00571288756632559,3,bkf.SampleUniform,0.565661746,,2.535373520029657,bkf.MhSampled
finkel,25,1,5,100,20,10,5,1294,4.135846100008461,0.058710953054093795,3.9620762495611763,0.11505889739319125,3,bkf.SampleUniform,0.549440129,,4.234503420239571,bkf.MhSampled
finkel,25,1,6,100,20,10,5,1442,5.145736748417849,-0.043976637777612904,5.009316232376943,0.18039715381851976,3,bkf.SampleUniform,0.558095635,,5.025101859487174,bkf.MhSampled
finkel,25,1,7,100,20,10,5,1298,19.241604368999447,-0.013582339267260019,19.01066579317864,0.24452091508807156,3,bkf.SampleUniform,0.578718592,,7.823735847166599,bkf.MhSampled
