ideal,25,1,3,1500,50,50,5,75306,0.04940909074317475,0.026941320784471368,0.032007371649658764,-0.009539601690955385
finkel,25,1,3,1500,50,50,5,75306,1.788991545266934,0.5706383037063587,1.3159857896732479,-0.09763254811267236
particle,25,1,3,1500,50,50,5,75306,4.9425776945728614,0.34967831598219273,4.257517466048927,0.3353819125417411
franken,25,1,3,1500,50,50,5,75306,7.030650792204799,-0.1813300236640021,6.491072738848703,0.7209080770200986
ideal,25,2,3,1500,50,50,5,76160,0.06712395971319132,0.10927746407926517,0.037149271452410634,-0.07930277581848448
finkel,25,2,3,1500,50,50,5,76160,1.4980850832322332,0.5821480415759609,0.9848101298073824,-0.06887308815110989
particle,25,2,3,1500,50,50,5,76160,9.36461219816896,0.22285324652486876,8.718223173685569,0.4235357779585196
franken,25,2,3,1500,50,50,5,76160,5.924828979142333,-0.3025207690022393,5.395661888482743,0.8316878596618301
ideal,25,1,3,1500,50,50,400,99615,0.07599812392208002,0.04406206426660958,0.04380625859276835,-0.011870198937297913
finkel,25,1,3,1500,50,50,400,99615,2.673793170805409,0.19069449368547198,2.239240897525242,0.2438577795946949
particle,25,1,3,1500,50,50,400,99615,49.42345864208352,-0.2375098634842327,48.804566254899164,0.8564022506685829
franken,25,1,3,1500,50,50,400,99615,10.993926192455177,-0.050838925095152115,10.394290222944772,0.6504748946055561
ideal,25,2,3,1500,50,50,400,100153,0.08536975013116643,-0.019444675716912857,0.0599527088878379,0.044861716960241375
finkel,25,2,3,1500,50,50,400,100153,1.8465842360497862,0.18671785269750593,1.3776094164087822,0.28225696694349833
particle,25,2,3,1500,50,50,400,100153,7.379824217786403,0.21764222143223005,6.977031922960968,0.1851500733932051
franken,25,2,3,1500,50,50,400,100153,3.5832680531469046,-0.06887189294259446,2.9959853509790078,0.6561545951104911
