ideal
10
1
3
100
2000
10000
200
0.09828444254695447
-0.00024009301000231056
0.06921375098615605
0.029310784570800722
finkel
10
1
3
100
2000
10000
200
3.518217017268069
2.403402967918448
2.146300137370473
-1.0314860880208514
particle
10
1
3
100
2000
10000
200
18.584296230381014
-0.40156982113854894
18.121750277745193
0.8641157737743689
franken
10
1
3
100
2000
10000
200
17.340990717480143
-0.36382360055566343
16.902083225497023
0.802731092538783
ideal
10
2
3
100
2000
10000
200
0.04924818361607657
-0.06072994379101745
0.023258060398066337
0.08672006700902768
finkel
10
2
3
100
2000
10000
200
2.9253211194688773
2.4253316962331546
1.3804620966283343
-0.8804726733926121
particle
10
2
3
100
2000
10000
200
18.50465149454066
-0.3412002234516824
18.06823521437908
0.7776165036132628
franken
10
2
3
100
2000
10000
200
11.76445715638336
-0.3095383683023243
11.338997459595644
0.7349980650900383
ideal
10
3
3
100
2000
10000
200
0.05656040635529125
0.03156663000454903
0.027016753511779568
-0.0020229771610373454
finkel
10
3
3
100
2000
10000
200
1.2174012518126014
1.7329504023337208
0.16456800146215023
-0.6801171519832695
particle
10
3
3
100
2000
10000
200
4.254513480948924
-0.33466541442444203
3.8101106792127575
0.7790682161606073
franken
10
3
3
100
2000
10000
200
2.456049425896784
-0.3266597460782539
2.001186966533821
0.7815222054412171
ideal
25
1
3
100
2000
10000
200
0.05689834408302869
0.061354833292445454
0.026302842155163236
-0.030759331364580006
finkel
25
1
3
100
2000
10000
200
1.5330455384592976
1.8386590076509364
0.4526231772714925
-0.7582366464631316
particle
25
1
3
100
2000
10000
200
5.733407938279436
-0.21280242772269256
5.249955818931657
0.6962545470704713
franken
25
1
3
100
2000
10000
200
7.027293011604076
-0.39906584048759786
6.57391177298991
0.8524470791017633
ideal
25
2
3
100
2000
10000
200
0.09684547646885616
0.18806081888317952
0.05857484234559902
-0.14979018475992234
finkel
25
2
3
100
2000
10000
200
2.2373133918642933
1.8217212307971953
1.1507600536032039
-0.735167892536106
particle
25
2
3
100
2000
10000
200
6.451171733497592
0.4721695816666096
6.013544431386563
-0.034542279555580514
franken
25
2
3
100
2000
10000
200
7.103459028150511
-0.3622343367441191
6.673387962090871
0.7923054028037595
ideal
25
3
3
100
2000
10000
200
0.09177741059000628
0.01348274418144349
0.06296009055727131
0.015334575851291476
finkel
25
3
3
100
2000
10000
200
1.2226997390826697
1.867552081293907
0.1080488093447653
-0.7529011515560027
particle
25
3
3
100
2000
10000
200
3.865787092446676
-0.2656473216613703
3.379458732093712
0.751975682014335
franken
25
3
3
100
2000
10000
200
3.045499054757017
-0.38092741873545477
2.6084034921040242
0.8180229813884476
ideal
50
1
3
100
2000
10000
200
0.07563042079811205
0.021113936268272793
0.04769984170762999
0.006816642822209262
finkel
50
1
3
100
2000
10000
200
1.6710230394409549
1.9988501503189835
0.5059711427497786
-0.8337982536278072
particle
50
1
3
100
2000
10000
200
5.198506710650226
0.30189909968034084
4.782481803719322
0.11412580725056361
franken
50
1
3
100
2000
10000
200
5.604982761339848
-0.40931414672926636
5.145744455279791
0.8685524527893227
ideal
50
2
3
100
2000
10000
200
0.07299035915716821
0.035077155640390906
0.03651281762312376
0.001400385893653539
finkel
50
2
3
100
2000
10000
200
1.7677650159924012
1.9533824578649113
0.6104210146392806
-0.7960384565117903
particle
50
2
3
100
2000
10000
200
12.509089588085088
-0.4786350209829633
11.911721593520438
1.0760030155476112
franken
50
2
3
100
2000
10000
200
5.639313116285266
-0.38309338190478665
5.186379335310977
0.8360271628790772
ideal
50
3
3
100
2000
10000
200
0.0792090456816468
0.11496677649894349
0.0452708652137534
-0.0810285960310501
finkel
50
3
3
100
2000
10000
200
