ideal,10,1,3,100,2000,10000,200,0.05057762448809846,-0.002241979660743502,0.026893669137528383,0.02592593501131357
finkel,10,1,3,100,2000,10000,200,2.5597082758791765,2.1610089085307833,1.333028347897852,-0.9343289805494592
particle,10,1,3,100,2000,10000,200,6.313971621981359,-0.3383133425148719,5.862129753962313,0.7901552105339175
franken,10,1,3,100,2000,10000,200,7.0091464210522965,-0.35179811994355487,6.5533888181383935,0.8075557228574574
ideal,10,2,3,100,2000,10000,200,0.15665950018619126,0.05885853491111289,0.13611038679398743,-0.03830942151890903
finkel,10,2,3,100,2000,10000,200,1.331804375638145,1.8602347614139434,0.3039193613352749,-0.8323497471110732
particle,10,2,3,100,2000,10000,200,3.3595017323184333,-0.3483575678259801,2.8846004147014246,0.8232588854429891
franken,10,2,3,100,2000,10000,200,3.0909318890385227,-0.34706435192339596,2.6472705241168755,0.7907257168450431
ideal,10,3,3,100,2000,10000,200,0.059221183910127984,0.17177083409694802,0.02355718326791037,-0.13610683345473037
finkel,10,3,3,100,2000,10000,200,1.4535944867127266,1.5339900856445823,0.5368994517396463,-0.617295050671502
particle,10,3,3,100,2000,10000,200,1.9196701194801922,-0.3039437613881484,1.4569273398865519,0.7666865409817891
franken,10,3,3,100,2000,10000,200,2.237558661479607,-0.295634710730529,1.7527886915197897,0.7804046806903459
ideal,25,1,3,100,2000,10000,200,0.044210976079261555,-0.027023220700859274,0.02324259082120293,0.04799160595891789
finkel,25,1,3,100,2000,10000,200,1.2661769103985872,1.6838295609539728,0.24149019971969266,-0.6591428502750787
particle,25,1,3,100,2000,10000,200,2.451832199260533,-0.17592446931709582,2.040792731615723,0.5869639369619063
franken,25,1,3,100,2000,10000,200,3.429759121995388,-0.37858341461524747,2.9727627853567955,0.8355797512538394
ideal,25,2,3,100,2000,10000,200,0.05451527457758993,0.12113644153326492,0.023540300482738027,-0.09016146743841301
finkel,25,2,3,100,2000,10000,200,2.319408250542749,1.989151183664985,1.2108646707831485,-0.8806076039053845
particle,25,2,3,100,2000,10000,200,9.422216311625204,0.3151946110926603,9.001303703423138,0.10571799710940635
franken,25,2,3,100,2000,10000,200,11.734350693437065,-0.38497071756552326,11.281875149118193,0.837446261884394
ideal,25,3,3,100,2000,10000,200,0.06086765104798072,-0.0034123972685307924,0.029135357051567792,0.035144691264943725
finkel,25,3,3,100,2000,10000,200,1.4647800296992521,1.7819497999988654,0.45642974792488267,-0.7735995182244959
particle,25,3,3,100,2000,10000,200,5.000768035692504,-0.3161297639790903,4.530714574866547,0.7861832248050471
franken,25,3,3,100,2000,10000,200,5.270402488620201,-0.38718227567311947,4.8204280968838376,0.8371566674094822
ideal,50,1,3,100,2000,10000,200,0.07068521622321092,-0.008636309412321422,0.040422577849551236,0.0388989477859811
finkel,50,1,3,100,2000,10000,200,1.574690291917173,2.02585793171551,0.35268622318628096,-0.8038538629846183
