model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,25,1,1,80,20,10,0,0,0.0482197098844703,0.052117472137404225,0.01894298109372385,-0.022840743346657772,0,none,,,1.663741236819975,none
particle,25,1,1,80,20,10,0,0,0.6940074919904068,0.6284439073133977,0.23574997618913743,-0.17018639151212836,0,none,,,1.7824909317462847,none
franken,25,1,1,80,20,10,0,0,0.2636060723071676,0.2572275742342722,0.0769933410154077,-0.07061484294251236,0,none,,,1.6457358186747382,none
model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType
ideal,25,1,1,80,20,10,0,0,0.04110826044991272,-0.029127738217693516,0.015746084729210637,0.0544899139383956,0,none,,,1.8895458850537605,none
particle,25,1,1,80,20,10,0,0,0.49680952312424814,0.4170957769217378,0.22626121472736363,-0.14654746852485334,0,none,,,1.8055825656200681,none
franken,25,1,1,80,20,10,0,0,0.24258462216348084,0.3239735012116081,0.06286626926414626,-0.14425514831227357,0,none,,,1.5323453307772303,none
ideal,25,1,2,80,20,10,0,0,0.04036271497449251,0.027942683399211354,0.014174914580014155,-0.0017548830047329975,0,none,,,1.3522927202674675,none
particle,25,1,2,80,20,10,0,0,1.9338953368452132,-0.13744839457291363,1.3929509906674284,0.6783927407506984,0,none,0.086879115,,2.4467792010439338,none
franken,25,1,2,80,20,10,0,0,1.1147074381352138,-0.37219889751998114,0.8175951087476747,0.6693112269075202,0,none,0.181418984,,2.1789384609308216,none
ideal,25,1,3,80,20,10,0,0,0.05193022906070002,0.03340072271333713,0.012218245521953738,0.006311260825409146,0,none,,,1.8053717274883363,none
particle,25,1,3,80,20,10,0,0,2.4467946176611286,-0.11412710716502297,1.9580521460817595,0.6028695787443925,0,none,357671e-9,,2.7852031155505097,none
franken,25,1,3,80,20,10,0,0,1.1579621817507917,-0.21418116978946106,0.8393039982315255,0.5328393533087273,0,none,502506e-9,,2.188273653726064,none
ideal,25,1,4,80,20,10,0,0,0.03450570264400737,0.04014508750071025,0.004437079290609282,-0.010076464147312163,0,none,,,1.7932986044738788,none
particle,25,1,4,80,20,10,0,0,3.746271590446871,0.27253927654341725,3.1365421236319797,0.33719019027147523,0,none,421695e-9,,3.4615932412997297,none
franken,25,1,4,80,20,10,0,0,1.7366101224249255,-0.28954499583272675,1.4277858064012219,0.5983693118564306,0,none,530735e-9,,2.906031667998746,none
