model,mod,M,MEquiv,r,sampType,mhType,hpl,nIter,useForward,dimension,rep,startTime,step,checksum,putime,samptime,kl,covdiv,meandiv,entropydiv,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,v11,v22,v33,v44,v55,v66,v77,v88,v99,v1010,v1111,v1212,v1313,v1414,v1515,v1616,v1717,v1818,v1919,v2020,v2121,v2222,v2323,v2424,v2525,v2626,v2727,v2828,v2929,v3030,v12,v23,v34,v45,v56,v67,v78,v89,v910,v1011,v1112,v1213,v1314,v1415,v1516,v1617,v1718,v1819,v1920,v2021,v2122,v2223,v2324,v2425,v2526,v2627,v2728,v2829,v2930,v13,v24,v35,v46,v57,v68,v79,v810,v911,v1012,v1113,v1214,v1315,v1416,v1517,v1618,v1719,v1820,v1921,v2022,v2123,v2224,v2325,v2426,v2527,v2628,v2729,v2830
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,1,0.9989908632365132,0.551670835,7.670586611,0.3519884644084739,-0.5046931919245637,0.20436384320910625,0.6523178131239314,-0.016508992721812346,-0.04208751528833443,0.2247160513231785,-0.09205927845736861,0.8511974954435617,-0.23120736125747854,0.4539985954191504,-0.40099242763855214,-0.20167079697844315,0.5352009748675683,-0.008513277921823548,0.5187081342529445,-0.07760739696831864,0.6694425935790056,-0.27794653393862734,-0.12684009580348787,0.5828713596387948,-0.535568283608493,0.006315144641316106,-0.32891303569850416,0.05845781069947931,0.20955054472515888,0.05469012727882239,-0.2649214886436041,0.051532038184098794,-0.009268181745914414,0.1512576117746941,-0.5055233125285719,0.36723208462311696,0.07488188867269874,0.15205627839306673,0.865026749037772,0.8349117552637169,0.8351620614110244,0.7857245601830195,0.1540734424082433,0.8187451547970496,0.8293697538167706,0.8314823396788688,0.814207091931647,0.17184862002077753,0.9492566675096533,0.8268564398512835,0.7952847079324796,0.8537762985015204,0.16003909696295807,0.8252606731940323,0.871839671413034,0.8211508376871638,0.8295383791650192,0.15110151670202263,0.8341228636239427,0.8385694250875996,0.8128241045338541,0.810913659092779,0.15007357468837523,0.8497893095824669,0.8099962650530323,0.8269859360319366,0.8231260258537946,-0.010521478702457294,-0.003458833994821519,-0.007064079069889977,-0.03307838958764414,0.004480624572953081,-0.0001688178745610747,0.0019365728749964806,-0.0024355697380557912,0.005133027644370568,0.020064548922521148,0.005882431996222472,0.005427955129568145,-0.018644522023713493,-0.012566798861789456,-0.001239716020657423,-0.006030641321522002,0.005901603129685755,0.0073357673993048765,-0.004134672203550403,0.0004035989925736281,0.0004703741832573284,0.011734265193320709,0.008759810092506712,-3282356845296963e-20,0.0012850919280004776,-0.007304713840470315,0.001144010670926249,-0.009626248208380195,-0.003366006131737227,0.0038194907764672933,0.0038209733774622824,0.0006627378139064094,0.014099210747178379,0.007475557056134781,-0.0012710124718952102,0.0068236903780164405,0.003791487017858259,-0.0013553109861304175,0.04587509995221932,0.002979064118662017,0.005326100420943849,-0.005397980911445977,0.00021772065997164414,-0.007215382684607967,-0.00486511796480327,0.0014472456775290734,0.002015521923517884,-0.004061558117046466,0.003295988711292653,0.0013550007232777956,0.008303031786105199,0.004705753328014385,-9904720819590144e-20,-0.00313918787208779,0.0021865520230223536,0.003660774722775076,0.0062543760930427374
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,2,0.6227296731420382,0.469593869,7.720762268,0.6233965686873901,-0.13703072738016603,0.28677712036724845,0.47365017570030776,0.02135185663701135,0.8120868182485628,0.7115780707608622,0.16086429621580267,1.251624577344036,-0.8491293446348231,0.36349022693153565,-0.8543987110307567,0.2174976584406516,0.7589557928397522,0.5156942919412659,0.8745034052292238,0.38993207331765234,0.29319903397762404,-0.7713317060066489,-0.2659860652882666,0.6700195135624578,-0.861817789328678,-0.29721723885801254,0.11677150321665375,0.8943370671383098,0.7315075056850076,0.08670129872431304,-0.9927610072733545,0.3046643725576954,0.09471678918873072,0.2565843862662428,-0.20443194845653395,0.8970798679820389,-0.14247784843703903,0.07679166505757559,0.45039513604334974,0.46122278326992927,0.42965182453389805,0.3792000447001667,0.08339716913035565,0.4415206230621782,0.44489365273872106,0.4425117101487484,0.5317715141168329,0.08432845069477135,0.4849735388472256,0.45804300935830156,0.43279339211365114,0.43866253813473255,0.08199895691691513,0.46073481901637015,0.46409305237495363,0.41016682487234546,0.45597823297039847,0.08435391020548764,0.45204253720523524,0.4647805041256623,0.4519847999739669,0.43140746982326544,0.08043993864896669,0.4692783665372217,0.4461960725002942,0.4628175987787911,0.4737392423396651,0.0011416553821616908,0.004562927065404612,-0.0015066624033287994,-0.010369614098178855,0.04887544567976728,-0.0002614200698287237,-0.005105424082549268,-0.01386203216611921,0.0006520239165640414,-0.006678235732065716,-0.010477362075051117,-0.0007613072909356522,-0.007264829265577185,-0.01353897788155404,-0.0004618662837726537,-0.006328068661977649,-0.007886008355509122,-0.0015681766019805458,0.008874260544967,-0.001948004873897306,0.00028275444236953496,0.017902981824368405,-0.010276563794441996,-0.0001982988047856578,-0.007653332289002053,0.0019358027695512599,0.0029525457845696393,-0.012115904422093171,0.011652031015040622,0.0015843478560885647,0.005264763562736939,0.0013686246155715375,0.03146096906330824,0.0006965258549535764,0.0007598711105949348,0.020779680704979556,-0.0025953438964446043,0.001974673776649043,-0.0025860718440192266,-0.0008859482092064273,-0.005821287247763223,-0.0025592383550618217,-8742172251660721e-20,-0.0035895324228448753,-0.0014127482206053802,0.0033233518064785693,-0.0008470488727757859,0.0014592042237321695,-0.0013852732354113217,0.00026630503120355297,0.004883041466559932,-2932481326610817e-20,-0.0015235967314981202,0.0037224202922935294,-13386350718752463e-21,0.0020090364981562993,-0.0054819190761820095
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,3,0.21575880963633653,0.296775788,7.481239696,1.4540420366178295,1.4545455926701614,0.24346801676307642,-0.2439715728154082,-0.2071698131581699,0.8259166821267024,0.5816804367981956,0.6324462049837344,0.5863989178513069,-0.4843167473522597,-0.7123249995670224,-0.8339661742214268,-0.17214153838372281,0.5387790743278738,-0.4505199554929664,1.1724979417521861,0.7415242223458804,0.24175731250309607,-1.4895022748886113,-0.7291927813415906,0.235492733439574,-0.6542786202430644,-0.5445968515238859,0.11134192261009479,1.2708189167167576,1.1577280668018841,-0.5169703029529289,-1.15391681135449,0.431483370260325,0.205694802343245,-0.0659665298724541,0.016976839563456303,0.42423836251053326,0.3828542714202293,0.05379969987251053,0.32106546272990527,0.33144040186414336,0.22544422753707008,0.19576779951249776,0.047510088437441034,0.3063030438548337,0.31485617684267064,0.2990279678638688,0.32215841168493303,0.05480978615444948,0.3179742695576733,0.3269793726047139,0.25092242106533924,0.30082172790258205,0.0576805584259612,0.34759007119478547,0.2933619244843346,0.047530041209466266,0.2426495134352425,0.027035341739147553,0.3144756993483726,0.32547030334688165,0.31192215427409387,0.2894306687952405,0.05385451862029064,0.3316391644198868,0.3040245605754997,0.31761641076722746,0.3285168078107141,0.000890383561771145,0.01760262539252183,0.0008208493261023068,-0.00917714628056481,0.00022121964772423968,-0.0004562482893102067,-0.001215561099864631,-0.006883923953080749,0.000978121973297203,-0.0016090961833573087,-0.002911921187104946,0.0007492854572429251,-0.009535920183539775,0.016691319749595996,0.0008051700290959231,0.004578993440986412,0.014887213881770108,0.0010647080358153053,-0.00014664983991461992,0.05927454719654768,0.0007218611045189704,0.00665195003978409,-0.001390827183719584,-0.002751472991783049,-0.006909222072592008,0.0003389470298643281,0.0003826421534743424,-0.009678551605236327,0.003696097073558445,-0.0006902039597053572,0.002682237796535569,-0.0021085724186635083,0.037394150977872194,-0.0008595343117262988,4047192581125761e-20,0.013505014764325383,-0.00200889926566342,-0.0003899892554277427,-0.04837324058674189,-0.0008657116770423673,0.0011581263969763305,0.009605555165103613,0.0007980047019706487,0.001128063337173576,0.005314136730827507,0.0008322376965463989,-0.0001831219773876061,-0.007970092783826857,0.0006406918182306955,-0.0001475432530434185,0.006009984984869589,0.0002765420929678381,-6041395803219131e-20,-0.008560812960189118,-7872413921965077e-20,0.0003387691035578354,-0.0038104042582437444
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,4,-0.10296765857181467,0.334882228,7.503556065,2.034091594242314,2.707414288407142,0.18668799359532132,-0.8600106877601493,-0.755838202621975,0.6339657461323893,-0.07519050753216816,0.9287398305102827,1.163734067254563,-0.6992503067781277,-0.03496725466712847,-1.1387794069021009,-0.39438591325470496,0.4573113040536766,1.6105108892746998,0.649946036448567,0.5030832108970404,0.33925607815329883,-0.8878724031528555,-1.044527644538638,1.2964642503947037,-0.6509710350123006,-1.7277543737727206,0.2383483077159077,0.31021600158430906,1.44626081083275,-0.2543476619141736,-1.342622974886235,0.017528827184810414,0.2095787849918046,-0.6181855533402291,-0.15012211941344672,-0.5345399973472074,0.07963830670072841,0.03788293082218967,0.2407633921140699,0.24314302780961708,0.10943164552695024,0.07937378121521085,0.021903159219142973,0.2357387905564059,0.2523142608699165,0.23194768293791856,0.15792008562757745,0.05412173486091262,0.24137904510311972,0.26732452142702967,0.2062336477463825,0.21369777961840547,0.03303775550899468,0.12615703252141536,0.21231493818606015,0.048670530614339534,0.3865587002739388,0.028256048183497688,0.23047310950314087,0.23886133614499563,0.22626136082669712,0.21618284109983144,0.04406483652007685,0.2450789311845854,0.2261168143393705,0.24446426202383206,0.24116231617124112,0.0009681490144635617,-0.0031751994540309986,-0.0005918607116157077,-0.03047050716163831,-0.009104930668185834,-0.0005097378503317783,-0.006441842651565345,0.0014881354216963018,0.00036288843026397014,-0.018331183847197823,0.00942584579977819,-0.00033950563599714,-0.011284126081457914,0.061376804587528935,-0.00011982645473452846,0.01763479547049455,0.00863055964153718,7998772182863117e-20,0.022907782355244193,0.08675058926183242,0.0003302858312645759,0.007690797163588565,0.0050240973494786656,0.0013520808882435957,-0.0018277994659836882,-0.002244118696982551,0.0010953164866784357,-0.016733184608393955,0.004851815474968194,-0.0019663717804834107,-0.0006123294283077748,-0.0021277946221350047,0.032043553933475265,-0.0001417345205580744,0.000494540648753787,0.005104726389468997,-2525540612211027e-20,-0.00011749613276427252,0.010280475082125803,-0.00010517383667864607,-0.0009491810503049175,0.029777087367199032,0.0001433925106207875,-0.000426085836825959,-0.015070596971758417,0.0003051957274446812,0.0011762472194838123,0.014983741160521317,0.003192007523931136,-0.0005325928898451956,0.009746546028398946,-0.0007754447751380312,0.00014698146132808632,-0.010383496312773893,42776191127479544e-21,-0.0008492005939368723,-0.007393291771652561
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,5,0.7383852866669633,0.310498604,7.695062715,3.0436743581347208,4.39879274064753,0.16158633326622757,-1.5167047157790374,0.9549867237271323,0.15235970704694846,1.1457883307539527,0.8759959686349892,0.9521736256114677,-0.5841237084149329,-0.7231924723667441,-0.9896060187478407,-0.40072755211045696,0.3015909558379324,0.6407236087676806,1.2538772266308293,0.16787116065326702,0.21224632338079552,-0.3833484357292171,-0.8073366832128395,1.334574609900438,-0.2806841707597991,-1.787910422700919,0.23988157557616616,0.1830941843540874,1.0548441429971882,0.020588572429486085,-1.3233263087810883,-0.45758110833442234,-0.1113950156619985,-0.8441101142855305,-0.5034153532017674,0.0156791523306119,-0.35535826372505597,0.030415393779808394,0.18800451294383705,0.21989385437351094,0.05333068027864556,0.04214974754662788,0.010481951195714908,0.2006148763442865,0.1976632557834006,0.18560430517239626,0.08873246648797338,0.02478272854500689,0.10263365562867441,0.19648717975767166,0.15883763886952637,0.17271836310345318,0.026173091130179175,0.06465591143342175,0.10212252777536374,0.1794077131274725,0.24685557130535596,0.021008546780936978,0.17270736618544585,0.22503429609275846,0.14792509746659704,0.16970819128349363,0.03276466305577663,0.20933661409172225,0.20243879137379125,0.20399453368478163,0.20801274359493555,0.0019665777853126796,-0.016063299109268143,0.00023018636960331926,-0.01773491051077781,-0.0067652306133380545,0.00021016019720016,0.0032905025275528103,0.0013051025783840267,0.0005152227872064983,-0.009171327212345353,-0.003618771656157537,7553769785600126e-20,-0.01642979500087262,0.049496705255163816,-0.00020404824384446726,0.027972639846383124,-0.011990743373061968,-2560489831800074e-20,0.035203514675455835,0.04706174607334896,-0.000166654842872701,0.029158300489363527,-0.006693983041901708,0.0007735477036561283,-0.0009062780979132015,-0.0018647681674981715,0.00023244015942476854,-0.0027209542211285866,0.007942196383874972,-0.0018383012210988145,-1550873317119967e-20,0.0005848247507517589,0.016861059953115157,-0.0006429836864981626,0.0003110742847298715,0.0033939910994106553,0.0011903689545553445,-0.0005320195117579771,0.04411994892664637,1866402545092374e-20,-4853427365239242e-21,0.025248170169345403,6394982395344597e-20,4346025701213889e-21,-0.01624093294146129,-841023984043058e-19,0.00055521938090884,0.040345988185675294,0.0001555760686047689,-0.00018039832442139038,0.03415170628918167,0.0017028989408472328,-0.0007025763552996709,-0.007379864108407177,0.000227028290493314,-0.00012546503070108683,0.006218364589984013
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,6,0.5722107288385876,0.292405755,7.539027324,10.743450774145915,13.014245025120141,0.13051561495591013,-2.401309865930139,1.1583540064555873,0.5490452543613717,0.7185361843864436,1.4663704649784675,2.4672007551977195,-0.3186819382004251,0.03028088824247499,-1.0471456264383427,-0.7170423183758319,0.011211828805467061,0.7298611284073488,1.3034502210914787,0.10729053879287398,-0.03650704749578204,0.0635511389361768,-0.9170918924818003,0.7166779079891514,-0.4738712735141549,-1.4810842397335484,-0.5889839944910888,1.364380048884978,0.8392921579195698,1.7813924718851917,-0.9758263845768346,-0.5582081860160732,-0.5203253190141588,0.24789968788208458,-0.6001051750805696,0.5898385911661879,-0.23630214267528388,0.019927016125984236,0.191753742250023,0.19017822490602243,0.042699022356388804,0.01018952934464574,0.010267650867422543,0.17981942763337827,0.1715830258876568,0.1755485753391662,0.0721369489465286,0.00753457236560882,0.055047267560195845,0.15215331734766274,0.1362184003811796,0.1517159962371097,0.006532066268391603,0.014511899463054381,0.03947209983827521,0.03158459916932737,0.2646315784407036,0.01643048403656085,0.14996255783039328,0.14593943286625116,0.12185225440823008,0.1500102884407635,0.027034892351375468,0.18932727537278413,0.16491609438147048,0.16367471384684018,0.17138404035560942,-0.0033567499790061093,-0.017910044160069746,0.0004941411539585673,-0.005191876501965622,-0.0013287224948780243,-0.0001823982644598579,-0.013351899523635696,0.009207264400451954,0.0005989675256449058,0.002315417171343446,-0.002348318083159241,-0.00037782196487446394,-0.011503578583772543,0.025482105118918262,0.00014386743316443932,0.007165154777171182,-0.006029951843711494,0.00010562323577918998,0.027328134646589137,0.06131995844212974,5656743261144685e-20,0.02285628864027455,-0.007025638338052207,0.001981666569927164,-0.0015327031967437585,0.0004472188157079276,0.0005519479178962078,0.003394364503871297,0.0032835751473572683,-0.014022831729680257,-0.00019271903873148666,-21572101615319176e-21,0.016986624591810412,7961509895933609e-20,3427323919955292e-20,-0.010955667523196787,0.00016417532532526813,-0.00018348721832159976,0.03839504990873103,0.00046194768401116914,-0.0001060992552390944,0.011618493558902565,-0.00024054744760438915,-9452167256755262e-20,-0.010798815184187186,0.0001397538799131911,6225484106275513e-20,0.012416152125818676,0.0003858200600025315,-0.00034480868882927595,0.007373749310344003,0.0004755663229872022,0.0004252235925172622,-0.002134694415333275,0.00030785503331672877,-0.00021267108282645793,0.007777761348458505
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,7,0.31534109547839956,0.292013681,7.502480325,68.69596833467783,72.44294837248438,0.12467134073386836,-3.871651378540417,1.098461725457007,0.7857590867857911,0.7341239198118155,1.4034153331664978,1.8459876001525388,0.11078577700487671,-0.5538110783401151,-0.7594440979275228,-1.239234793429378,-0.12311363742186261,1.1745767436194274,1.4667657545207695,1.0015985147362825,0.037452169963581916,-0.5734156174117757,-0.9324506578951255,0.2977764488083775,-0.6556617820494579,-3.121826707076035,-0.5876095484880015,1.2234058419610911,1.26126551440227,1.7258161253442328,-0.12667394310954389,-1.2236106719895212,-0.5788648465396904,0.08122173404012328,-0.27664918655236126,-0.4393928766224242,-0.08754340826863755,0.009982844304612846,0.18949690007537745,0.1427662346295,0.04335111059654248,0.008568051585737013,0.011080477478531359,0.16907218570639101,0.14440194544339405,0.1414901657626276,0.03282408007110189,0.0017880053093238578,0.0214101743467833,0.14305037489095876,0.11702122187166226,0.15030008974699294,0.0006902087422339361,0.0013746464604615946,0.005070177544531499,0.007915470832319593,0.017080357218953634,0.0019887614757562928,0.11649973505256736,0.11297752514298463,0.11698870116348954,0.12788703029369144,0.0231508007396545,0.1648618057610906,0.14912771029468966,0.14432239361454666,0.1478581137514879,-0.015795991343253813,-0.007674148856662844,0.00022766822611878753,-0.0028559404345690404,0.0004023125236118809,-0.00011264762571878536,-0.01013756567290366,0.0020864846203506988,-0.000450463635831709,-0.0016552264917444103,-0.002456919468057293,-0.0003197823770679497,-0.01383876911586741,0.028204122344254113,27704701963663247e-21,0.000680650353045449,-0.00046342081041168685,-12524104110579191e-21,0.009369832471908347,0.005573830865735276,-0.00012804799718487157,0.012108789553689337,0.000688005569084045,0.00046790945261168443,0.002040882708868673,-0.003577164775072755,-0.0008012171978302851,0.0020320257134478037,0.006142314949360236,-0.01660435876097975,7683362990613924e-20,0.000123039582784668,0.017850377446777428,0.00019741223411860327,-40543672783673e-18,-0.01574514313422066,0.00014692320447270721,2942318718612142e-20,0.01923158583000826,0.00011319026300538775,0.00017530880783094,0.0030801992026903624,-15753413341316209e-22,-1750928142758992e-20,-0.0013258024892537426,-13578581939686339e-22,-14279468228258835e-21,0.0035805298077041803,-0.00029466981180243534,-7209109804059466e-20,-0.016841913047962582,-0.0005046286508836637,-0.0004004129778306607,-0.0008227374059614122,0.00020013927734272529,0.0005484958495313558,0.0014107549281772835
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,8,0.8593211287058794,0.314094501,7.670327752,273.72070967105327,278.2730495113528,0.13733980247842653,-4.689679642777954,-0.391753300183737,0.7482362257326932,0.9925796007697499,1.4031711475127362,2.3715466519026216,0.12491016789949322,-0.7993164101142873,-0.8589698119972958,-1.2350653010435977,-0.4107892206575876,3.1116449156946127,1.7914858824504298,0.562072439080969,0.4228094396990013,-0.6079952313168544,-1.112471081428679,-1.413448165773906,-1.1702547632266418,-2.336278825325505,-1.3948743847552612,1.9749795037078333,1.3675129736407374,1.0126448718941732,0.057522996226977485,-1.5809802082334325,-0.739711967356986,-0.6540621324380834,-0.3841910289004238,-0.49027889536208824,-0.4724116396196038,0.009365664312780722,0.1616944964483755,0.10191637789038198,0.12168100835087331,0.0534274573297287,0.031704672052545776,0.16111972968197644,0.12609688157893115,0.10013316187526422,0.007218371690221278,0.0002490328164030603,0.006221584789999288,0.1214701587190063,0.09715798136197096,0.13705695518564442,0.00014819718878492032,0.0006668898763438093,0.004308939777070128,0.0012052671116274413,0.00446543808956635,0.0003704995172125913,0.08924999592245186,0.09043812444905734,0.12372900822668263,0.11876274420881461,0.02069959487451247,0.16030608096641047,0.14124926692756515,0.13136187180215228,0.13137195450990838,-0.008456837162993726,0.0063712738385176566,0.0006768474457639077,0.03551787275585635,0.02650376086893039,-9398755540298973e-20,-0.000237704997974756,-0.004935826356104615,-9517364757693533e-20,-0.0008536061651943223,-0.00046874882041363753,-0.00014339513029884118,-0.010901631465820244,0.023484334075409435,-1881237529922749e-20,-7220728373725065e-20,0.0005757455047204245,-487720946282039e-20,0.0015089416123430879,0.001230677765143958,16213362443303053e-23,0.0030359994284536625,0.002529211305669558,0.00017170766890153684,0.003778889308543822,-0.009233510461011339,0.0011265705473951107,-0.004576488961397627,0.010298680936581778,-0.015607700594529641,0.001010979068324777,8969428127161226e-20,0.055180002681446016,0.00036036771136082,0.0008824139754127709,-0.012887413872925932,-20402376821173777e-21,-3544658828027602e-20,0.005668348469577627,31054529218754124e-21,-0.0001669856536447321,-0.003985800426095597,-367677865725203e-20,7279051031632426e-20,-0.0007362232474172441,-1005594918148067e-21,-1415632467704835e-20,0.0005453755216896703,24583758252226447e-21,6877345389743209e-20,-0.018023261643145924,-0.0005410597784278432,-5316919503524659e-20,-0.00308994732245097,0.0002953678877371732,0.0007717180830672386,-0.003102233809771302
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,9,1.0037488591958545,0.306324197,7.571931372,892.4042330848072,897.315215200618,0.10558388097156403,-5.016565996782292,-0.2108496760793174,0.29698631994732017,0.724837360250539,1.5793538050794296,2.0772073096593426,-0.18295229805449972,0.0518429747910123,-0.8589293616428081,-0.1304693306973267,-0.2511661885614416,1.898274971339074,2.5406127156550635,0.9641883738670958,0.6278138264991557,0.0406704334595166,-0.706438694829352,-1.3106146317525993,-1.494006008623561,-1.3133253984374522,-1.1146024110320973,-0.15317780785945104,1.5428932154385158,1.3607355865262374,-0.13008628335689582,-1.2107454990903994,-1.4062656209490103,-1.1255415416268886,-0.7177330711646333,0.5216533391422987,-0.5436926384809877,0.009834065129176487,0.14968647350944222,0.09581182920024103,0.13050865919793392,0.06815561326934878,0.035320751379421846,0.13427527241703657,0.11965967758075839,0.08890106723092239,0.004095644963639302,0.00018051289035425077,0.002243823040530369,0.12406474459386094,0.10197469616883667,0.11357515519923399,7781472726714622e-20,0.001931190438684853,0.0023253149106429354,0.003637478700720481,0.013029863644109694,0.0010842678626846046,0.06273851626356466,0.06571399564786348,0.10866289633870263,0.06533775411170113,0.015407036035943645,0.11255840285439761,0.12341734764539665,0.11540781210391367,0.11825317204297936,-0.002801755946236109,-0.0076158979881731015,0.0008501070615545989,0.056713484458056615,0.0370735183940962,-0.00019875054610893683,-2886222725556801e-20,-0.007115724578335672,-4718029029810038e-20,-0.0007915542284500568,-0.00045354408892487436,3287196458942668e-20,-0.005914008695531057,0.03656702821145966,-16717808946691706e-21,-995259509819175e-19,0.0006375762472701684,-2238741166593607e-21,0.0045573380116310895,0.003599393479809294,7678473441418824e-21,-0.007001130816008456,-0.003810324959997702,-9876120695615144e-21,-0.014510232330506646,-0.02432631292448843,0.0011695040099537462,-0.0028895322662997984,0.0062949355504297875,-0.018042020080640632,-0.0005751468775549798,0.0004867082759690717,0.0632015938556647,-0.0005197349029498161,0.00013034685632639818,-0.010546541677665493,0.00017170415927667178,16757669495997224e-21,0.002727529687414372,-24743498029660708e-21,-0.00013885180624772072,0.0121810052889244,-11948751189133468e-21,0.00014003092853046448,-0.0003967868006634256,2606965317958628e-20,-15974930091708553e-21,0.0016505714512579054,5886595993655573e-21,6769957005083899e-20,-0.023063496538411055,-0.0001203471332335808,-0.0003194742061140014,0.02142203589181021,-9361643405692169e-20,0.0009536138557100968,-0.0012224239539487735
Block PF,block,32000,400,3,,,,,,30,1,2018-08-29T12:56:56.804,10,0.7084419007269529,0.276264732,7.482302648,648.9897819547588,653.7081773391805,0.09306583319495089,-4.811461217616698,-1.0283889633427998,0.2180207954117358,0.7070036791542724,1.3020676372756141,0.6706312239090033,-0.15276043485380952,-0.931816566152919,-0.4958358544599138,0.1326261747104484,-0.019084256239849426,0.36377997580063814,2.5554846828727737,1.4820848475965693,0.6460501465552453,0.008205959580333481,-0.7167120249140244,-1.1706783343770033,-1.6418555936136303,-0.8579495234295818,-0.5156699182992693,-1.4146926036012735,0.7837097508973004,0.716287202522853,-0.1233815739243386,-1.5394738038510853,-1.6976818072959337,-0.6064094615564436,-0.8805914137465525,0.32288747546125096,-0.22405006171608127,0.00933579418128194,0.11640483532591737,0.08528368682329575,0.12543165564036662,0.13728644919204852,0.025012665252199664,0.12395076171087988,0.1081562601843975,0.08366636776905774,0.006344123162611606,0.00031761892231086346,0.0024681558151341313,0.12688852956756333,0.09585845350437215,0.10090846607177673,4438506123584961e-20,0.008141159105957887,0.0014045866928152624,0.09629449296806851,0.20116132367537967,0.022191650767972977,0.05385432033843371,0.06437148418572748,0.07076374774910367,0.02448846084643697,0.00444613776133124,0.03623236363367434,0.11067778303688876,0.10353055515103261,0.1076095963917872,0.007568828767976766,-0.038729111759516266,0.00017891430879456955,0.040603317757052906,0.04061490249737382,0.00011650928017589285,-0.010966141319608344,-0.0023497012271315467,0.00010673828768281478,-0.0013431362761201478,-0.0008446497943708013,37508328016016144e-21,0.0074585297562219845,0.029869521101051517,26582264978376064e-21,-0.00026794896389426584,0.0017337122709247244,-0.0001071964350472376,0.11914255917227361,0.06506864847307686,-0.00033382341745894574,-0.0035096030727130535,-0.011428271692296302,-20920404115185654e-21,-0.00862561307786791,-0.008828290453446979,0.0006631746415621312,-0.000631209804202717,0.003999720134505139,-0.015432037736993878,0.0005281606732386064,-7874422803093283e-20,0.04792293162692607,-0.00025410651733195064,-0.0002471597448054109,-0.0014040709599231354,-8531418381330855e-22,-21753526199168463e-21,0.003739091038970597,-1944186051107912e-20,-9686554149111677e-20,0.03645296935214872,-44885287490929463e-23,-0.00016753776993478134,-0.00022806759546058574,-0.0002975386662909902,-0.00010371752942657701,0.04322352425781453,-0.0009996048762016868,-0.0003689972392290619,-0.019326091446168803,36978195207113885e-21,588025693319723e-20,0.011740559261885624,-0.00023087449803516609,-0.00032286343226979987,48942217229455136e-22
