model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,36,1,1,,,,,0,,,,,0,none,,,,none,,,1.3649951944896852,0
observed,36,1,1,,,,,0,,,,,0,none,,,,none,,,-0.3858722532685642,0
ideal,36,1,1,500,112,450,0,0,,,,,0,none,,,2.198974675061765,none,,,0,3
particle,36,1,1,500,112,450,0,0,0.009966486633942716,0.01916872868122031,0.0032131098121270883,-0.012415351859404677,0,none,,,2.1928658779231447,none,,,-0.047837274148681476,2.881861406792091
franken,36,1,1,500,112,450,0,0,0.037347345337668425,0.0516019589580801,0.012457465294713678,-0.026712078915125354,0,none,,,2.1736110798361237,none,,4,0.07536605098565316,3.141293292567369
truth,36,1,2,,,,,0,,,,,0,none,,,,none,,,-0.5175492241215607,0
observed,36,1,2,,,,,0,2.6482580456645817,0,2.6482580456645817,0,0,none,,,,none,,,-0.4546479783244851,27
ideal,36,1,2,500,112,450,0,0,0.003641010032087236,-0.0036788064991102876,0.0011832501488632126,0.0061365663823343105,0,none,,,1.498789101928776,none,,,-0.2593025321392456,2.941301710936264
particle,36,1,2,500,112,450,0,0,0.907945994889488,-0.574806181498516,0.613359235227643,0.8693929411603608,0,none,0.100768602,,1.6347150049835846,none,,,1.7139954798141734,2.479248696638769
franken,36,1,2,500,112,450,0,0,1.150237629964488,-0.5564069312965123,0.833292260207751,0.8733523010532495,0,none,0.231342017,,1.1058256651980667,none,,4,-0.23064379503966084,1.8587252177204974
truth,36,1,3,,,,,0,,,,,0,none,,,,none,,,-0.1952387594037146,0
observed,36,1,3,,,,,0,2.3689100373841954,0,2.3689100373841954,0,0,none,,,,none,,,0.05942865679213849,27
ideal,36,1,3,500,112,450,1,0,0.003804253491097595,-0.004553686285333221,0.0007725280657313662,0.007585411710699448,0,none,,,1.59407048462657,none,,,-1.0083691404754902,2.8490169485476837
particle,36,1,3,500,112,450,1,0,2.4762832983608654,-0.5701466808586494,2.210657540410891,0.8357724388086233,0,none,0.003174341,,1.8509865506833196,none,,,0.08377939414320507,0.4481691054560902
franken,36,1,3,500,112,450,1,0,1.2545096560516733,-0.48496035643190155,1.0098075765954242,0.7296624358881504,0,none,0.002016057,,1.2912533627905296,none,,4,-0.47914325187985307,1.9436341359450973
truth,36,1,4,,,,,0,,,,,0,none,,,,none,,,-0.7447325722224478,0
observed,36,1,4,,,,,0,2.783129757090497,0,2.783129757090497,0,0,none,,,,none,,,0.5520032699977353,27
ideal,36,1,4,500,112,450,1,0,0.003259912125618715,-0.009071404821224668,0.000857801039423155,0.011473515907420228,0,none,,,1.3372771594120585,none,,,-0.22186267781448998,2.835377031318763
particle,36,1,4,500,112,450,1,0,1.2949711070130905,-0.47787372672834066,1.0678979510944946,0.7049468826469368,0,none,0.007540418,,1.467186263848207,none,,,-0.20088610920846434,0.5661149202424983
franken,36,1,4,500,112,450,1,0,1.0505652997730468,-0.4973845750324861,0.8222051251188119,0.7257447496867212,0,none,0.00617278,,1.165342857506242,none,,4,-0.12887263271368077,1.585989174962707
truth,36,1,5,,,,,0,,,,,0,none,,,,none,,,1.7835880673701165,0
observed,36,1,5,,,,,0,2.2941257451753487,0,2.2941257451753487,0,0,none,,,,none,,,2.7305022473231695,27
ideal,36,1,5,500,112,450,1,0,0.004436948961992295,0.01358518826706843,0.0012129440464073687,-0.010361183351483503,0,none,,,1.3985023004934019,none,,,1.4294903948772408,2.8347084134277782
particle,36,1,5,500,112,450,1,0,2.311953666985295,-0.42593527755912947,2.1224651108175876,0.6154238337268367,0,none,0.005458716,,1.9623127573364172,none,,,0.1642176099993974,0.1851485459282927
franken,36,1,5,500,112,450,1,0,2.0681921367949334,-0.5024055689489572,1.8255642709742965,0.7450334347695936,0,none,0.002230453,,1.35632220232707,none,,4,1.379028411513347,1.3466594660311557
truth,36,1,6,,,,,0,,,,,0,none,,,,none,,,1.6668741987951243,0
observed,36,1,6,,,,,0,4.927648469629829,0,4.927648469629829,0,0,none,,,,none,,,0.42112415020223243,27
ideal,36,1,6,500,112,450,1,0,0.00401842667557075,0.012842964572429486,0.0006523522490723766,-0.009476890145931111,0,none,,,1.5208885703928061,none,,,2.2918182708111328,2.8346384285282804
particle,36,1,6,500,112,450,1,0,1.6892444848709147,-0.3934806423092512,1.5101855606865022,0.5725395664936642,0,none,0.003245184,,1.7307203127659816,none,,,1.4162464751950958,0.6334754892181932
franken,36,1,6,500,112,450,1,0,1.264115237784213,-0.473143255667702,1.019508158900382,0.7177503345515331,0,none,0.00300431,,1.5323654650768748,none,,4,1.0106283948022943,2.765477929225362
truth,36,1,7,,,,,0,,,,,0,none,,,,none,,,2.4614411643130722,0
observed,36,1,7,,,,,0,5.062988393838817,29605947323337506e-32,5.062988393838817,0,0,none,,,,none,,,0.06556573794679177,27
ideal,36,1,7,500,112,450,1,0,0.004815455615135417,0.007388702182031766,0.0011234121685671113,-0.003696658735463463,0,none,,,1.4570547507057718,none,,,1.6021833143388067,2.834634024917752
particle,36,1,7,500,112,450,1,0,1.6365077315003582,-0.5043780928281375,1.3967915559627435,0.7440942683657523,0,none,0.0051026,,1.7103508680842199,none,,,-0.7420963819697487,2.2007934847356143
franken,36,1,7,500,112,450,1,0,1.3197469779304354,-0.483594321599016,1.09782488220684,0.7055164173226115,0,none,0.004450239,,1.2575286366256129,none,,4,1.0036188264978816,1.6897911547974291
truth,36,1,8,,,,,0,,,,,0,none,,,,none,,,1.6699651913470581,0
observed,36,1,8,,,,,0,4.842046288868822,-29605947323337506e-32,4.842046288868822,0,0,none,,,,none,,,0.31633430131744067,27
ideal,36,1,8,500,112,450,1,0,0.0035093461645584107,-0.017783387662016314,0.0008579800849475853,0.020434753741627138,0,none,,,2.0597071184649316,none,,,0.5430127904340989,2.8346337811835722
particle,36,1,8,500,112,450,1,0,2.0414793857975337,-0.45040796051119897,1.8271931910692214,0.6646941552395111,0,none,0.003456019,,1.7452979250543967,none,,,1.5460853067065456,1.2017880780137034
franken,36,1,8,500,112,450,1,0,1.8397071196029486,-0.5026752427352527,1.591011401619616,0.7513709607185856,0,none,0.001775902,,2.0042301762922006,none,,4,0.7175856965207198,1.5454895063679035
truth,36,1,9,,,,,0,,,,,0,none,,,,none,,,0.4144171424986589,0
observed,36,1,9,,,,,0,4.716721853015589,0,4.716721853015589,0,0,none,,,,none,,,-1.2802962733855543,27
ideal,36,1,9,500,112,450,1,0,0.005179361318491771,0.016105309964950982,0.0006500979536226613,-0.011576046600081874,0,none,,,1.704195036927206,none,,,0.08936688825391592,2.8346337528304493
particle,36,1,9,500,112,450,1,0,1.5827896711581921,-0.41050677123414864,1.376413522077768,0.6168829203145724,0,none,0.008356499,,1.7554557436744378,none,,,-0.1884185206612801,0.791447078401425
franken,36,1,9,500,112,450,1,0,1.301531553454866,-0.4751773766209853,1.095950574903803,0.6807583551720479,0,none,0.004054106,,1.4099935320110932,none,,4,-0.2489144081299699,1.5945089067195166
truth,36,1,10,,,,,0,,,,,0,none,,,,none,,,1.18411954846154,0
observed,36,1,10,,,,,0,2.838345970852734,0,2.838345970852734,0,0,none,,,,none,,,0.5052178074919071,27
ideal,36,1,10,500,112,450,1,0,0.0035749698550530938,0.0047327030602217586,0.0009641968136060671,-0.002121930018774732,0,none,,,1.3936649424218093,none,,,1.4766074180634106,2.834633752073945
particle,36,1,10,500,112,450,1,0,1.5114910833943511,-0.5173705589835076,1.2616221386000228,0.7672395037778356,0,none,0.005657535,,1.8304774657865233,none,,,2.194704844107963,5.5677928660928435
franken,36,1,10,500,112,450,1,0,1.157075712547244,-0.4895484711587354,0.919436531354549,0.7271876523514301,0,none,0.00500336,,1.2466939610602603,none,,4,1.2459883028540881,1.5209631050948476
truth,36,1,11,,,,,0,,,,,0,none,,,,none,,,3.5838891889910514,0
observed,36,1,11,,,,,0,5.204624634007103,-29605947323337506e-32,5.204624634007103,0,0,none,,,,none,,,-2.238897784283132,27
ideal,36,1,11,500,112,450,1,0,0.003709811433025782,0.006272788880332465,0.0006387083549123163,-0.0032016858022190036,0,none,,,1.6772735147683702,none,,,-0.4821478134502105,2.8346337518696254
particle,36,1,11,500,112,450,1,0,1.8389705415874706,-0.5055243737787999,1.619703278131572,0.7247916372346986,0,none,0.004055275,,2.3470850694217478,none,,,-0.8658883513745768,0.7570376435809459
franken,36,1,11,500,112,450,1,0,1.957672924029664,-0.49187727883605104,1.7144640995239022,0.7350861033418131,0,none,0.003130481,,1.614103194663647,none,,4,0.1428117494702268,0.9000866905978113
truth,36,1,12,,,,,0,,,,,0,none,,,,none,,,6.0430293013727425,0
observed,36,1,12,,,,,0,5.841849308488848,0,5.841849308488848,0,0,none,,,,none,,,6.141530744196169,27
ideal,36,1,12,500,112,450,1,0,0.005285666652983853,0.018267386382690282,0.0024361522346128153,-0.015417871964319247,0,none,,,1.833540164823814,none,,,4.445475609231178,2.8346337518645424
particle,36,1,12,500,112,450,1,0,2.5194535431334413,-0.5196134287243784,2.260265848253233,0.778801123604587,0,none,0.016264229,,1.9185260321866133,none,,,2.0073342665204676,0.3659894337363128
franken,36,1,12,500,112,450,1,0,1.7471269287207465,-0.4986572538889164,1.510981708972137,0.7348024736375263,0,none,0.002908727,,1.5645492658050435,none,,4,3.6566142117851816,1.8580602976285676
truth,36,1,13,,,,,0,,,,,0,none,,,,none,,,5.005580203646984,0
observed,36,1,13,,,,,0,5.204345669827704,-29605947323337506e-32,5.204345669827704,0,0,none,,,,none,,,2.105715190106195,27
ideal,36,1,13,500,112,450,1,0,0.004162781885149721,0.014179048626562515,0.0004943388795347887,-0.010510605620947583,0,none,,,1.84406114831916,none,,,3.22016978590225,2.834633751862836
particle,36,1,13,500,112,450,1,0,1.7124336795796051,-0.4549183892116948,1.5103498643478177,0.6570022044434823,0,none,0.007758881,,1.960922517793813,none,,,1.9429589789779185,0.2492546024468888
franken,36,1,13,500,112,450,1,0,1.662502682094149,-0.525729342937597,1.412087431443252,0.776144593588494,0,none,0.003756973,,1.6190170752658017,none,,4,2.129973047294778,1.5203813323652795
truth,36,1,14,,,,,0,,,,,0,none,,,,none,,,6.734262173928487,0
observed,36,1,14,,,,,0,3.0511694020908338,29605947323337506e-32,3.0511694020908333,0,0,none,,,,none,,,5.715991475741353,27
ideal,36,1,14,500,112,450,1,0,0.004479097172419917,-0.004065798186517422,0.0009074162495592763,0.007637479109378061,0,none,,,1.4989984195032304,none,,,5.493476910068614,2.8346337518627616
particle,36,1,14,500,112,450,1,0,2.6046059376935977,-0.45090545964694434,2.3860982319502932,0.6694131653902486,0,none,0.003988316,,1.897432372759168,none,,,4.420705375772656,0.0034756950743243167
franken,36,1,14,500,112,450,1,0,2.3159085449221046,-0.5179936773092337,2.0699371570029457,0.7639650652283928,0,none,0.003279937,,1.3130854477062384,none,,4,4.5045065565873665,1.3757219649799262
truth,36,1,15,,,,,0,,,,,0,none,,,,none,,,4.107507452881598,0
observed,36,1,15,,,,,0,5.042894603754322,0,5.0428946037543225,0,0,none,,,,none,,,1.1235620849758443,27
ideal,36,1,15,500,112,450,1,0,0.004927298444602683,-0.004458823260524621,0.001413426079209047,0.007972695625918258,0,none,,,1.3597507801464332,none,,,2.2723737095978507,2.834633751862746
particle,36,1,15,500,112,450,1,0,1.180713396491611,-0.3194951097594036,1.0270657975696962,0.4731427086813181,0,none,0.014558728,,1.395457907769557,none,,,2.9499635412858636,0.7969327297961247
franken,36,1,15,500,112,450,1,0,1.2958959612777339,-0.46696705916821674,1.0462327537596596,0.7166302666862912,0,none,0.011088304,,1.2789897249735167,none,,4,1.0774855589556167,2.022673439101677
finkel,36,1,2,500,112,450,30,95370,0.04795105671916856,-0.012948159651524275,0.030594601563639818,0.030304614807053012,6,bkf.SampleLog,24.919072766,,1.4357525759912604,bkf.MhCompromise,1.0,,-0.21753333814251563,2.9530353642012006
finkel,36,1,3,500,112,450,30,92914,0.07106010049963735,-0.029829970763198543,0.04946486844909107,0.05142520281374482,6,bkf.SampleLog,24.982120815,,1.6012249668965894,bkf.MhCompromise,1.0,,-0.9737418833537492,2.3576482971464703
finkel,36,1,4,500,112,450,30,93309,0.051697807902917114,0.022259772141008587,0.029166549086066917,0.00027148667584160857,6,bkf.SampleLog,25.9675255,,1.3756268271163927,bkf.MhCompromise,1.0,,-0.2681536720094071,2.1747286590610475
finkel,36,1,5,500,112,450,30,98246,0.107511127312652,-0.023833001988081248,0.08766299102752845,0.04368113827320481,6,bkf.SampleLog,25.397931842,,1.4769698924080774,bkf.MhCompromise,1.0,,1.52047369955318,2.5098194856663163
finkel,36,1,6,500,112,450,30,91711,0.07890021130855086,0.0451170105299333,0.055939188106935135,-0.022155987328317573,6,bkf.SampleLog,24.936829957,,1.6080615423245093,bkf.MhCompromise,1.0,,2.299100420439182,2.2165000232440133
finkel,36,1,7,500,112,450,30,93635,0.06975844193568181,-0.030317468127851466,0.04799978337163971,0.052076126691893564,6,bkf.SampleLog,25.321006614,,1.5273970126274186,bkf.MhCompromise,1.0,,1.6363123765192173,2.377978149689087
finkel,36,1,8,500,112,450,30,102507,0.0997321625859096,-0.013207934511672162,0.0681968297738549,0.044743267323726854,6,bkf.SampleLog,27.24717197,,2.248146382338544,bkf.MhCompromise,1.0,,0.7270945471905131,2.1702258934160903
finkel,36,1,9,500,112,450,30,88614,0.09202329934150254,0.044974029498047186,0.0498871328645839,-0.0028378630211285485,6,bkf.SampleLog,28.179957989,,1.7675349578085653,bkf.MhCompromise,1.0,,0.10324488937031427,2.4837367302685065
finkel,36,1,10,500,112,450,30,90085,0.058293739243656224,-0.021453047706998057,0.04001196889731704,0.039734818053337236,6,bkf.SampleLog,27.710948295,,1.5139021747316592,bkf.MhCompromise,1.0,,1.5001433980640002,2.3789495251617323
finkel,36,1,11,500,112,450,30,94020,0.09941690075739855,0.013463537772976394,0.0739202204616904,0.012033142522731752,6,bkf.SampleLog,27.433948556,,1.8064614933311225,bkf.MhCompromise,1.0,,-0.7239866609273273,2.5472768603839424
finkel,36,1,12,500,112,450,30,90394,0.10190916572292534,-0.015611506405932007,0.08061814804849848,0.03690252408035885,6,bkf.SampleLog,27.264562441,,1.822273403489759,bkf.MhCompromise,1.0,,3.7294691346308677,2.3891632845665525
finkel,36,1,13,500,112,450,30,97563,0.0763367106724591,-0.043174097196029014,0.05017377158967678,0.06933703627881135,6,bkf.SampleLog,25.915428102,,1.9054898799619864,bkf.MhCompromise,1.0,,3.0214830528293155,2.5564255309816795
finkel,36,1,14,500,112,450,30,96394,0.12965645873586504,-0.032881835517349335,0.09403758362782595,0.06850071062538841,6,bkf.SampleLog,25.531420073,,1.5790166538005503,bkf.MhCompromise,1.0,,4.774715468022392,2.4763016347942033
finkel,36,1,15,500,112,450,30,93264,0.05737463123076333,-0.011564935297557125,0.03651104644630402,0.03242852008201644,6,bkf.SampleLog,25.800804002,,1.4407760004342958,bkf.MhCompromise,1.0,,2.129471994481875,2.4070995399083692
finkel,36,1,2,500,112,450,60,313615,0.05788079719674974,-0.01385656732455707,0.03144196520128805,0.040295399320018764,6,bkf.SampleLog,29.723305508,,1.4669678246914828,bkf.MhCompromise,1.0,,-0.272737825743762,2.7209970992188683
