model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,40,1,1,,,,,0,,,,,0,none,,,,none,,,-0.44695539330949013,0
observed,40,1,1,,,,,0,,,,,0,none,,,,none,,,-6.037391800336298,0
ideal,40,1,1,100,5000,20000,0,0,,,,,0,none,,,1.9355697894093893,none,,,0,3
particle,40,1,1,100,5000,20000,0,0,0.00018423839392684905,0.0010964644385769579,6292596265307496e-20,-0.0009751520073031834,0,none,,,1.922393357570607,none,,,0.005417789191404002,2.99383572464293
franken,40,1,1,100,5000,20000,0,0,0.0008039375676622134,-0.003443622934699228,0.0002536229305752764,0.003993937571786166,0,none,,,1.9251534976678266,none,,4,0.0006597451812820031,2.9928546827939533
truth,40,1,2,,,,,0,,,,,0,none,,,,none,,,-0.590995122380438,0
observed,40,1,2,,,,,0,0.7327889779130936,0,0.7327889779130936,0,0,none,,,,none,,,-0.38855561419046536,27
ideal,40,1,2,100,5000,20000,0,0,0.0037799093224876084,0.01357706726386207,0.0010346981935936224,-0.010831856134968084,0,none,,,1.377617153675147,none,,,-0.15030127581427127,2.989318466860442
particle,40,1,2,100,5000,20000,0,0,1.5940028135163649,-0.5853883063454782,1.3131734536391908,0.8662176662226521,0,none,0.67802545,,1.4451259623973793,none,,,0.16291871591041102,1.667908936188535
franken,40,1,2,100,5000,20000,0,0,1.5698715203038698,-0.5821538127263675,1.2908312388534824,0.8611940941767547,0,none,0.565108317,,1.159780726622188,none,,4,-0.18962074088238356,1.8531076561075368
truth,40,1,3,,,,,0,,,,,0,none,,,,none,,,-1.3221576670900759,0
observed,40,1,3,,,,,0,0.8962825351358845,0,0.8962825351358845,0,0,none,,,,none,,,-2.4817181529285057,27
ideal,40,1,3,100,5000,20000,1,0,0.003168340075495021,0.010786252123494142,0.001049031928258147,-0.008666943976257268,0,none,,,1.3763736253627936,none,,,-2.1636370930043607,3.1166868507782306
particle,40,1,3,100,5000,20000,1,0,2.1029733079372304,-0.46667831390803366,1.8271521988338,0.7424994230114641,0,none,0.64845954,,1.4817735083536057,none,,,-1.370957596205317,1.1967951760809714
franken,40,1,3,100,5000,20000,1,0,1.5195439792367909,-0.48899329876019515,1.2718989199092918,0.736638358087694,0,none,0.302352139,,1.1704688890712498,none,,4,-1.4458372432709763,1.7608558091366224
truth,40,1,4,,,,,0,,,,,0,none,,,,none,,,2.1260460243575787,0
observed,40,1,4,,,,,0,0.6231196213918683,0,0.6231196213918683,0,0,none,,,,none,,,-0.1572820904932104,27
ideal,40,1,4,100,5000,20000,1,0,0.004175696336563491,0.019312364280767755,0.0009808861361998275,-0.01611755408040409,0,none,,,1.5494552388078005,none,,,-1.061263736130334,3.154264455727636
particle,40,1,4,100,5000,20000,1,0,1.3358822699034567,-0.4874660190235388,1.053850338779976,0.7694979501470197,0,none,0.666378641,,1.3603031945002766,none,,,-1.4964202180067419,0.20186448193098808
franken,40,1,4,100,5000,20000,1,0,1.0042436176862468,-0.4660692574644326,0.760040982978112,0.7102718921725675,0,none,0.326319263,,1.4200502890092281,none,,4,-0.6318630394897625,1.7680086258305556
truth,40,1,5,,,,,0,,,,,0,none,,,,none,,,1.350935925406688,0
observed,40,1,5,,,,,0,1.4985239489718232,-4163336342344337e-32,1.4985239489718232,0,0,none,,,,none,,,1.5434481617897677,27
ideal,40,1,5,100,5000,20000,1,0,0.0035157677384904966,-0.0002570565022138177,0.000779808244744329,0.002993015995959984,0,none,,,1.3574739270157665,none,,,0.742200649579863,3.164004606363714
particle,40,1,5,100,5000,20000,1,0,1.7858543511403078,-0.3457738137309583,1.5889003376938378,0.5427278271774281,0,none,0.401815046,,1.4078953632613578,none,,,0.3274269589466075,0.49378249454487816
franken,40,1,5,100,5000,20000,1,0,1.5978324038152885,-0.4701620186654383,1.3451777558733848,0.7228166666073418,0,none,0.316658415,,1.1367867438044175,none,,4,0.6645042659073517,1.7257010241416928
truth,40,1,6,,,,,0,,,,,0,none,,,,none,,,1.6760175644988318,0
observed,40,1,6,,,,,0,0.8182663953871494,-13877787807814457e-33,0.8182663953871494,0,0,none,,,,none,,,-0.4311427572419857,27
ideal,40,1,6,100,5000,20000,1,0,0.003861277792656975,0.010114640570133865,0.000967301884256852,-0.007220664661733742,0,none,,,1.5930785006806465,none,,,-0.10789550124582331,3.1664862025845855
particle,40,1,6,100,5000,20000,1,0,1.6453274363673913,-0.451333133362478,1.3898379068713345,0.7068226628585349,0,none,0.438518164,,1.5874112556725877,none,,,0.6329035404942654,0.9577479252673129
franken,40,1,6,100,5000,20000,1,0,1.4853818052878396,-0.4709501532843182,1.236228905171162,0.720103053400996,0,none,0.370675834,,1.3746009644947599,none,,4,-0.07358088941726033,1.7893091559784888
truth,40,1,7,,,,,0,,,,,0,none,,,,none,,,-0.21285881347233482,0
observed,40,1,7,,,,,0,1.679842079942148,0,1.679842079942148,0,0,none,,,,none,,,-1.3025260061998127,27
ideal,40,1,7,100,5000,20000,1,0,0.0047163419648516515,0.006723435076907841,0.0011382156648684185,-0.003145308776924609,0,none,,,1.3576755406621783,none,,,-0.3250561953490571,3.1671182555670145
particle,40,1,7,100,5000,20000,1,0,2.1809355322362443,-0.3747081553784716,1.9693320370650924,0.5863116505496236,0,none,0.451167536,,1.7130533600359428,none,,,0.046461298732511515,0.5083066201331286
franken,40,1,7,100,5000,20000,1,0,1.668659909521541,-0.4648138138139497,1.423963940820556,0.7095097825149347,0,none,0.378510141,,1.1499600581617209,none,,4,-0.2722673887554967,1.6529049578207324
truth,40,1,8,,,,,0,,,,,0,none,,,,none,,,-0.3659969490642577,0
observed,40,1,8,,,,,0,1.4151080816085388,-13877787807814457e-33,1.4151080816085388,0,0,none,,,,none,,,0.7833536811984934,27
ideal,40,1,8,100,5000,20000,1,0,0.0034811129375164644,0.014307641356477704,0.0007761603192280789,-0.01160268873818932,0,none,,,1.6010208188246047,none,,,-1.1081104493663432,3.1672795478165936
particle,40,1,8,100,5000,20000,1,0,2.0245555712804824,-0.4526165043152775,1.7619795361357484,0.7151925394600114,0,none,0.529404335,,1.6044463754554177,none,,,-1.058719818787218,0.00854439421804922
franken,40,1,8,100,5000,20000,1,0,1.237021924108934,-0.4683417327641137,0.9866254982426083,0.7187381586304392,0,none,0.421400051,,1.377599264121984,none,,4,-0.9651048411720619,1.7440868582308038
truth,40,1,9,,,,,0,,,,,0,none,,,,none,,,1.1599283496877477,0
