model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvlmean,mvlvar
truth,48,1,1,,,,,0,,,,,0,none,,,,none,,,0.8617303974195202,0
observed,48,1,1,,,,,0,,,,,0,none,,,,none,,,-0.894241315095602,0
ideal,48,1,1,80,3200,12800,0,0,,,,,0,none,,,2.0296249401046667,none,,,0,3
particle,48,1,1,80,3200,12800,0,0,0.00040096044154931443,-0.0020797965370489835,0.00016409546665571012,0.002316661511942588,0,none,,,2.038099891397356,none,,,0.010567319537704374,3.0597410514934
franken,48,1,1,80,3200,12800,0,0,0.001441018463773304,-0.006611814018003939,0.000531212551503695,0.0075216199302735485,0,none,,,2.0536582405254142,none,,4,0.03964223314911877,3.0329539716683573
truth,48,1,2,,,,,0,,,,,0,none,,,,none,,,-2.048659725893967,0
observed,48,1,2,,,,,0,0.7621496184190532,0,0.7621496184190532,0,0,none,,,,none,,,-3.895780715832053,27
ideal,48,1,2,80,3200,12800,0,0,0.004203345992819377,-0.004078841998759464,0.0008927615069837152,0.0073894264845951255,0,none,,,1.2489235713364606,none,,,-1.8301544552536824,2.989318466860442
particle,48,1,2,80,3200,12800,0,0,1.590243465667763,-0.5868873862993464,1.3073393870241232,0.8697914649429866,0,none,0.401112841,,1.0232194847473244,none,,,0.4387270458948945,0.015582313143683527
franken,48,1,2,80,3200,12800,0,0,1.560795376211706,-0.5828023415028714,1.282425117682592,0.8611726000319847,0,none,0.363146386,,0.9858510237934462,none,,4,-1.417661739102723,1.830596605511825
truth,48,1,3,,,,,0,,,,,0,none,,,,none,,,-1.7973889315797908,0
observed,48,1,3,,,,,0,0.8482361788413912,0,0.8482361788413912,0,0,none,,,,none,,,-1.6251121607729782,27
ideal,48,1,3,80,3200,12800,1,0,0.003884944424731566,0.011466876571980963,0.0010191234919302008,-0.008601055639179598,0,none,,,1.3250725932458653,none,,,-2.6070545862304004,3.1166868507782306
particle,48,1,3,80,3200,12800,1,0,1.0013656009246137,-0.32089603023056124,0.8177394501821386,0.5045221809730364,0,none,0.253857319,,1.1587799497869156,none,,,-1.4196287650690638,0.33029402091012133
franken,48,1,3,80,3200,12800,1,0,0.8814408844707333,-0.483209295399413,0.6343094448139499,0.7303407350561965,0,none,0.137680978,,1.0945656476451078,none,,4,-1.85055986532134,1.7298125107075548
truth,48,1,4,,,,,0,,,,,0,none,,,,none,,,-2.418613524688063,0
observed,48,1,4,,,,,0,0.9910599073497086,0,0.9910599073497086,0,0,none,,,,none,,,1.9623414769976062,27
ideal,48,1,4,80,3200,12800,1,0,0.004124983149833901,0.011553607321105858,0.0008607583062117522,-0.00828938247748371,0,none,,,1.5628039050898068,none,,,-0.4502106506315329,3.154264455727636
particle,48,1,4,80,3200,12800,1,0,1.3724173970321023,-0.3602292630794144,1.1701864333298413,0.5624602267816755,0,none,0.374048874,,1.3508866573005396,none,,,-0.8419762343344416,0.9008144795451896
franken,48,1,4,80,3200,12800,1,0,1.3200137554047249,-0.4702727660738541,1.074110392089929,0.7161761293886495,0,none,0.140232481,,1.2939380310962563,none,,4,-0.133120261626763,1.6717136849892438
truth,48,1,5,,,,,0,,,,,0,none,,,,none,,,-4.05246883753228,0
observed,48,1,5,,,,,0,0.977408869419726,-4163336342344337e-32,0.977408869419726,0,0,none,,,,none,,,-5.070737890140103,27
ideal,48,1,5,80,3200,12800,1,0,0.004237816651305604,0.009779795775985506,0.0016462591198158191,-0.007188238244495721,0,none,,,1.359588658949345,none,,,-2.844085615241166,3.164004606363714
particle,48,1,5,80,3200,12800,1,0,1.8460317452504327,-0.4472129150601498,1.6092356992436376,0.6840089610669445,0,none,0.269761428,,1.460427993450226,none,,,-2.2480308033789242,1.8141739804876935
franken,48,1,5,80,3200,12800,1,0,1.7386937967123528,-0.47772893277680517,1.4909977043431328,0.725425025146025,0,none,0.131571446,,1.1609260228486702,none,,4,-1.9177924502912158,1.6773658048378692
truth,48,1,6,,,,,0,,,,,0,none,,,,none,,,-6.120649631752979,0
observed,48,1,6,,,,,0,1.0856449878363674,-13877787807814457e-33,1.0856449878363674,0,0,none,,,,none,,,-4.778038883755703,27
ideal,48,1,6,80,3200,12800,1,0,0.004306893509631507,0.012612579273471397,0.0010850298737988592,-0.00939071563763875,0,none,,,1.4808368900989552,none,,,-4.4106775879887525,3.1664862025845855
particle,48,1,6,80,3200,12800,1,0,1.5826569823095793,-0.501759401159947,1.3126299165384667,0.7717864669310595,0,none,0.391906395,,1.6649276166044937,none,,,-5.853768662028203,1.6721365678957596
franken,48,1,6,80,3200,12800,1,0,1.4869901024461543,-0.4771494449442003,1.2395437504056812,0.724595796984673,0,none,0.16142009,,1.3946137452758542,none,,4,-3.088209297130639,1.7216145186452092
truth,48,1,7,,,,,0,,,,,0,none,,,,none,,,-2.2468341128020928,0
observed,48,1,7,,,,,0,0.8161725490504542,0,0.8161725490504542,0,0,none,,,,none,,,0.003842578798164853,27
ideal,48,1,7,80,3200,12800,1,0,0.005118740453037276,-0.0024568392733236716,0.001238146580591045,0.006337433145769905,0,none,,,1.4829386833292184,none,,,-1.8862562415027802,3.1671182555670145
particle,48,1,7,80,3200,12800,1,0,1.4594556460215586,-0.3605521642416144,1.2635230055106201,0.5564848047525529,0,none,0.447571882,,1.3069725429964392,none,,,-0.40942588601303864,1.0066087918134965
