model,mod,M,MEquiv,version,dimension,rep,startTime,step,checksum,putime,samptime,klerror,kl,covdiv,meandiv,entropydiv,d01,d02,d03,d04,d05,v0101,v0202,v0303,v0404,v0505,v0102,v0203,v0304,v0405,v0103,v0204,v0305,t01,t02,t03,t04,t05,o01,o02,o03,o04,o05
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,1,6.616162342577215,942.086722496,0,,430.70969176883375,435.74623967743145,0.11678291881441744,-5.153330827412096,0.10391879378256785,1.0414981283644575,0.2935434594093813,-0.8596241123512618,-0.6661259451278259,0.4024493336921623,0.37995408259660657,0.43298027784730325,0.46360416755833744,0.43201453949963114,0.12549559318187056,0.09208539604264525,0.13437815971327471,0.1583123647677503,-0.3441305441126063,-0.3501066770488356,-0.3301298266271137,7.787295622351558,7.633905101533699,8.145095649590111,8.32949582933239,7.837831871265216,7.816225880959951,8.291235383269152,7.88680610614951,7.489687046712144,6.4624026028635715
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,2,11.980020692367393,926.124983606,0,,173.43651940772654,176.98704252072122,0.6164948978714913,-4.16701801086616,0.266906844922433,-0.3956890868064169,-0.4005963031851989,-0.525633012771455,-0.16633479426701037,0.6438669173702918,0.8797433650899583,0.26311416537063664,0.38600983294708835,0.18066292205041884,0.22564874916308678,0.26551162104288895,0.3063462682371401,0.10352766296913297,-0.23523631503108772,0.21863375913909802,0.03189698261845392,9.234707997006193,0.022686504305164168,2.1954306609522045,6.925897195280873,13.194982056418826,9.264196872519124,-0.2745261617045544,1.9806256501293695,6.113216704091344,12.559818318799012
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,3,-7.000156113470828,923.509563003,0,,4.421568994146151,5.491078377259367,0.24581331052502967,-1.3153226936382456,-1.30600038009168,0.02636114041851334,0.8004703424264616,-0.6336526990480076,-0.12114317079909398,0.6339351088710073,0.9081483657010992,0.3880254611217424,0.7829191776373422,0.2640292103382882,0.14868685683558353,0.06399258838369482,-0.371817072785553,0.2470001804355819,-0.23577448220443872,-0.1196605773720076,-0.1971905224295219,7.948042200824905,1.0112228724368422,3.6370173834917128,4.644825976569376,-9.274384482405985,6.15229372800841,1.2052209928125546,4.307533445385931,3.900391098332497,-9.2481409978991
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,4,-1.5820980187199956,933.267294816,0,,7.055579360650633,9.013610993853062,0.2823455525678197,-2.240377185770249,0.20445937655070479,0.216836990719095,-0.2526271384509755,-0.22450745959557894,0.3822199817066976,0.36706291390558526,0.7136926028764272,0.26781713787875594,0.6002942447206491,0.24591058774021185,0.35456802931762826,0.0013515534777942455,-0.21062863371033624,-0.22486085988699606,-0.12472733116090916,-0.0045742259046210485,-0.0498682079713137,-3.147090816026644,9.371000430403125,4.641372837658515,-2.741022667986404,-1.7788637507980616,-2.426766703798622,9.818033383040335,4.940040365222342,-3.2616987864706384,-1.1029450543150725
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,5,0.6276196483433031,945.037981612,0,,13.721665078324424,15.282704539936365,0.9866144403719319,-2.547653901983871,-0.2316268986024248,0.5513461352910973,0.306461987845684,0.37600275729494936,0.8516247064519789,0.17837694529542308,0.747154450312865,0.42614509179902815,0.4420812931501647,0.4907945860750803,-0.18266287721483368,0.09221865861979699,-0.21095209459248687,0.2727521730604849,0.11955794745799077,0.0446049134718133,0.13550432280926425,6.639630580477483,1.3464862027815183,-6.335984290576778,-0.0766308948559333,0.28948692501391604,6.13646986836345,2.1081805174548007,-5.511693764588961,0.5315816192723481,0.701578004084525
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,6,4.975017044287713,925.379316592,0,,22.187262135107616,25.25853868080089,0.46604467898960256,-3.5373212246828776,-0.2336205685439312,-0.17319607092114886,-0.16632253368482353,0.05929810167900751,0.3100678598853652,0.5318480352847473,0.41448840843634827,0.1387552249245833,0.2394747175501098,0.1115897503289499,0.35154279393084287,0.07889420509824505,0.10461381548791318,0.07922997501855154,-0.03558382471425146,0.09580549613860266,-0.02432038688702438,4.863255144301432,-2.434651760745319,3.7228347298230715,2.8754244069634294,3.032600960424078,5.576345024253599,-2.7449359505504143,3.6486376457802656,2.7745240286960495,5.395723376939065
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,7,-1.7412628355039281,944.080126337,0,,195.46281104257451,201.1712199819043,0.05649297267005203,-5.764901911999842,-0.3310980174732623,-0.853404311746923,-1.0806659331861024,0.624105587483097,-0.16936934953029859,0.1677226207238732,0.23830092446728554,0.44788823208008843,0.1484854912971213,0.13608330501391458,0.14755028128629322,0.2980745078178629,-0.18324569521531775,0.05117293559435879,0.1206121943700466,-0.16945813971993026,-0.060283888673164095,1.781827108598352,2.346234783595926,6.157791801640258,6.759582222642081,-1.6050189055567277,1.8235272622128107,0.6813791923525971,5.116419534258753,6.764484607127434,-2.536155159555373
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,8,-0.10657186740169045,920.235471192,0,,32.6019060203551,36.48355150524855,0.056621162011892004,-3.938266646905338,-0.4392478907848727,0.10298405372931008,0.554482153555953,-0.1026727372844487,-0.014742587515420817,0.15477987864382226,0.09550988850880836,0.5266075987699801,0.2858343963769365,0.05492612679528167,-0.05610268096964517,0.07593886568026662,-0.1268350317388102,-0.10926709483376759,-0.16541419739002294,0.10932046108090455,0.004062831371891179,2.1920153583319713,8.04323187928325,-2.1469413224257354,-3.642616330697559,0.007588660076780487,1.8076215231738437,7.391581715556171,-2.298429592000584,-4.040423370690877,0.11050929374506259
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,9,6.222900611468798,928.93340009,0,,65.97830847041186,70.76753127015866,0.17602251483862005,-4.965245314585414,0.4152561833965267,0.9014852445679737,-0.05582596966463216,0.12513607902649948,-0.7618441069944382,0.12200975287006566,0.5531502440301356,0.21509575905357,0.09083957635466264,0.23025782777738157,0.21487048796968378,0.18465666956728397,0.12124126621169265,-0.02542024320953214,0.05273225973646099,0.1704457297200754,0.03018771600884635,3.320818840014881,1.2337970157518712,-1.4531996765482857,3.9717458728472,7.634854295822943,2.412384207982277,3.237351111433391,-2.153726378155591,2.6191336474153446,6.936525318470846
Bootstrap PF,boot,9765625,3125,1.5,5,1,2019-01-27T15:13:22.209,10,4.2913157204945955,931.187500861,0,,131.74224320754726,137.69195990256367,0.06495248033276453,-6.014669175349193,-0.4033737861485167,-0.3119223923489156,-0.3160224578096713,0.29811654339267335,-0.1348895645350825,0.11053582472625072,0.04466829256210714,0.2632949164284674,0.10018831716210432,0.5977919448095647,0.05699196003935326,0.0011423861227960717,0.05586690597698517,-0.17433035936705624,-0.011123641456595673,-0.05771608693285561,-0.3496174339839046,-2.6796803405767116,3.780340780836219,5.467920661592921,6.017501735759465,3.9233908086381084,-3.2622709599867097,3.684198920231152,5.6151143422145315,6.262988726499147,4.0121379586094035
