model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType
finkel,25,1,4,100,2000,10000,1,542,2.1539802783556357,1.6600301411344769,1.2001090260293725,-0.7061588888082134,2,sampled..uniform,0.250060628,,1.1922453930577435
finkel,25,1,5,100,2000,10000,1,650,3.253015956057512,2.497149573987592,1.6606905628375221,-0.904824180767602,2,sampled..uniform,0.246455852,,1.3117365063751434
finkel,25,1,6,100,2000,10000,1,755,6.539093738801095,2.8818110599734923,4.785570806265292,-1.1282881274376897,2,sampled..uniform,0.255307976,,1.6653207230808986
finkel,25,1,7,100,2000,10000,1,853,13.376491366937726,4.470846568596272,10.14299262423281,-1.2373478258913586,2,sampled..uniform,0.289059877,,1.6858313996060628
finkel,25,1,8,100,2000,10000,1,1137,51.1639093105441,38.940329955028915,13.935934728464026,-1.712355372948848,2,sampled..uniform,0.433570294,,4.141284352953714
finkel,25,1,9,100,2000,10000,1,1270,8720749823494789e12,8720749823494789e12,9.22436592759018,-9.934846843313949,2,sampled..uniform,0.300228628,,16.007539053780746
finkel,25,1,10,100,2000,10000,1,1204,49890797047580476e10,49890797047580476e10,6.081273277356351,-7.79751772654055,2,sampled..uniform,0.346543824,,72.4382487847534
finkel,25,1,2,100,2000,10000,1,277,0.5726453021160465,0.9014176704609531,0.1514055673126881,-0.4801779356575947,4,sampled..uniform,0.31323148,,1.1552328635813354
finkel,25,1,3,100,2000,10000,1,396,1.0428678047196138,1.5376538172995473,0.1937761123633329,-0.6885621249432663,4,sampled..uniform,0.287745227,,1.0787044593261408
finkel,25,1,4,100,2000,10000,1,533,2.1854981524437176,1.872962479275694,1.0851362090903844,-0.772600535922361,4,sampled..uniform,0.29658376,,1.134701273170494
finkel,25,1,5,100,2000,10000,1,570,3.407107162221976,3.0182760387101295,1.5071954550729807,-1.1183643315611334,4,sampled..uniform,0.257866443,,1.3917209626970415
finkel,25,1,6,100,2000,10000,1,741,7.57197405093803,2.718905783882175,5.903614927331925,-1.05054666027607,4,sampled..uniform,0.266440245,,1.7501654959601325
finkel,25,1,7,100,2000,10000,1,862,12.988830740315995,3.628080853890874,10.59840077955614,-1.237650893131019,4,sampled..uniform,0.325806875,,2.134955081264325
finkel,25,1,8,100,2000,10000,1,995,5828309164915646e12,5828309164915646e12,15.102837856294364,-5.490361858094358,4,sampled..uniform,0.410795284,,4.085342277558754
finkel,25,1,9,100,2000,10000,1,1326,4482833505568573e12,4482833505568573e12,20.994116722415495,-6.319951023675671,4,sampled..uniform,0.235968386,,15.338235711629975
finkel,25,1,10,100,2000,10000,1,1156,5255232243291232e12,5255232243291232e12,6.283245088033453,-18.378381181130262,4,sampled..uniform,0.220520038,,68.48628758855443
finkel,25,1,2,100,2000,10000,1,309,0.558918589227202,0.6133249483168949,0.1849014502048597,-0.2393078092945526,6,sampled..uniform,0.256522774,,1.2413644298503812
finkel,25,1,3,100,2000,10000,1,382,1.1504205921911508,1.5838465740098742,0.16749274267529576,-0.6009187244940191,6,sampled..uniform,0.269764073,,1.1246911383938631
finkel,25,1,4,100,2000,10000,1,524,2.3664082922367617,1.878097359016639,1.2834971456974387,-0.7951862124773156,6,sampled..uniform,0.268762288,,1.1724414713716589
finkel,25,1,5,100,2000,10000,1,612,3.2143149675942273,2.498258915963405,1.67666614701115,-0.9606100953803276,6,sampled..uniform,0.241540584,,1.431312922435165
finkel,25,1,6,100,2000,10000,1,732,7.483115871930991,3.84856983657138,4.764223580485146,-1.1296775451255332,6,sampled..uniform,0.307939862,,1.7667965196716287
finkel,25,1,7,100,2000,10000,1,888,14.253499791391754,3.274731462763499,12.148032877083999,-1.1692645484557436,6,sampled..uniform,0.413046242,,1.8080984718949804
finkel,25,1,8,100,2000,10000,1,987,5638580582693193e13,5638580582693193e13,13.414542856648978,-5.989027482270422,6,sampled..uniform,0.245828238,,3.9328152203198616
finkel,25,1,9,100,2000,10000,1,1382,200.7192602214748,194.21351884637946,9.250556240126192,-2.744814865030821,6,sampled..uniform,0.265514984,,17.4150907110134
finkel,25,1,10,100,2000,10000,1,1261,11466458607705144e11,11466458607705144e11,9.126380607250997,-11.188949630157465,6,sampled..uniform,0.256414128,,73.92321554647346
finkel,25,1,2,100,2000,10000,10,5282,0.4514361163123099,0.41592910967243424,0.20359891297017332,-0.16809190633029764,1,sampled..uniform,0.497527042,,1.1509642588665479
finkel,25,1,3,100,2000,10000,10,4863,0.8418886509531746,0.891179548833767,0.2496150531174182,-0.2989059509980106,1,sampled..uniform,0.434756737,,1.3227364166358728
finkel,25,1,4,100,2000,10000,10,5242,2.1060386406040252,1.4780057079351105,1.1494709257401163,-0.521437993071201,1,sampled..uniform,0.395554891,,1.2947080899971493
finkel,25,1,5,100,2000,10000,10,5337,3.1462442830406743,1.9038363699991185,1.9135065760558043,-0.6710986630142486,1,sampled..uniform,0.475402029,,1.4200668138418429
finkel,25,1,6,100,2000,10000,10,5143,6.7990419087173946,2.022926682953582,5.473859042107757,-0.6977438163439458,1,sampled..uniform,0.575302655,,1.6588218242705923
finkel,25,1,7,100,2000,10000,10,5602,12.655052782760416,4.148822305395155,9.536705772276221,-1.030475294910959,1,sampled..uniform,0.405445962,,1.884234226001383
finkel,25,1,8,100,2000,10000,10,9994,30.28278594344189,18.072939193931756,13.640986622381611,-1.4311398728714715,1,sampled..uniform,0.500724335,,4.2044377415538525
finkel,25,1,9,100,2000,10000,10,15082,1602084640451005e13,1602084640451005e13,9.902511338381636,-13.562285992023732,1,sampled..uniform,0.435343715,,17.135370730936312
finkel,25,1,10,100,2000,10000,10,13372,20014627876797804e11,20014627876797804e11,14.814769065961642,-11.469956335729437,1,sampled..uniform,0.336430757,,73.46116033926243
finkel,25,1,2,100,2000,10000,10,5121,0.49045843486366664,0.3799616730470741,0.23265341745066132,-0.12215665563406873,2,sampled..uniform,0.572352875,,1.1683743051743007
finkel,25,1,3,100,2000,10000,10,4975,0.9542592429610964,1.1389098611200092,0.26727755609306797,-0.4519281742519809,2,sampled..uniform,0.396388231,,1.1873400973462376
finkel,25,1,4,100,2000,10000,10,5151,2.1253614736213584,1.3342924498955258,1.2500978768719568,-0.45902885314612357,2,sampled..uniform,0.433648022,,1.2807159510628323
finkel,25,1,5,100,2000,10000,10,5141,3.2105146084957426,1.871643290196356,1.98834091614816,-0.649469597848773,2,sampled..uniform,0.450597242,,1.413189146509058
finkel,25,1,6,100,2000,10000,10,5424,5.764965487331988,3.092980471972103,3.5828884606344293,-0.9109034452745438,2,sampled..uniform,0.523782521,,1.8639484053007058
finkel,25,1,7,100,2000,10000,10,5523,13.371555480887041,3.28221174350073,11.09219969216947,-1.0028559547831581,2,sampled..uniform,0.440322313,,2.154366857466529
finkel,25,1,8,100,2000,10000,10,9416,59.91637643361249,47.79920131615041,13.676217491044666,-1.559042373582575,2,sampled..uniform,0.383726178,,5.585402544554298
finkel,25,1,9,100,2000,10000,10,14932,1463782369165248e12,1463782369165248e12,14.247260326833338,-6.0753832300455946,2,sampled..uniform,0.648476993,,19.614108917869416
finkel,25,1,10,100,2000,10000,10,12819,14016136080978978e10,14016136080978978e10,6.234955384427645,-11.529354279040868,2,sampled..uniform,0.620956582,,79.38724086333835
finkel,25,1,2,100,2000,10000,10,5041,0.49956663266461276,0.4403925583111848,0.18235237251233413,-0.12317829815890613,4,sampled..uniform,0.387178082,,1.1795943770423054
finkel,25,1,3,100,2000,10000,10,4963,1.0428684932051455,1.148892334132329,0.25371500624773297,-0.35973884717491633,4,sampled..uniform,0.461193892,,1.294675356879502
finkel,25,1,4,100,2000,10000,10,5047,2.1408142131719727,1.6510163992569118,1.0962940782731987,-0.6064962643581381,4,sampled..uniform,0.620242629,,1.2233138681030946
finkel,25,1,5,100,2000,10000,10,5291,3.0367219335520295,2.3207958104258877,1.3662376258597753,-0.6503115027336335,4,sampled..uniform,0.604928128,,1.4606895411600778
finkel,25,1,6,100,2000,10000,10,5163,5.867146499546654,2.5779659173969183,4.169546715331938,-0.8803661331822024,4,sampled..uniform,0.380642465,,1.9976624060531745
finkel,25,1,7,100,2000,10000,10,5541,12.75428596564701,4.11572177811116,9.696396531668087,-1.0578323441322348,4,sampled..uniform,0.391856261,,2.025956043252036
finkel,25,1,8,100,2000,10000,10,10041,45.69412793235074,34.01206000324864,13.205488182723208,-1.5234202536211212,4,sampled..uniform,0.402292072,,5.331170028877347
finkel,25,1,9,100,2000,10000,10,14936,4480235665884597e12,4480235665884597e12,13.681760183585144,-6.310736135801081,4,sampled..uniform,0.398063953,,18.437764028077446
finkel,25,1,10,100,2000,10000,10,13888,-34872237376670565e26,-34872237376670565e26,7.417121278364095,-10.955843692572918,4,sampled..uniform,0.338087598,,75.39845680503399
finkel,25,1,2,100,2000,10000,10,5051,0.6097137070110376,0.5701685808472166,0.20739452035314082,-0.16784939418931993,6,sampled..uniform,0.439966432,,1.2252691987799635
finkel,25,1,3,100,2000,10000,10,5051,0.8143611399721732,0.9779440645846795,0.226614595577871,-0.39019752019037746,6,sampled..uniform,0.438328276,,1.279836868086444
finkel,25,1,4,100,2000,10000,10,5209,2.3204909601998778,1.9152336730170765,1.0635831168077126,-0.6583258296249113,6,sampled..uniform,0.595573016,,1.2298842351028363
finkel,25,1,5,100,2000,10000,10,4951,2.925793612150323,1.9927144179841099,1.6704754195092975,-0.7373962253430852,6,sampled..uniform,0.419900118,,1.4022811882540551
finkel,25,1,6,100,2000,10000,10,5190,6.653661974736725,2.686057168951657,4.844464806218531,-0.8768600004334628,6,sampled..uniform,0.537913246,,2.098796249682445
finkel,25,1,7,100,2000,10000,10,5380,13.338874843105758,3.7063082025602068,10.746256456255217,-1.1136898157096635,6,sampled..uniform,0.462192251,,2.0215328295259343
finkel,25,1,8,100,2000,10000,10,8530,11478294801438318e12,11478294801438318e12,18.977775453960714,-9.158696845948459,6,sampled..uniform,0.371151997,,3.856592757191339
finkel,25,1,9,100,2000,10000,10,14595,28934455588733696e11,28934455588733696e11,11.381677931542844,-10.170710685976214,6,sampled..uniform,0.38195917,,14.72275112728012
finkel,25,1,10,100,2000,10000,10,13748,14837937042259023e11,14837937042259023e11,37.19917490627162,-14.980153322609947,6,sampled..uniform,0.359788539,,67.87994954750705
finkel,25,1,2,100,2000,10000,50,8682,0.5206225136798607,0.4863963671088226,0.1498433683614515,-0.11561722179041355,1,sampled..uniform,1.044799036,,1.3159096450883283
finkel,25,1,3,100,2000,10000,50,7081,0.8375653197243518,0.6675127387191448,0.345727295246611,-0.17567471424140418,1,sampled..uniform,0.888362231,,1.5826041778667226
finkel,25,1,4,100,2000,10000,50,6134,1.9225277618730172,1.1760467242860602,1.1077625854122075,-0.36128154782525024,1,sampled..uniform,0.96130432,,1.3848219222284643
finkel,25,1,5,100,2000,10000,50,6023,2.7685328723403626,1.6134036707308403,1.6418849275244731,-0.4867557259149504,1,sampled..uniform,0.862028884,,1.485186815759924
finkel,25,1,6,100,2000,10000,50,5901,7.1650743424431225,1.6552121127081252,6.105118779513158,-0.5952565497781601,1,sampled..uniform,0.934353623,,2.0024384638191064
finkel,25,1,7,100,2000,10000,50,6276,13.41018553476869,4.0137142900058755,10.428550270672742,-1.0320790259099222,1,sampled..uniform,0.828989934,,2.045079559058369
finkel,25,1,8,100,2000,10000,50,17965,28558714908086673e13,28558714908086673e13,13.381758652117604,-5.574097987816701,1,sampled..uniform,0.828810052,,5.12725775331082
finkel,25,1,9,100,2000,10000,50,62509,11386585019256409e11,11386585019256409e11,9.35790849921941,-9.864611742713222,1,sampled..uniform,0.811241047,,17.42201980676118
finkel,25,1,10,100,2000,10000,50,64870,12178152386813381e11,12178152386813381e11,7.86621995534835,-11.522546448629589,1,sampled..uniform,0.53048482,,72.59899147345472
finkel,25,1,2,100,2000,10000,50,8800,0.779011711683372,0.17025387207177353,0.5216760847129759,0.08708175489862269,2,sampled..uniform,0.968204236,,1.3104656828659769
finkel,25,1,3,100,2000,10000,50,6408,0.8868831225353577,0.7892202345471308,0.34374788925233274,-0.24608500126410565,2,sampled..uniform,0.795656247,,1.4532896348120536
finkel,25,1,4,100,2000,10000,50,5952,2.066773802407445,1.2448789440168608,1.2200270476767552,-0.3981321892861711,2,sampled..uniform,0.804925083,,1.3780951135801789
finkel,25,1,5,100,2000,10000,50,6129,2.9653325014241854,1.5778142516764382,1.8831911512354589,-0.49567290148771165,2,sampled..uniform,0.750857402,,1.5120585159248026
finkel,25,1,6,100,2000,10000,50,6015,6.117912949992444,2.1324929505319647,4.610117318961338,-0.6246973195008589,2,sampled..uniform,0.723845529,,2.004216584432588
finkel,25,1,7,100,2000,10000,50,6562,16.16561143784495,4.835823320894866,12.215951453895622,-0.8861633369455374,2,sampled..uniform,0.715727919,,2.3087238192757074
finkel,25,1,8,100,2000,10000,50,20267,20.62573648318841,8.873838213519047,13.111688299244724,-1.3597900295753589,2,sampled..uniform,0.69884179,,6.390488302743466
finkel,25,1,9,100,2000,10000,50,66523,229.76802667347278,218.4661632845189,13.686178098508423,-2.384314709554517,2,sampled..uniform,0.856879318,,21.396777838005356
finkel,25,1,10,100,2000,10000,50,64738,-3630913235210523e27,-3630913235210523e27,8.237137781965696,-10.635779759059975,2,sampled..uniform,0.569158023,,80.45632266786897
finkel,25,1,2,100,2000,10000,50,8946,0.7240496522042392,0.2609697639334082,0.4255708090095732,0.03750907926125797,4,sampled..uniform,0.765137229,,1.269687220841479
finkel,25,1,3,100,2000,10000,50,6533,0.8240524631770711,0.6773664313770419,0.30691589343118153,-0.16022986163115216,4,sampled..uniform,0.717424005,,1.4530663250042926
finkel,25,1,4,100,2000,10000,50,6385,2.507563613620489,1.1526741783039358,1.7363210796956947,-0.3814316443791417,4,sampled..uniform,0.72976673,,1.4336705068784048
finkel,25,1,5,100,2000,10000,50,6244,3.0730457562777924,1.6761230229397617,1.8455775506892793,-0.4486548173512482,4,sampled..uniform,0.719707842,,1.5551026148199412
finkel,25,1,6,100,2000,10000,50,6192,6.1609898060889945,2.0218544158217773,4.671133341052854,-0.5319979507856356,4,sampled..uniform,0.741146323,,2.1153084119525882
finkel,25,1,7,100,2000,10000,50,6380,14.458356443666908,3.3697721557314377,11.971351448894476,-0.8827671609590064,4,sampled..uniform,0.690850276,,2.0323060416432686
finkel,25,1,8,100,2000,10000,50,22252,25.534734350029883,10.922812822680447,15.92202713458614,-1.3101056072367088,4,sampled..uniform,1.018210958,,5.472072804543555
finkel,25,1,9,100,2000,10000,50,68156,8854979764086068e11,8854979764086068e11,11.143346162289236,-5.990864708484863,4,sampled..uniform,0.697148346,,18.553322774720222
finkel,25,1,10,100,2000,10000,50,70521,41229822960117066e11,41229822960117066e11,7.773316843979053,-14.758111872526639,4,sampled..uniform,0.605326559,,75.89657448637726
finkel,25,1,2,100,2000,10000,50,8704,0.47341219624740016,0.3040083271926869,0.15377115124460972,0.015632717810103502,6,sampled..uniform,0.768391188,,1.4012786550025909
finkel,25,1,3,100,2000,10000,50,7055,0.8849950961075518,0.666490423684563,0.3344643005848791,-0.11595962816189037,6,sampled..uniform,0.806676466,,1.4868749591700583
finkel,25,1,4,100,2000,10000,50,6129,2.042440762565116,1.3132924600992255,1.102248978811269,-0.37310067634537863,6,sampled..uniform,0.93886208,,1.45516187904522
finkel,25,1,5,100,2000,10000,50,6188,3.129047862777105,1.7401439187153946,1.9281976508540775,-0.5392937067923678,6,sampled..uniform,0.759712658,,1.5204250017853926
finkel,25,1,6,100,2000,10000,50,5965,6.617302520909351,2.1780675245102246,5.064965710599735,-0.6257307142006101,6,sampled..uniform,0.737632763,,2.0855492130770283
finkel,25,1,7,100,2000,10000,50,6102,15.782956121371376,4.970346921786471,11.699917007403341,-0.8873078078184368,6,sampled..uniform,0.900737662,,2.2111800793261716
finkel,25,1,8,100,2000,10000,50,19898,17849196817554168e12,17849196817554168e12,16.686960771412085,-5.172614386382938,6,sampled..uniform,0.684534473,,5.638910909929333
finkel,25,1,9,100,2000,10000,50,65010,19912158515042657e11,19912158515042657e11,15.580346441241828,-6.0733866621045465,6,sampled..uniform,0.639952138,,17.996278829357987
finkel,25,1,10,100,2000,10000,50,67011,2907265391171725e12,2907265391171725e12,4.997334451581634,-14.887071375974127,6,sampled..uniform,0.560522049,,71.9362933211172
finkel,25,1,2,100,2000,10000,200,11268,0.5507777719960247,0.20241227029345166,0.2257836438214204,0.1225818578811527,1,sampled..uniform,2.163508668,,1.4506687646495788
finkel,25,1,3,100,2000,10000,200,7111,0.7038798703916573,0.5510644938712508,0.24002202085824126,-0.08720664433783457,1,sampled..uniform,2.326074721,,1.545659762162245
finkel,25,1,4,100,2000,10000,200,7229,2.0779645287479025,0.8977189998202522,1.369801360282482,-0.1895558313548316,1,sampled..uniform,4.627179669,,1.5206728426507028
finkel,25,1,5,100,2000,10000,200,6571,3.0988991705075275,1.2414393184533385,2.24661024188354,-0.38915038982935135,1,sampled..uniform,3.680695204,,1.5673600676392545
finkel,25,1,6,100,2000,10000,200,6233,7.0065621548890915,1.7840935349777967,5.756721267225347,-0.5342526473140535,1,sampled..uniform,3.646848099,,2.160656074693004
finkel,25,1,7,100,2000,10000,200,6660,14.75425773165588,2.4004488925408074,13.089062107255335,-0.7352532681402657,1,sampled..uniform,2.838715706,,2.1116436150317996
finkel,25,1,8,100,2000,10000,200,23518,21.37860318744977,9.567359352281644,13.167257142613124,-1.3560133074450016,1,sampled..uniform,1.847846355,,5.541293590352801
finkel,25,1,9,100,2000,10000,200,202716,121.5964508300554,100.35865391728552,23.352145384381867,-2.1143484716119882,1,sampled..uniform,1.685690318,,16.997520346836524
finkel,25,1,10,100,2000,10000,200,268612,,,,,1,sampled..uniform,1.293756749,SingularException
finkel,25,1,2,100,2000,10000,200,11334,0.38214649914641,0.20914566790039782,0.1419534409236537,0.031047390322358523,2,sampled..uniform,2.056019311,,1.4887638335864073
finkel,25,1,3,100,2000,10000,200,7726,0.7587962701154521,0.3349069891177642,0.34801245581453644,0.07587682518315159,2,sampled..uniform,2.060633757,,1.7335080655515287
finkel,25,1,4,100,2000,10000,200,6858,1.927431051041054,1.1214964163197099,1.0312347456793207,-0.22530011095797667,2,sampled..uniform,1.985338339,,1.4834734074096638
finkel,25,1,5,100,2000,10000,200,6389,3.430633191411201,1.2488917725302113,2.566607530272075,-0.3848661113910854,2,sampled..uniform,2.355117228,,1.645792617095947
finkel,25,1,6,100,2000,10000,200,6296,6.648431358440341,1.5017099920085466,5.584541359954649,-0.43781999352285467,2,sampled..uniform,2.241644005,,1.91398021036139
finkel,25,1,7,100,2000,10000,200,6763,13.38970035888594,3.2490466604966968,10.88811789036086,-0.7474641919716174,2,sampled..uniform,3.131890578,,2.0943410718544153
finkel,25,1,8,100,2000,10000,200,24914,27.440023860991978,6.26172894274202,22.285573323223186,-1.1072784049732316,2,sampled..uniform,2.698534543,,5.577843945422947
finkel,25,1,9,100,2000,10000,200,230647,2869013443563886e12,2869013443563886e12,21.618159453068444,-5.954638656124555,2,sampled..uniform,2.825929692,,18.95614238948362
finkel,25,1,10,100,2000,10000,200,266640,,,,,2,sampled..uniform,1.635269876,SingularException
finkel,25,1,2,100,2000,10000,200,11338,0.7644189340227054,0.12224003903198852,0.5200428447655193,0.12213605022519762,4,sampled..uniform,3.040091407,,1.4012130507930483
finkel,25,1,3,100,2000,10000,200,7417,0.8727763836512062,0.48491590002915724,0.3735587927749533,0.014301690847095747,4,sampled..uniform,2.655028399,,1.6808978702783628
finkel,25,1,4,100,2000,10000,200,6661,2.032454021090897,1.099431216788468,1.2465069139328042,-0.31348410963037515,4,sampled..uniform,3.301691586,,1.3907561280284992
finkel,25,1,5,100,2000,10000,200,6304,2.8596518433430167,1.6802576816856774,1.6694495312188546,-0.4900553695615155,4,sampled..uniform,2.636806387,,1.5547113006134945
finkel,25,1,6,100,2000,10000,200,6404,6.469799098642717,1.6452962493282683,5.372085489524586,-0.5475826402101378,4,sampled..uniform,2.346982678,,2.0669447659420266
finkel,25,1,7,100,2000,10000,200,6464,13.332207517056638,3.2707033164562733,10.89017926536834,-0.8286750647679777,4,sampled..uniform,1.927196943,,1.9059656291272977
finkel,25,1,8,100,2000,10000,200,23759,33.37392663311318,16.485482660523115,18.199406859645585,-1.3109628870555239,4,sampled..uniform,2.09519054,,5.004406731320514
finkel,25,1,9,100,2000,10000,200,210194,121.41473054711972,102.93120329068441,20.608909614872218,-2.125382358436923,4,sampled..uniform,1.760088245,,17.542488055345935
finkel,25,1,10,100,2000,10000,200,245903,8061874230546427e12,8061874230546427e12,12.649581977837647,-14.555139962910431,4,sampled..uniform,1.249758675,,73.72345258880877
finkel,25,1,2,100,2000,10000,200,10844,0.4278165714676162,0.1469481926119688,0.1562842254060191,0.12458415344962837,6,sampled..uniform,1.998272135,,1.432929224478621
finkel,25,1,3,100,2000,10000,200,8208,0.9807762811357255,0.43563077842165465,0.497072765373099,0.04807273734097163,6,sampled..uniform,2.219823974,,1.6906574615901453
finkel,25,1,4,100,2000,10000,200,6853,2.1170688050517503,1.0941537991178472,1.3250543872625955,-0.30213938132869167,6,sampled..uniform,2.156694746,,1.4857061651724632
finkel,25,1,5,100,2000,10000,200,6717,3.0177557234082504,1.3525799019452245,2.031686033964474,-0.36651021250144855,6,sampled..uniform,2.265438282,,1.7084685275954634
