model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType,sqerr,mhType,useForward,neighborhoodsize,mvl
ideal,28,1,10,800,128000,640000,1,0,0.005341121514163272,0.003377104873830842,0.002067639656728201,-0.0001036230163957723,0,none,,,2.021214869059563,none,,,(-5.561787787519165, 4.275089231333202)
particle,28,1,10,800,128000,640000,1,0,3.090398626422028,-0.44849115841972764,2.7302505974043294,0.8086391874374264,0,none,288.455453534,,3.330579035731979,none,,,(-2.992318105109935, 1.9930714296410568)
franken,28,1,10,800,128000,640000,1,0,2.625959666063456,-0.36650264619975076,2.307212616375302,0.6852496958879041,0,none,83.14932585,,3.1077236677115394,none,,4,(-3.0229693647791316, 1.8636791638070624)
ideal,28,1,11,800,128000,640000,1,0,0.005654613568835475,0.010126247679458059,0.002683239027706859,-0.007154873138329445,0,none,,,1.6235904925737024,none,,,(-2.55231913339391, 4.275565735780426)
particle,28,1,11,800,128000,640000,1,0,3.5290455191556385,-0.35760098893696146,3.214050234750851,0.6725962733417485,0,none,313.81133806,,3.270504626567528,none,,,(-1.0616478814299346, 1.9220380016060024)
franken,28,1,11,800,128000,640000,1,0,4.029169021585227,-0.36343569859775776,3.710678508139636,0.6819262120433487,0,none,83.080099533,,3.406764351462097,none,,4,(-0.9091321935862149, 1.8796844117536302)
ideal,28,1,12,800,128000,640000,1,0,0.003632206525189499,-0.002993196011129696,0.0014582260730581385,0.005167176463261057,0,none,,,1.7175140659777317,none,,,(-7.225393620627026, 4.275766611111067)
particle,28,1,12,800,128000,640000,1,0,3.049747906135706,-0.3274509503009524,2.7192473774201518,0.6579514790165069,0,none,306.109625682,,3.067068160920434,none,,,(-3.8146534287550677, 1.0444835553165717)
franken,28,1,12,800,128000,640000,1,0,3.400619496350832,-0.3638279767203268,3.0819484687061394,0.6824990043650192,0,none,82.98971228,,3.2619586100311273,none,,4,(-4.428521850352331, 1.8558459863605052)
ideal,28,1,13,800,128000,640000,1,0,0.004918122125589036,-0.016958893927373757,0.0017009138467343641,0.020176102206228428,0,none,,,2.069618155448854,none,,,(-9.268775647366766, 4.275851396441121)
particle,28,1,13,800,128000,640000,1,0,2.400386026914847,-0.2851984449917049,2.0822089078661703,0.6033755640403817,0,none,334.5981192,,3.214896133449606,none,,,(-5.732635696975891, 3.137174834235046)
franken,28,1,13,800,128000,640000,1,0,2.5928328123086435,-0.36376683725181064,2.274942174120751,0.6816574754397033,0,none,83.687805268,,3.0697716099453793,none,,4,(-5.721318967471745, 1.8644933247992903)
ideal,28,1,14,800,128000,640000,1,0,0.004022575579877384,0.019511594164496993,0.0018303775198532355,-0.017319396104472844,0,none,,,2.3583903389406453,none,,,(-8.877078474952825, 4.275887229134069)
particle,28,1,14,800,128000,640000,1,0,4.77564676949012,-0.3914125744089316,4.43868430593751,0.7283750379615408,0,none,228.439818839,,3.867809127692449,none,,,(-5.860253705722747, 1.7686892034949242)
franken,28,1,14,800,128000,640000,1,0,5.184306812225908,-0.3647976147910682,4.867169912358467,0.6819345146585092,0,none,82.971859609,,3.8770957610916406,none,,4,(-5.415538162077796, 1.8712312471374393)
ideal,28,1,15,800,128000,640000,1,0,0.0060778651355848845,0.018269211573298774,0.0030690659869485595,-0.015260412424662452,0,none,,,1.8822491679247086,none,,,(-9.960705113505377, 4.275902394263073)
particle,28,1,15,800,128000,640000,1,0,4.292444761099667,-0.3810745924555213,3.9836710934433595,0.6898482601118291,0,none,345.558766095,,3.8362755239855972,none,,,(-5.888165758299376, 0.7742158160462175)
franken,28,1,15,800,128000,640000,1,0,4.133509618182055,-0.3646362879157853,3.8180038347168286,0.680142071381011,0,none,82.598281798,,3.729662692328411,none,,4,(-6.068776029996061, 1.8772749814679166)
ideal,28,1,16,800,128000,640000,1,0,0.008294636562726727,95212700239353e-18,0.005568765851330929,0.0026306580111564466,0,none,,,1.7387828909427296,none,,,(-9.295802672406973, 4.275908822221991)
particle,28,1,16,800,128000,640000,1,0,7.678571481216076,-0.27035206139489976,7.391338146735243,0.5575853958757323,0,none,433.323455513,,4.915673745923189,none,,,(-6.62366375092134, 0.5117082271488039)
franken,28,1,16,800,128000,640000,1,0,8.538783080450107,-0.3643107989508322,8.222411550541795,0.6806823288591453,0,none,84.497702986,,5.045372601651704,none,,4,(-5.525285366968234, 1.8503945727641966)
ideal,28,1,17,800,128000,640000,1,0,0.007241863602892525,0.014447198973922153,0.004016690998456992,-0.011222026369486618,0,none,,,1.957966586579319,none,,,(-5.463427301963538, 4.275911551323639)
particle,28,1,17,800,128000,640000,1,0,4.427294220236317,-0.09131868449276914,4.1499511477520805,0.3686617569770063,0,none,268.329519554,,5.153017832210703,none,,,(-2.6529302777706225, 1.343140735065711)
franken,28,1,17,800,128000,640000,1,0,6.2827833217013325,-0.3642455394761594,5.963058024707772,0.6839708364697192,0,none,83.035710219,,5.64746444417367,none,,4,(-2.810001984314056, 1.865731560434727)
ideal,28,1,18,800,128000,640000,1,0,0.008315585373062895,0.015139598637666908,0.003768307071533928,-0.010592320336137943,0,none,,,2.729296528978484,none,,,(-6.301201702405823, 4.275912712106511)
particle,28,1,18,800,128000,640000,1,0,5.713538585894185,-0.31340473148696263,5.388312557412511,0.6386307599686369,0,none,196.587495199,,5.609195247799049,none,,,(-2.86336867311965, 0.9154266467509786)
franken,28,1,18,800,128000,640000,1,0,5.116424555395956,-0.36469458885212397,4.798131447962636,0.6829876962854442,0,none,83.139378711,,5.505335631696567,none,,4,(-3.6158355759889895, 1.8788595364985128)
ideal,28,1,19,800,128000,640000,1,0,0.005820635709275936,0.013361025458268857,0.001542094254041046,-0.009082484003033969,0,none,,,2.617031782971977,none,,,(-4.646650239837833, 4.275913206800793)
particle,28,1,19,800,128000,640000,1,0,8.388325783122948,-0.10957867211756232,8.123111200912414,0.37479325432809557,0,none,465.333942787,,7.129784941610595,none,,,(-0.2560241961095935, 0.9680205654508511)
franken,28,1,19,800,128000,640000,1,0,9.823628550516528,-0.3653305980312129,9.505482184530376,0.683476964017365,0,none,83.088025974,,7.674589626664971,none,,4,(-2.540521589675775, 1.850484111309732)
ideal,28,1,20,800,128000,640000,1,0,0.00515759274596114,-0.004233595437032007,0.002678012051174395,0.006713176131818753,0,none,,,2.312313727153899,none,,,(-6.081741929833085, 4.275913418077524)
particle,28,1,20,800,128000,640000,1,0,6.2564459276898425,-0.12655614025269463,5.973849334791337,0.4091527331511999,0,none,256.047041338,,6.127413023016999,none,,,(-2.9677489829845114, 0.5145396191079539)
franken,28,1,20,800,128000,640000,1,0,9.40345209530418,-0.3656418824294178,9.087016015024112,0.6820779627094846,0,none,81.941697634,,6.989195842919549,none,,4,(-3.5178196774762096, 1.869711193826869)
ideal,28,1,21,800,128000,640000,1,0,0.0053200351434076155,-0.005920621953274758,0.002653769391321107,0.008586887705361266,0,none,,,2.6792756861514233,none,,,(-5.088632731216499, 4.275913508520164)
particle,28,1,21,800,128000,640000,1,0,9.693926012606735,-0.16605857758051334,9.427988336479633,0.4319962537076158,0,none,384.341834421,,7.232289403743615,none,,,(-1.8569709605670668, 2.156522163017682)
franken,28,1,21,800,128000,640000,1,0,9.865248178824897,-0.3658590736660281,9.54680758922947,0.6842996632614545,0,none,82.446737658,,7.716904933294934,none,,4,(-2.7579956291305505, 1.8738995773014093)
ideal,28,1,22,800,128000,640000,1,0,0.007054953883351299,-0.007118087638283649,0.002732566358505606,0.011440475163129342,0,none,,,3.2486069530593986,none,,,(-5.553398903629997, 4.275913547333619)
particle,28,1,22,800,128000,640000,1,0,14.545492877433698,-0.3957719298746707,14.167897896073937,0.7733669112344356,0,none,265.211429006,,7.140141052408086,none,,,(-1.118464191038637, 2.4290200775464217)
franken,28,1,22,800,128000,640000,1,0,14.757840849481378,-0.3685948163585308,14.434696484901085,0.6917391809388236,0,none,83.213980497,,7.590161343744525,none,,4,(-2.9212285261734445, 1.8789101976249756)
ideal,28,1,23,800,128000,640000,1,0,0.00507322432565147,-0.004566973842997868,0.0017206521385363129,0.007919546030113024,0,none,,,2.8526568746878103,none,,,(-3.837971844132105, 4.275913564035354)
particle,28,1,23,800,128000,640000,1,0,19.260423208682408,-0.32127232896842506,18.912384425128646,0.6693111125221851,0,none,363.699283266,,9.701941801898876,none,,,(-0.7704671139606475, 0.4327499706396066)
franken,28,1,23,800,128000,640000,1,0,17.94093867636002,-0.3589608446417253,17.62076489060833,0.6791346303934086,0,none,84.780743503,,9.077106174581985,none,,4,(-1.6749904887801885, 1.8619247181922296)
ideal,28,1,24,800,128000,640000,1,0,0.005257165670560507,-0.00922543083503159,0.0030439642238051334,0.011438632281786966,0,none,,,2.882635967178545,none,,,(-5.393648381533174, 4.2759135712430165)
particle,28,1,24,800,128000,640000,1,0,17.743858977744896,-0.06960614917131085,17.48795753910089,0.32550758781531997,0,none,183.824993536,,9.192944375476115,none,,,(-1.788857474185979, 0.0043882969573014316)
franken,28,1,24,800,128000,640000,1,0,23.81040943533456,-0.3731570625650249,23.485895971166993,0.6976705267325928,0,none,82.808371808,,10.172498473930117,none,,4,(-2.686999234904049, 1.8727102579174182)
ideal,28,1,25,800,128000,640000,1,0,0.005753712231970702,0.016969176540360023,0.0022882087037384823,-0.013503673012127801,0,none,,,2.450026007506945,none,,,(-3.2486320333347827, 4.275913574363082)
particle,28,1,25,800,128000,640000,1,0,16.99714476009553,0.01463306337356819,16.738306105091148,0.24420559163081274,0,none,361.340645987,,10.924709247535912,none,,,(-2.2541901916165914, 1.3324324595256898)
franken,28,1,25,800,128000,640000,1,0,23.44152842696768,-0.35550465958395044,23.129231678124818,0.6678014084268126,0,none,86.494024159,,11.731428506952174,none,,4,(-1.196637786901721, 1.8607893456669924)
ideal,28,1,26,800,128000,640000,1,0,0.004380307742140162,0.00365847900736771,0.0017411909504626327,-0.0010193622156901808,0,none,,,2.3384639635181235,none,,,(-1.8404376852500763, 4.275913575718115)
particle,28,1,26,800,128000,640000,1,0,31.25597194685403,-0.2652708050847917,30.91130939648872,0.6099333554501016,0,none,278.792077115,,13.027591936308772,none,,,(0.7766160614946288, 0.3315755386762423)
franken,28,1,26,800,128000,640000,1,0,28.79087207008062,-0.34579804214224513,28.47534519584408,0.6613249163787821,0,none,82.114329918,,13.427551671378549,none,,4,(-0.2298296723800769, 1.8756246923231568)
ideal,28,1,27,800,128000,640000,1,0,0.004328328683050894,-0.00015575107775152772,0.002185443201286641,0.002298636559515779,0,none,,,2.581765100606878,none,,,(-2.7075075194678235, 4.27591357630863)
particle,28,1,27,800,128000,640000,1,0,31.24861660406794,-0.034962706256762933,30.988248589138582,0.29533072118611875,0,none,62.932028035,,14.495004714443354,none,,,(0.05338097670047435, 1.2885054150572637e-9)
franken,28,1,27,800,128000,640000,1,0,36.49649168421084,-0.32229061406920173,36.19252435672718,0.6262579415528653,0,none,78.700527428,,14.883762484884068,none,,4,(-0.8471249022603133, 1.8803485324516842)
ideal,28,1,28,800,128000,640000,1,0,0.007223562872187894,0.009375484872057131,0.004018777665685955,-0.006170699665555192,0,none,,,2.024705018319082,none,,,(-4.3117131125514785, 4.275913576566902)
particle,28,1,28,800,128000,640000,1,0,35.71082715292491,0.01761020971673884,35.45209070616237,0.24112623704579164,0,none,507.884384258,,22.033656116701504,none,,,(2.539400991600888, 0.4964557221736947)
franken,28,1,28,800,128000,640000,1,0,39.16795274165342,-0.3043384638948761,38.861058800067845,0.6112324054804534,0,none,86.185412093,,20.51791312658458,none,,4,(-2.0200112723623405, 1.8550805493344062)
ideal,28,1,29,800,128000,640000,1,0,0.005692933165785557,-0.003634148241995582,0.0026242388476196655,0.006702842560161473,0,none,,,2.787124100221572,none,,,(-1.4346499923105658, 4.275913576680286)
particle,28,1,29,800,128000,640000,1,0,41.19417785414382,-0.047682816424513455,40.919917419712576,0.32194325085573744,0,none,538.430750549,,25.8189796457573,none,,,(4.445542487465733, 0.0001329441892962061)
franken,28,1,29,800,128000,640000,1,0,52.168355260749166,-0.2974091501273422,51.859999242756714,0.6057651681198055,0,none,71.41844413,,26.955566483003196,none,,4,(-0.14627922568795793, 1.8518936840612463)
ideal,28,1,30,800,128000,640000,1,0,0.007776155404132879,0.002351164528057565,0.004518419280517457,0.0009065715955578572,0,none,,,2.8546575138832746,none,,,(-3.7922949919195883, 4.275913576730257)
particle,28,1,30,800,128000,640000,1,0,53.88311427445537,0.018252764214254973,53.623726189378104,0.24113532086302478,0,none,348.221964203,,33.265105378403035,none,,,(1.9318074903665206, 0.08223662386955465)
franken,28,1,30,800,128000,640000,1,0,62.04760049698078,-0.2640734631052187,61.73511744956737,0.5765565105186339,0,none,84.743532307,,34.80336521646386,none,,4,(-1.922773649272664, 1.8742632087772286)
