model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime
ideal,25,1,1,100,200,1000,0,0,0.06035009527806831,0.07258725385184941,0.013822322230569915,-0.026059480804351012
particle,25,1,1,100,200,1000,0,0,0.005063310278991403,0.014580105911311814,0.0017499636994297205,-0.011266759331750132
franken,25,1,1,100,200,1000,0,0,0.02608687204664563,0.059474623073643595,0.005658645845559968,-0.03904639687255793
ideal,25,1,2,100,200,1000,0,0,0.04917977183053603,0.12564904497854523,0.011820351152212784,-0.08828962430022198,NA,NA,NA
particle,25,1,2,100,200,1000,0,0,5.3330115790227035,-0.7000019145982757,4.843680969718832,1.1893325239021464,NA,NA,0.113434868
franken,25,1,2,100,200,1000,0,0,5.189397832707197,-0.7393018289637477,4.664828549522813,1.263871112148132,NA,NA,0.190662505
ideal,25,1,3,100,200,1000,0,0,0.062447257585777405,0.04812595082545215,0.030749682943276783,-0.016428376182951527,NA,NA,NA
particle,25,1,3,100,200,1000,0,0,9.537941218896341,-0.2816006309626812,9.012333846203495,0.807208003655528,NA,NA,0.007542086
franken,25,1,3,100,200,1000,0,0,3.281985096100252,-0.22976117152139597,2.815976667635984,0.6957695999856638,NA,NA,0.001759324
ideal,25,1,4,100,200,1000,0,0,0.09191989428179108,-0.00566374636027589,0.059929688756641314,0.03765395188542564,NA,NA,NA
particle,25,1,4,100,200,1000,0,0,12.242802710399623,0.15556951409937864,11.780683779053788,0.3065494172464552,NA,NA,0.011150256
franken,25,1,4,100,200,1000,0,0,4.734675735553726,-0.13691337364980197,4.215132608614902,0.6564565005886257,NA,NA,0.002186871
ideal,25,1,5,100,200,1000,0,0,0.11031038043980855,0.035868267404459364,0.08198412937572466,-0.007542016340375468,NA,NA,NA
particle,25,1,5,100,200,1000,0,0,9.02984090538649,0.64133451527057,8.359580447450487,0.028925942665432445,NA,NA,0.020945067
franken,25,1,5,100,200,1000,0,0,17.32639682513016,-0.028827358961829752,16.755444879275736,0.5997793048162512,NA,NA,0.002651202
ideal,25,1,6,100,200,1000,0,0,0.08137682817663841,0.05586064810387395,0.04917788122050805,-0.023661701147743575,NA,NA,NA
particle,25,1,6,100,200,1000,0,0,12.121401073785606,0.9466478235914445,11.37650401034827,-0.2017507601541077,NA,NA,0.01109985
franken,25,1,6,100,200,1000,0,0,22.689751765226777,0.11564195132578364,22.080303963658842,0.4938058502421514,NA,NA,0.002124119
ideal,25,1,7,100,200,1000,0,0,0.08293777601847567,0.08708520071515385,0.04951002189954237,-0.05365744659622056,NA,NA,NA
particle,25,1,7,100,200,1000,0,0,31.0293659343988,0.8728748162195357,30.324845217640533,-0.16835409946127072,NA,NA,0.021492125
franken,25,1,7,100,200,1000,0,0,55.061139329678554,0.2722778379362445,54.26198146023768,0.5268800315046331,NA,NA,0.003465888
