model,dimension,rep,steps,nfp,nfapf,npf,nIter,numMhAccepts,kl,covdiv,meandiv,entropydiv,histPerLoc,sampType,runtime,errorType
ideal,25,1,1,100,200,1000,0,0,0.045882959314139465,0.060223858851164935,0.01180433493936818,-0.026145234476393657
particle,25,1,1,100,200,1000,0,0,0.004097658139488174,0.024275823976687122,0.001460502488195683,-0.021638668325394628
franken,25,1,1,100,200,1000,0,0,0.023236100535503137,0.05087857419051098,0.007362962278451111,-0.03500543593345895
ideal,25,1,2,100,200,1000,0,0,0.055480633162083653,0.024706184320460872,0.02752820255668213,0.0032462462849406504,NA,NA,NA
particle,25,1,2,100,200,1000,0,0,3.974966355797975,-0.7245660473614699,3.4733212670431213,1.226211136116323,NA,NA,0.205141066
franken,25,1,2,100,200,1000,0,0,3.8421532417820092,-0.6825920347895305,3.372165367319662,1.152579909251878,NA,NA,0.488647796
ideal,25,1,3,100,200,1000,0,0,0.06617417857955596,0.15495507423248261,0.03424775976447116,-0.12302865541739783,NA,NA,NA
particle,25,1,3,100,200,1000,0,0,12.934484540373411,-0.22921215052819446,12.280388856050985,0.8833078348506209,NA,NA,0.020382235
franken,25,1,3,100,200,1000,0,0,8.143469452931773,-0.2405682789260439,7.70586407848476,0.6781736533730577,NA,NA,0.005868804
ideal,25,1,4,100,200,1000,0,0,0.07998104957505191,0.039518475907669354,0.04896280967888952,-0.00850023601150695,NA,NA,NA
particle,25,1,4,100,200,1000,0,0,12.8016527235614,0.23053415763678894,12.196047499839626,0.3750710660849844,NA,NA,0.096708904
franken,25,1,4,100,200,1000,0,0,8.793241442888624,-0.0860570684722902,8.274490245266946,0.6048082660939679,NA,NA,0.002063727
ideal,25,1,5,100,200,1000,0,0,0.11443249285095829,0.04807647870165102,0.08851471480181847,-0.022158700652511208,NA,NA,NA
particle,25,1,5,100,200,1000,0,0,18.035722414341702,0.4910155344868304,17.399340470060583,0.14536640979429008,NA,NA,0.039130556
franken,25,1,5,100,200,1000,0,0,22.031159506195234,0.022009278164413032,21.39836751967577,0.6107827083550548,NA,NA,0.007289507
ideal,25,1,6,100,200,1000,0,0,0.13921531982232313,0.15292419344448294,0.10715301394510787,-0.12086188756726768,NA,NA,NA
particle,25,1,6,100,200,1000,0,0,13.107786975190962,0.9408400545977735,12.363228859462662,-0.19628193886947673,NA,NA,0.014217336
franken,25,1,6,100,200,1000,0,0,20.636007927524037,0.23344243585436508,19.993787251580862,0.40877824008880714,NA,NA,0.002447871
ideal,25,1,7,100,200,1000,0,0,0.07091146429273358,0.07578215152219439,0.03095493048504559,-0.035825617714506416,NA,NA,NA
particle,25,1,7,100,200,1000,0,0,29.334358160130087,0.42601232068340994,28.659886131055575,0.24845970839109444,NA,NA,0.016289822
franken,25,1,7,100,200,1000,0,0,32.967632302887836,0.3857536776967205,32.30262044443662,0.2792581807544851,NA,NA,0.005607678
ideal,25,1,8,100,200,1000,0,0,0.1995658465573563,0.030698589625321432,0.16722682443154396,0.0016404325004909105,NA,NA,NA
particle,25,1,8,100,200,1000,0,0,54.89037921692932,0.9568483544306716,54.107892485392874,-0.17436162289423768,NA,NA,0.036360307
franken,25,1,8,100,200,1000,0,0,78.97461351403858,0.36036524588172014,78.32325173940704,0.2909965287498399,NA,NA,0.00611265
ideal,25,1,9,100,200,1000,0,0,0.24449609130108094,0.04236697465134323,0.21462511303429282,-0.012495996384555137,NA,NA,NA
particle,25,1,9,100,200,1000,0,0,126.88482820828247,0.8073323062242147,126.15908939303817,-0.08159349097991381,NA,NA,0.032540689
franken,25,1,9,100,200,1000,0,0,196.07529651359354,0.4694982545379837,195.22473476229328,0.381063496762293,NA,NA,0.004620074
ideal,25,1,10,100,200,1000,0,0,0.20721455558959248,0.04339309732313007,0.17218385753720417,-0.008362399270741745,NA,NA,NA
particle,25,1,10,100,200,1000,0,0,284.5133826600898,1.0862439385413856,283.6643694329821,-0.23723071143363797,NA,NA,0.013904914
franken,25,1,10,100,200,1000,0,0,409.02714965333377,0.8541365441795931,408.1520303443509,0.020982764803279166,NA,NA,0.015723599
finkel,25,1,2,100,200,1000,1,280,0.8190559388283954,0.9747281908511014,0.2837998571547677,-0.43947210917747354,3,compromise2.1..log7.5_20,1.976483759
finkel,25,1,3,100,200,1000,1,352,1.6052501516261133,1.6261938390056823,0.6664270997542235,-0.6873707871337923,3,compromise2.1..log7.5_20,1.012680063
finkel,25,1,4,100,200,1000,1,454,3.1523029210967617,2.5430205827325665,1.5047720538348253,-0.8954897154706303,3,compromise2.1..log7.5_20,0.522486748
finkel,25,1,5,100,200,1000,1,574,7.128169657253631,2.2387129868866023,5.745234834400499,-0.8557781640334703,3,compromise2.1..log7.5_20,0.503615829
finkel,25,1,6,100,200,1000,1,655,8.733008170772512,3.309040703692568,6.502021832657025,-1.07805436557708,3,compromise2.1..log7.5_20,0.519023612
finkel,25,1,7,100,200,1000,1,764,17.64471779032325,9.445343056688595,9.56337561834463,-1.3640008847099814,3,compromise2.1..log7.5_20,4.794437733
finkel,25,1,8,100,200,1000,1,857,209731813101594e12,209731813101594e12,9.051343355351964,-5.770993953117925,3,compromise2.1..log7.5_20,1.351064797
finkel,25,1,9,100,200,1000,1,1029,3659455922913119e11,3659455922913119e11,4.934112312608397,-6.4357774803208425,3,compromise2.1..log7.5_20,0.536840561
finkel,25,1,10,100,200,1000,1,1013,-46108519683994464e26,-46108519683994464e26,1.7530987250185794,-17.98472918752179,3,compromise2.1..log7.5_20,0.476801183
